G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,Time
0.6551327,0.756387,0.7300874,0.8176676,0.7779665,0.5685651,0.5869682,0.7486196,0.6586355,0.7781361,0.70987,0.0733179,0.0860999,0.6571809,0.5849839,0.0017477,0.6621247,0.6522113,0.6974587,1.94e-05,0.7192215,0.044584,0.6916645,0.6802859,0.1231075,0.0515239,0.6315854,0.7367711,0.499811,0.7214298,0.6597927,0.6630324,0.5639285,0.1903715,0.185427,0.0485416,0.3739711,0.2282132,0.1760238,0.2705052,0.2850746,0.3366489,0.3206758,0.6190217,0.779855,0.0014136,0.5788479,0.5569132,0.5159902,0.6779499,74.9995
0.8933522,0.7279296,0.8579713,0.7225592,0.7322539,0.5601558,0.5619705,0.6909659,0.7140963,0.6198713,0.6737866,0.0616041,0.0848977,0.6818727,0.5234413,0.0003754,0.5497736,0.7715781,0.637924,0.1510876,0.6736099,0.0233496,0.7327335,0.6183572,0.1225139,0.0537328,0.5830901,0.3687459,0.5240446,0.7179231,0.3161183,0.6093394,0.7860185,0.1812392,0.0864456,0.0299324,0.4357531,0.2263202,0.3503848,0.3760655,0.2963526,0.4351966,0.4441098,0.6506439,0.6540858,0.0007241,0.6869354,0.6831283,0.7216308,0.6919816,74.9995
0.9149791,0.6662641,0.5482376,0.681565,0.7958091,0.6722035,0.6631385,0.6244469,0.8858536,0.6559544,0.5896372,0.1048161,0.1019148,0.7635552,0.5527544,0.0089116,0.6290558,0.7293517,0.6674111,0.2398133,0.6233932,0.0398254,0.7811255,0.632741,0.1190706,0.0522716,0.6121579,0.4177987,0.5169431,0.7512216,0.1129083,0.516158,0.6392657,0.205647,0.0600195,0.0363764,0.394679,0.1746684,0.2455184,0.3533035,0.3716182,0.2998304,0.6571737,0.5470897,0.5219393,0.0001395,0.6141378,0.6103797,0.5655998,0.7216879,74.9995
0.7678002,0.647037,0.7317855,0.7427453,0.7555553,0.6292841,0.53903,0.6584085,0.7827938,0.580444,0.7321227,0.0751103,0.1039041,0.6457319,0.5410463,0.0003726,0.6650444,0.6675182,0.8184925,0.2464651,0.6792751,0.0386732,0.6852595,0.7517934,0.0901544,0.0962334,0.5822847,0.2729579,0.504016,0.6254578,0.1071721,0.4574186,0.599068,0.1858469,0.1512762,0.0178106,0.4130598,0.1956286,0.2171415,0.2360224,0.3823981,0.3778951,0.6132013,0.7275267,0.6060652,0.0019641,0.6379423,0.6663629,0.6531539,0.7303665,74.9995
0.7652458,0.6928865,0.6888029,0.7501595,0.6073465,0.6730744,0.6165482,0.5934676,0.6875373,0.5523393,0.6382274,0.1035154,0.1060952,0.6918814,0.6386873,0.0007345,0.7260344,0.6384726,0.6314555,0.2623457,0.616334,0.0383093,0.7892461,0.7145211,0.1112767,0.0287017,0.7123468,0.3240619,0.5152979,0.7931942,0.051362,0.4656638,0.4576626,0.1702003,0.1659526,0.0264272,0.5209653,0.1893468,0.2185851,0.3546855,0.3118472,0.4559342,0.5692493,0.6767877,0.6814263,0.0012949,0.7243864,0.7464074,0.6056419,0.7303242,241.6665
0.6708268,0.6551562,0.7449748,0.687527,0.7179188,0.7138591,0.6125409,0.7516431,0.6112314,0.6488685,0.7254874,0.043411,0.1279975,0.8265351,0.6512757,0.0013299,0.6066324,0.7538459,0.7124822,0.2399277,0.7573115,0.0538212,0.6785303,0.7211008,0.0903947,0.0194231,0.5846293,0.2910426,0.5282909,0.6753032,0.0463868,0.4696643,0.4694284,0.1171118,0.1263272,0.0339588,0.3656323,0.1364108,0.2825213,0.3104893,0.2697892,0.4372694,0.6804818,0.7066481,0.7126372,0.0,0.6766091,0.6177175,0.5968941,0.7936253,241.6665
0.752382,0.7701066,0.7045811,0.6830334,0.6822831,0.6100783,0.5465303,0.5575758,0.6913902,0.6157372,0.7803961,0.0777905,0.0632265,0.7045899,0.5519518,0.0023048,0.6267706,0.7534031,0.7161727,0.2536558,0.5910173,0.0463268,0.6706471,0.7894699,0.0641171,0.0664294,0.5547083,0.3405265,0.5862636,0.8115452,0.0338068,0.4651176,0.4405783,0.0952553,0.209731,0.0595352,0.3048162,0.2073061,0.2969456,0.2539349,0.2615889,0.4877845,0.644217,0.6822878,0.7095896,0.0,0.6055081,0.6458494,0.6619592,0.84262,241.6665
0.7061946,0.723928,0.6822092,0.7470798,0.5764685,0.9059467,0.624085,0.6367007,0.7679298,0.539483,0.7213767,0.0680971,0.1715501,0.680577,0.5971408,0.0008024,0.704087,0.5893354,0.6570316,0.2314557,0.6733771,0.0714066,0.7256767,0.6786623,0.1004353,0.0362223,0.6596925,0.2441078,0.5744697,0.7506875,0.0333441,0.5188974,0.5447984,0.159228,0.0795765,0.0302825,0.3601102,0.2062833,0.3045905,0.2980325,0.2574202,0.4349274,0.5982119,0.6712705,0.838501,0.0016907,0.5862719,0.6789225,0.598209,0.7396759,416.66650000000004
0.6785629,0.5657496,0.6275545,0.7091119,0.7236046,0.7297812,0.573206,0.6734091,0.7732484,0.490896,0.6957374,0.0900529,0.1317958,0.7918821,0.5820055,0.0020253,0.561025,0.5906714,0.8129242,0.2470679,0.7074922,0.0500737,0.752049,0.7520375,0.1148134,0.0478603,0.512198,0.3151611,0.4412229,0.7636522,0.0651606,0.519135,0.6830724,0.277118,0.0738956,0.0214745,0.3401413,0.2245584,0.2041001,0.2866292,0.2883008,0.3563169,0.6415044,0.9174006,0.7207402,0.0010419,0.6581402,0.8084365,0.5712898,0.7518231,416.66650000000004
0.5286757,0.6628532,0.5921866,0.576484,0.7288143,0.6835833,0.5376034,0.6773924,0.7227041,0.6554152,0.706708,0.0838143,0.1607134,0.7304659,0.4995441,0.0013783,0.4795244,0.7424743,0.7431457,0.2454875,0.6595927,0.0187561,0.6574127,0.6799382,0.1253,0.0295365,0.5761086,0.2624479,0.5382862,0.7640579,0.0444269,0.4891659,0.6845976,0.2388341,0.1357004,0.0265809,0.3590962,0.1959243,0.1734653,0.286926,0.2558413,0.3104109,0.6286011,0.8130484,0.7566754,0.0,0.7069442,0.6832448,0.7224212,0.6537782,416.66650000000004
