	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50
TS_0_0	0.5028031	0.0049047	0.75241	0.8075539	0.2686418	0.7628946	0.1980814	0.5300867	0.1361444	0.0169105	0.5918989	0.118066	0.6010669	0.8081141	0.07143	0.7466466	0.7106995	0.6305301	0.0596076	0.7778289	0.0644875	0.0168195	0.5567963	0.2477049	0.1151853	0.0770326	0.598304	0.1844246	0.7381569	0.347715	0.6371165	0.7207462	0.043631	0.0002054	0.3747833	0.0516948	2e-07	0.0940634	0.5579831	0.7143994	0.6940722	0.4105717	0.0128518	0.0128886	0.0175763	0.810384	0.5969943	0.0119587	0.1012748	0.7360482
TS_0_1	0.4507211	0.0076667	0.6723401	0.4289683	0.2980447	0.7351379	0.2160413	0.6216775	0.0720577	0.0276366	0.7309776	0.1121514	0.5554938	0.6930463	0.0676534	0.6205172	0.6975203	0.6176501	0.070469	0.8846972	0.0074931	0.0072197	0.7016824	0.2100819	0.1017004	0.1172356	0.6038429	0.2743365	0.684178	0.3360415	0.525131	0.6750372	0.0404573	0.0	0.4004041	0.0122937	0.0007125	0.0655761	0.5943005	0.7403497	0.6817826	0.3100602	0.090357	0.0180344	0.031678	0.7523163	0.6429428	0.0029592	0.1262049	0.7747421
TS_0_2	0.4631921	0.0004171	0.7116739	0.463227	0.2006537	0.6340018	0.2157997	0.6992103	0.0270321	0.0217028	0.8368833	0.2075862	0.5710355	0.6550748	0.0432496	0.6069241	0.7318923	0.6225392	0.0508792	0.6397186	0.011342	0.0012688	0.6420438	0.2268428	0.2009827	0.151652	0.5185685	0.2074736	0.775828	0.3550379	0.590432	0.7566182	0.0233598	0.0	0.4655836	0.0161906	0.0001654	0.0690319	0.803997	0.6577104	0.6114634	0.4093518	0.1356218	0.0072906	0.0187227	0.6920179	0.6782874	0.0037101	0.12477	0.7467097
TS_0_3	0.3874147	0.0122677	0.7606067	0.4079285	0.0863062	0.6552585	0.081846	0.6360057	0.0137421	0.0267337	0.7731358	0.1809341	0.3405334	0.5728914	0.0571057	0.6853434	0.6797692	0.7862964	0.0212731	0.6284851	0.0126821	0.0009805	0.6342164	0.2014884	0.1275983	0.1456194	0.455842	0.1838855	0.6147151	0.5086331	0.3693089	0.7494652	0.048046	0.0003678	0.3918262	0.0076022	0.0	0.0395549	0.5984387	0.5997072	0.7107566	0.4468878	0.1576514	0.0104272	0.0405015	0.621958	0.7221608	0.0003191	0.0789739	0.7323717
TS_0_4	0.3507771	0.0033147	0.7640167	0.4382379	0.0201666	0.6886773	0.0751437	0.9104379	0.0015149	0.0280621	0.7164001	0.1806789	0.1497887	0.7144833	0.0566011	0.6416215	0.7513086	0.7566895	0.043804	0.6961067	0.0100643	0.0004634	0.7049425	0.2176734	0.1730706	0.0779781	0.592387	0.1774032	0.7859595	0.3915745	0.4632638	0.7485128	0.0474818	0.0001092	0.44158	0.0053365	1e-07	0.0709023	0.6730679	0.6747639	0.7232718	0.3529036	0.1593452	0.0350238	0.027766	0.7869698	0.6765975	0.0021793	0.0867058	0.6984609
TS_0_5	0.4496116	0.0054938	0.9297449	0.4505108	0.0035984	0.7159532	0.0557392	0.7709939	0.0008318	0.0374666	0.5806194	0.265011	0.0857769	0.7154838	0.0296045	0.5469954	0.6859846	0.5798947	0.0261142	0.6998494	0.0024158	0.0019846	0.6939835	0.3001018	0.1271987	0.0957951	0.5249661	0.1125494	0.7315223	0.3680053	0.3816765	0.6759465	0.0588319	0.0011914	0.4786721	0.0029955	0.0002909	0.0512213	0.6661912	0.8009177	0.7414581	0.4139322	0.1892478	0.0067274	0.0456704	0.7401377	0.7201329	0.0006581	0.0688886	0.7205972
TS_0_6	0.3525323	0.0141064	0.7393489	0.4369163	0.0003423	0.7840408	0.0068813	0.7097876	0.0038112	0.018756	0.7923846	0.3973491	0.0510976	0.6589828	0.0468633	0.6620941	0.7441426	0.699071	0.0346963	0.7066698	0.0007827	0.0001409	0.703448	0.2503743	0.1655538	0.0673453	0.6028816	0.1028261	0.7400292	0.3146977	0.4979017	0.6732648	0.0474104	5.56e-05	0.4252113	0.0019654	0.0	0.0979188	0.6578284	0.6569751	0.6123496	0.4494021	0.1816779	0.0127535	0.02229	0.5828858	0.6658856	0.0007071	0.0902854	0.7222218
TS_0_7	0.3759008	0.0037631	0.7320304	0.3704507	0.0012662	0.6840152	0.0151226	0.7377602	0.0027277	0.0292557	0.6953613	0.2614778	0.0568907	0.5660681	0.0457779	0.8396197	0.8070625	0.6522819	0.0506432	0.7072146	0.0030273	7.55e-05	0.6461652	0.1536628	0.1394606	0.0936805	0.5451641	0.1446897	0.5992793	0.3296526	0.4250134	0.6975774	0.0335662	0.0	0.4309624	9.52e-05	2.63e-05	0.0393815	0.7633109	0.5773514	0.7251733	0.4390635	0.1754046	0.0345828	0.0479258	0.6690375	0.7822333	0.0004513	0.1285264	0.6426317
TS_0_8	0.3422239	0.0035773	0.7543319	0.3679702	0.0010345	0.5749913	0.0080123	0.6958875	0.0015474	0.0325224	0.7629604	0.1941053	0.0307109	0.4923677	0.0427248	0.811717	0.6720502	0.687879	0.0800658	0.6318629	0.0014938	0.0001911	0.7252185	0.1751631	0.1151212	0.0708622	0.5595469	0.1026721	0.8258797	0.3427482	0.551307	0.6835322	0.0179586	5.26e-05	0.3650716	0.0	6.7e-06	0.0848159	0.7055737	0.8204555	0.6007134	0.448766	0.1827974	0.0164682	0.0460901	0.5976865	0.6891609	0.0028107	0.1129464	0.6930045
TS_0_9	0.4442838	0.0096227	0.5986316	0.3294533	0.0012008	0.6673361	0.0216157	0.6223397	2.88e-05	0.0487173	0.6101704	0.2054729	0.068502	0.5439118	0.0841288	0.7943974	0.7127016	0.6212512	0.0415892	0.6601724	0.0064794	6.46e-05	0.8227314	0.190139	0.0724619	0.1213834	0.6852857	0.1292088	0.5215343	0.3078682	0.3943717	0.5928473	0.0376392	0.0019728	0.3081968	6.78e-05	5.1e-06	0.0406765	0.6550171	0.7522661	0.6581637	0.4469619	0.2030792	0.0255301	0.0090129	0.7232181	0.6582893	0.0004848	0.0855185	0.6927302
