GENES,TS_0_0,TS_4_0,TS_6_0,TS_3_0,TS_7_0,TS_2_0,TS_8_0,TS_1_0,TS_9_0,TS_5_0,TS_1_1,TS_8_1,TS_2_1,TS_0_1,TS_4_1,TS_6_1,TS_9_1,TS_5_1,TS_7_1,TS_3_1,TS_2_2,TS_7_2,TS_1_2,TS_0_2,TS_3_2,TS_5_2,TS_9_2,TS_4_2,TS_6_2,TS_8_2,TS_0_3,TS_4_3,TS_3_3,TS_7_3,TS_6_3,TS_8_3,TS_2_3,TS_5_3,TS_9_3,TS_1_3,TS_8_4,TS_0_4,TS_4_4,TS_1_4,TS_5_4,TS_2_4,TS_7_4,TS_3_4,TS_9_4,TS_6_4,TS_3_5,TS_9_5,TS_6_5,TS_4_5,TS_7_5,TS_8_5,TS_1_5,TS_5_5,TS_2_5,TS_0_5,TS_1_6,TS_4_6,TS_9_6,TS_8_6,TS_2_6,TS_0_6,TS_5_6,TS_6_6,TS_7_6,TS_3_6,TS_9_7,TS_6_7,TS_7_7,TS_3_7,TS_5_7,TS_0_7,TS_2_7,TS_4_7,TS_1_7,TS_8_7,TS_5_8,TS_4_8,TS_9_8,TS_6_8,TS_0_8,TS_3_8,TS_1_8,TS_7_8,TS_2_8,TS_8_8,TS_5_9,TS_9_9,TS_8_9,TS_1_9,TS_4_9,TS_7_9,TS_0_9,TS_6_9,TS_3_9,TS_2_9,TS_5_10,TS_6_10,TS_8_10,TS_7_10,TS_9_10,TS_0_10,TS_1_10,TS_2_10,TS_3_10,TS_4_10,TS_1_11,TS_2_11,TS_9_11,TS_3_11,TS_5_11,TS_6_11,TS_4_11,TS_7_11,TS_0_11,TS_8_11,TS_6_12,TS_1_12,TS_9_12,TS_3_12,TS_7_12,TS_8_12,TS_2_12,TS_0_12,TS_4_12,TS_5_12,TS_8_13,TS_4_13,TS_7_13,TS_9_13,TS_6_13,TS_0_13,TS_2_13,TS_5_13,TS_3_13,TS_1_13,TS_0_14,TS_2_14,TS_8_14,TS_4_14,TS_3_14,TS_7_14,TS_1_14,TS_9_14,TS_5_14,TS_6_14,TS_0_15,TS_1_15,TS_8_15,TS_7_15,TS_4_15,TS_2_15,TS_6_15,TS_5_15,TS_3_15,TS_9_15,TS_8_16,TS_9_16,TS_0_16,TS_7_16,TS_4_16,TS_3_16,TS_5_16,TS_2_16,TS_1_16,TS_6_16,TS_3_17,TS_8_17,TS_0_17,TS_6_17,TS_7_17,TS_4_17,TS_2_17,TS_9_17,TS_1_17,TS_5_17,TS_0_18,TS_8_18,TS_4_18,TS_9_18,TS_3_18,TS_1_18,TS_7_18,TS_6_18,TS_2_18,TS_5_18,TS_5_19,TS_0_19,TS_8_19,TS_9_19,TS_2_19,TS_7_19,TS_3_19,TS_6_19,TS_1_19,TS_4_19,TS_4_20,TS_7_20,TS_6_20,TS_5_20,TS_3_20,TS_2_20,TS_1_20,TS_0_20,TS_8_20,TS_9_20
G1,0.0202785,0.0261779,0.0291064,0.0173509,0.0145064,0.0233273,0.0322745,0.0238798,0.0157438,0.0432494,0.0207034,0.0479206,0.0471229,0.0327375,0.0214111,0.0160309,0.014007,0.0090032,0.0127899,0.0192148,0.0275164,0.0287836,0.015169,0.0223722,0.0470282,0.0106962,0.0213958,0.0505369,0.0251516,0.0453373,0.011567,0.0353744,0.0220228,0.0276275,0.0383849,0.0183925,0.0239551,0.0002819,0.0432584,0.0478766,0.0297806,0.004444,0.0182263,0.0299584,0.0032486,0.0371119,0.0183919,0.0164449,0.0182622,0.0220136,0.0185678,0.027611,0.018289,0.0205299,0.0116884,0.0162663,0.0161381,0.0006897,0.0337708,0.0033592,0.0339601,0.0154111,0.0279369,0.0162472,0.0170531,0.0012597,0.0044304,0.0341111,0.0104713,0.0241326,0.0264091,0.0228735,0.045757,0.0209894,5.59e-05,0.0028735,0.0256125,0.0227559,0.0385922,0.0241315,0.0,0.0283247,0.0340274,0.0399037,0.0001086,0.0238461,0.0472627,0.0446476,0.0172366,0.0451251,0.0046053,0.0123857,0.0456799,0.0269291,0.0360369,0.023284,0.0011159,0.0182809,0.0298615,0.0125909,0.0027505,0.0230655,0.0378377,0.0143986,0.015331,0.0001634,0.0151122,0.029164,0.0147541,0.0349338,0.0329289,0.0113228,0.0262088,0.0366098,0.0338987,0.0187341,0.0243204,0.0296466,0.0114564,0.0202793,0.0249296,0.0160903,0.0450234,0.0540482,0.0227489,0.0472155,0.0250507,0.0105737,0.0360973,0.0147206,0.015758,0.0202099,0.0369768,0.0281063,0.0416463,0.0232348,0.0598761,0.0229535,0.0771384,0.0379115,0.0193827,0.0308131,0.03452,0.0212171,0.0445704,0.047065,0.059608,0.0484392,0.0250896,0.0441794,0.0196871,0.0202899,0.0197489,0.029532,0.0571485,0.0221215,0.0319823,0.0069704,0.0190191,0.0127439,0.0464777,0.0343924,0.0060526,0.0148271,0.0642164,0.0227606,0.0079159,0.0236029,0.0308082,0.0145103,0.024455,0.026299,0.0959109,0.0346995,0.0185717,0.0338939,0.0430803,0.0256297,0.0066766,0.0061059,0.0259871,0.0266075,0.0192837,0.0139292,0.0182984,0.0311862,0.0107702,0.0455491,0.0282324,0.0339509,0.0453335,0.0279166,0.0289415,0.0218465,0.0159047,0.0216309,0.048308,0.0172868,0.0329064,0.0114632,0.0322979,0.0159323,0.0394978,0.0583824,0.0196504,0.0228382,0.0278577,0.0214429,0.0288136,0.0186919
G2,0.8065911,0.6775807,0.6531208,0.8042689,0.7441802,0.7530502,0.81808,0.7723338,0.7161742,0.6813783,0.6377646,0.6105237,0.7129338,0.7499131,0.6829668,0.7067513,0.7066012,0.6726997,0.8142957,0.6361767,0.6386188,0.6230763,0.5978741,0.8038731,0.5968477,0.6552965,0.7274573,0.7476608,0.732286,0.6371085,0.7104046,0.7771784,0.6380913,0.6848133,0.8154581,0.6957686,0.6661818,0.7205531,0.7620975,0.7930446,0.6284021,0.7647174,0.7225321,0.6742536,0.64082,0.618749,0.6539009,0.631391,0.7075986,0.7445943,0.7124288,0.6455709,0.6725077,0.6518753,0.6266315,0.6974337,0.5614152,0.7679147,0.6674566,0.7046474,0.5465494,0.7759733,0.6471605,0.7938249,0.6797357,0.6415171,0.6648656,0.6449742,0.6584841,0.7054435,0.7631272,0.7172017,0.6464319,0.6292971,0.6985959,0.5964422,0.5184412,0.6972335,0.6344042,0.6740768,0.6917663,0.6314383,0.6991005,0.6553774,0.6595637,0.5948658,0.6718152,0.6042207,0.4678525,0.704294,0.6880988,0.7259151,0.726083,0.6992873,0.7381278,0.7049275,0.5839807,0.5824151,0.7459917,0.5395375,0.7826402,0.7995461,0.6465114,0.6351426,0.6819987,0.6845312,0.7400697,0.5359555,0.7785596,0.6534529,0.7897639,0.626838,0.7999568,0.6658911,0.7064515,0.6404661,0.7159408,0.7069693,0.685697,0.7104938,0.5719307,0.65304,0.7453819,0.6743652,0.7355442,0.6029282,0.5546808,0.750508,0.5763078,0.6785915,0.7634329,0.5927776,0.6384176,0.7042713,0.6462105,0.6189804,0.6216771,0.6550408,0.6614426,0.8662194,0.5902121,0.7640948,0.6663148,0.5885682,0.6533742,0.6734683,0.765952,0.6588415,0.6363212,0.7181733,0.7613792,0.8104184,0.8446026,0.6961883,0.6372273,0.7929578,0.766112,0.6339703,0.5372201,0.6498923,0.7685045,0.732067,0.6543265,0.7081495,0.6727868,0.6638545,0.6850749,0.6742212,0.7695673,0.7282265,0.7619202,0.6667567,0.9449719,0.6648191,0.6760581,0.6443187,0.6820195,0.631681,0.6391419,0.6856974,0.7177971,0.6250743,0.9035331,0.6839226,0.6952398,0.8145031,0.7106021,0.5796965,0.6125372,0.6261076,0.8684887,0.7798037,0.6599289,0.6822327,0.6541561,0.7155101,0.742139,0.8088082,0.6653762,0.722686,0.680683,0.6290561,0.6430809,0.7674569,0.6415444,0.6866016,0.6587626,0.633036,0.6936356,0.8683186
G3,0.7073181,0.6194135,0.6809823,0.6461591,0.657496,0.7413478,0.6846684,0.728229,0.6650432,0.6745383,0.61147,0.6754213,0.4175352,0.6728065,0.8376461,0.4104047,0.6671788,0.2906594,0.7522718,0.3044288,0.4190345,0.6405643,0.6649166,0.6528261,0.2542664,0.1459818,0.6655979,0.6368884,0.2290264,0.7320044,0.6043399,0.6909111,0.2681285,0.5587966,0.2000015,0.7094875,0.3540578,0.105491,0.6276416,0.6822515,0.7218868,0.645682,0.7741839,0.7485342,0.1271159,0.3984065,0.6625146,0.2232493,0.66788,0.1992271,0.2684408,0.66933,0.1486398,0.7410452,0.7437087,0.6918168,0.6866243,0.0470004,0.3706378,0.5780228,0.6536883,0.7373324,0.6664961,0.6473014,0.3255784,0.6127709,0.1111911,0.2060996,0.618229,0.2608719,0.6487331,0.1851871,0.6378132,0.2234837,0.085393,0.8024543,0.3372732,0.7128617,0.652267,0.7554568,0.1159757,0.7019897,0.7257881,0.1792699,0.6125521,0.1820409,0.6191253,0.7288577,0.3193021,0.6184339,0.114775,0.8762707,0.8046907,0.6668116,0.8068431,0.5680671,0.7276504,0.1592009,0.2127835,0.295129,0.1299467,0.1593175,0.7013139,0.5797136,0.7447147,0.7071449,0.655866,0.3333463,0.2286045,0.6197884,0.6282371,0.5771289,0.6530778,0.5050066,0.4758221,0.6081374,0.6788216,0.6245513,0.643886,0.6504242,0.7076235,0.7127846,0.6861128,0.7238317,0.8401544,0.7895459,0.562226,0.7060944,0.7667743,0.6179283,0.7055716,0.7306766,0.700466,0.739384,0.6991902,0.7347731,0.6810704,0.645732,0.6196756,0.6065287,0.7803319,0.7156711,0.566343,0.7335403,0.6841433,0.7282206,0.7264185,0.8069463,0.6204119,0.7254934,0.7137827,0.6827804,0.731869,0.7312742,0.555955,0.6776288,0.7852768,0.6668467,0.6066981,0.7346535,0.638489,0.7440406,0.6830583,0.6991693,0.5737426,0.6971059,0.8075753,0.7452393,0.7992929,0.6694643,0.732595,0.6656586,0.6818135,0.8319081,0.7360798,0.6476031,0.7016522,0.6031874,0.6458701,0.6682135,0.810366,0.5776058,0.7668956,0.730326,0.669751,0.5841533,0.573549,0.8551823,0.7189975,0.6108454,0.6324277,0.7055837,0.7394315,0.6590011,0.568949,0.7411628,0.6385611,0.7219684,0.7781198,0.7831541,0.6707518,0.6386429,0.6931562,0.8275522,0.6448492,0.7204594,0.7493415,0.7014441,0.8129989,0.6552852
G4,0.5282699,0.4502788,0.563023,0.5318619,0.5269093,0.5759558,0.498097,0.5034958,0.5060774,0.5351905,0.5192676,0.4926243,0.2022731,0.4952502,0.5888653,0.678338,0.5000449,0.2461723,0.6733707,0.5784191,0.1380103,0.5826389,0.5712536,0.5018215,0.5283971,0.2307316,0.5746871,0.6321771,0.6847428,0.5846998,0.6733221,0.6451245,0.5753266,0.6852194,0.6477307,0.5728546,0.0850126,0.2359438,0.4554166,0.5657383,0.555841,0.4666603,0.6170601,0.5684752,0.2206242,0.0600203,0.7001518,0.492815,0.5108777,0.471364,0.5647242,0.3392227,0.7035512,0.6663575,0.5956683,0.5465268,0.5891869,0.3276435,0.0557599,0.568279,0.6419207,0.6983686,0.3060309,0.4917072,0.0548791,0.6135829,0.3119726,0.5797913,0.6567268,0.4309044,0.3070311,0.6329512,0.5940873,0.5333951,0.2265365,0.4993887,0.085612,0.7384916,0.5469499,0.4808454,0.2644132,0.6672131,0.3151765,0.6513868,0.5648553,0.476031,0.7157304,0.5872352,0.1044152,0.5137283,0.2663929,0.294807,0.4659902,0.7819941,0.693135,0.6807338,0.6460573,0.6968269,0.7064171,0.085935,0.2668061,0.6072018,0.5155919,0.7089834,0.2715708,0.5932999,0.5351439,0.0672837,0.6325775,0.6341393,0.7035091,0.3601217,0.2674068,0.5748912,0.4855548,0.6154321,0.7533995,0.6894191,0.6690801,0.4712539,0.536213,0.868164,0.1906936,0.6410511,0.5642951,0.4847551,0.5891296,0.6216694,0.6201334,0.5267624,0.4617039,0.5862701,0.5840185,0.2692021,0.561902,0.5884495,0.6695906,0.618002,0.5153346,0.6158878,0.4878912,0.4530109,0.5242387,0.5027582,0.4871876,0.6946338,0.6642222,0.3646522,0.5910325,0.5148716,0.6194382,0.6989722,0.5089148,0.5950414,0.4751324,0.50809,0.6725237,0.5203922,0.4246469,0.5291243,0.484748,0.5817396,0.6363863,0.589114,0.5355782,0.4629273,0.5354215,0.6381955,0.538946,0.4792438,0.4477046,0.465899,0.3501253,0.5101224,0.5391603,0.5519422,0.4937182,0.4893296,0.5977656,0.4230865,0.5762719,0.6564323,0.5914158,0.6233119,0.4225208,0.5716268,0.5435061,0.4889549,0.4772354,0.587204,0.468075,0.453265,0.6129858,0.5672696,0.49435,0.4943776,0.5578436,0.5934775,0.5605753,0.6055773,0.5509918,0.55664,0.5537463,0.5362667,0.4870125,0.5018322,0.4779953,0.4526603,0.5053894,0.5393079
G5,0.0162976,0.0267523,0.0448891,0.0493325,0.0300622,0.0245408,0.0250052,0.03639,0.0198469,0.0171652,0.0131892,0.0311209,0.0216777,0.0205821,0.0180032,0.028173,0.03063,0.0227014,0.0567848,0.0334077,0.0434612,0.0652376,0.0059137,0.0168633,0.0226604,0.0300896,0.0182583,0.0168881,0.0275509,0.0315285,0.0225088,0.0224711,0.0239076,0.0263942,0.0291163,0.0266704,0.1170351,0.0657635,0.0649734,0.0006641,0.0198809,0.0201796,0.0282262,0.0022792,0.0803897,0.1572858,0.0148957,0.0163974,0.0275725,0.0365593,0.0135168,0.026348,0.0306166,0.0348284,0.014303,0.0189634,0.0023135,0.0546359,0.2946606,0.0368021,0.001028,0.0329697,0.0232206,0.0452923,0.2987016,0.0228521,0.0461931,0.0320835,0.0265048,0.0223637,0.0672971,0.0191537,0.0312469,0.016301,0.0491019,0.0308666,0.5177237,0.0176971,0.0054756,0.045275,0.0278627,0.028847,0.0304558,0.0050105,0.0250265,0.0358577,0.0019308,0.0229396,0.446718,0.0265252,0.0367872,0.067542,0.0151819,0.0049939,0.0427838,0.0228921,0.0172033,0.0192607,0.0207398,0.4276685,0.0443161,0.0192961,0.0371882,0.0341718,0.0824368,0.0289264,0.0063551,0.4113808,0.0158295,0.0158231,0.0215989,0.251625,0.0483576,0.0268146,0.0458404,0.024046,0.0296798,0.027003,0.0338639,0.0221071,0.0342716,0.0220113,0.0495857,0.0187574,0.0188959,0.0635316,0.1255987,0.0497183,0.0442517,0.0373265,0.030051,0.0283481,0.0130782,0.0736751,0.0175579,0.0231351,0.0364794,0.0282124,0.0413576,0.0148639,0.0318048,0.041346,0.0432275,0.0292239,0.0285676,0.0210217,0.0202023,0.065087,0.0169333,0.0341564,0.077655,0.0141795,0.0276949,0.0223822,0.0154588,0.0153221,0.0335502,0.0203229,0.0229537,0.0270021,0.0248681,0.0429449,0.021863,0.0222791,0.0224376,0.0260707,0.0201289,0.0583259,0.0205098,0.0158682,0.0230282,0.0124138,0.0199139,0.0265524,0.0289253,0.0255781,0.0214843,0.0484488,0.018533,0.0327344,0.0281825,0.0180368,0.0310004,0.0177299,0.0368245,0.0238079,0.0345467,0.0246026,0.0329443,0.0216421,0.025658,0.0116942,0.0296561,0.0266711,0.0230371,0.0787413,0.034885,0.0110337,0.0269615,0.008841,0.0150455,0.0280243,0.0263055,0.030065,0.0391461,0.0360503,0.0268951,0.0152804,0.0110887,0.0293016
G6,0.2961204,0.2750143,0.2414823,0.2442843,0.2522199,0.2255097,0.2235907,0.2525341,0.2800522,0.2582382,0.2084602,0.2113365,0.0736441,0.2526571,0.0808828,0.2163053,0.299184,0.1678269,0.180475,0.3009242,0.0546463,0.2644737,0.2287131,0.2781081,0.2545711,0.2025669,0.2241121,0.0582289,0.2447072,0.2205713,0.1895782,0.0303198,0.2434155,0.2712166,0.2065415,0.3127329,0.0094411,0.2071513,0.2295009,0.2554446,0.3143364,0.2237491,0.0105396,0.2165192,0.2079941,0.0207066,0.2840804,0.211583,0.212176,0.1835626,0.1970159,0.2942844,0.2361059,0.034713,0.2820391,0.2661343,0.2601736,0.1390989,0.0176257,0.1989014,0.2097969,0.0471604,0.2080232,0.1846852,0.0292282,0.2199166,0.2398834,0.2177764,0.2654486,0.2107959,0.2228332,0.3354973,0.2058644,0.2299966,0.1440696,0.221209,0.0125643,0.0405874,0.25882,0.2635802,0.1015009,0.0453051,0.2318727,0.2372156,0.2447055,0.2154502,0.2107568,0.2056496,0.0091207,0.2451975,0.182446,0.2785209,0.2195434,0.1976184,0.0376613,0.2287094,0.2312154,0.2119827,0.2525585,0.0136999,0.2977532,0.2034501,0.2397756,0.2635996,0.216693,0.2168901,0.2374797,0.0377042,0.230472,0.0372065,0.2600283,0.231747,0.1981388,0.1701353,0.2471957,0.2135967,0.2064173,0.2359408,0.1904346,0.2585895,0.2414797,0.2471012,0.2060188,0.2105966,0.2360961,0.2142841,0.2220221,0.3188754,0.1775297,0.1903345,0.1817272,0.2209509,0.2245604,0.1859035,0.2414292,0.2906347,0.1980392,0.2070845,0.194176,0.1645102,0.199691,0.2420576,0.1614713,0.2125387,0.1704558,0.2091331,0.2431647,0.1991167,0.2787266,0.2117943,0.2203964,0.192021,0.2459863,0.1769226,0.2679956,0.2798133,0.2239474,0.1791117,0.1930995,0.2052922,0.1373712,0.220117,0.1960079,0.2220522,0.1975195,0.2728983,0.2299324,0.2852532,0.1880866,0.1867236,0.2283835,0.1833132,0.2214631,0.2239869,0.1966974,0.2130179,0.2041076,0.3068814,0.2588839,0.1703295,0.2141249,0.1430337,0.2546,0.2121908,0.2296721,0.2378765,0.2256212,0.2155182,0.2304822,0.177852,0.2900107,0.1791397,0.1489451,0.2685124,0.1925737,0.2605683,0.1557122,0.2164205,0.251981,0.2148126,0.249734,0.1919919,0.2231995,0.2458245,0.2018955,0.2216731,0.210414,0.2102263,0.2414336,0.2565827
G7,0.0197515,0.0210664,0.0266476,0.04975,0.0386586,0.0182214,0.0198269,0.023114,0.0414449,0.0441338,0.0160737,0.0349339,0.0347077,0.0258144,0.0194276,0.0083782,0.0152545,0.0852905,0.0530392,0.0136092,0.246842,0.031469,0.0209346,0.0163217,0.0081483,0.0944017,0.0078682,0.0046823,0.0035002,0.0084805,0.0319592,0.0138123,0.0167596,0.0206031,0.0004054,0.0192532,0.4965599,0.2387984,0.0190284,0.0127511,0.026561,0.020211,0.0049813,0.0381873,0.5426597,0.5868396,0.011316,0.0138188,0.0123392,0.0001408,0.0475452,0.0337163,0.001788,0.0015299,0.0125598,0.0085781,0.0108199,0.4938717,0.597487,0.0519645,0.0091403,0.0122753,0.0135108,0.0093178,0.675922,0.0094277,0.2829758,0.0016959,0.0028933,0.0181246,0.0910189,0.005262,0.0057596,0.0246677,0.3020301,0.0281104,0.7087812,0.0102593,0.006993,0.0318347,0.259778,0.0057808,0.073567,0.0037663,0.0227281,0.0284029,0.0039009,0.0231245,0.6366677,0.0196342,0.3013962,0.0937126,0.0099658,0.0010123,0.0195556,0.0064224,0.0073092,0.0131518,0.0286748,0.7339271,0.3297036,0.0016491,0.0175066,0.0089087,0.1251363,0.0184921,0.0052473,0.6824867,0.0186029,0.0059001,0.0086589,0.6065551,0.3950912,0.0546627,0.2601008,0.011403,0.0119037,0.0053673,0.0062314,0.019731,0.0041971,0.0124728,0.5322988,0.0180731,0.0037171,0.0440459,0.5230374,0.003562,0.0012238,0.1082643,0.0533963,0.0154831,0.0035175,0.5451713,0.0321098,0.0033518,0.1986982,0.0596284,0.0159023,0.0108235,0.030648,0.0332144,0.0346961,0.0076016,0.024707,0.0048866,0.0165474,0.2338126,0.0235041,0.0137254,0.003493,0.0086571,0.0666094,0.0138714,0.0199555,0.0589236,0.0161394,0.0473177,0.012487,0.1469341,0.0710208,0.0534453,0.0151781,0.0133385,0.0446833,0.0533124,0.0300959,0.0176349,0.0088561,0.0482697,0.0469155,0.0229747,0.0515798,0.0373475,0.0120774,0.0301965,0.0632915,0.04601,0.0076374,0.0250987,0.0196378,0.0480177,0.0486805,0.043504,0.0632547,0.0297912,0.0233122,0.0235258,0.0310116,0.0322704,0.026329,0.0619514,0.0461699,0.0274014,0.0534245,0.0172482,0.0177575,0.0189675,0.0295243,0.0506671,0.0091023,0.0249397,0.0209434,0.0355776,0.0376977,0.0671035,0.0185261,0.0243318,0.0199976,0.0322437
G8,0.1274829,0.1279177,0.1772467,0.1526286,0.1151393,0.206027,0.1589234,0.1829663,0.1611403,0.1149642,0.1889988,0.089473,0.1338016,0.1122639,0.1553203,0.1486988,0.1599814,0.0388585,0.2125356,0.0471248,0.149848,0.1352741,0.1858859,0.1244445,0.0110398,0.0243648,0.1766113,0.0772303,0.1225468,0.1721214,0.1483803,0.1154845,0.0017474,0.1133854,0.1725255,0.1332141,0.1323145,0.0298118,0.1381697,0.1015473,0.1899077,0.1311151,0.1042024,0.1633983,0.0175436,0.1424018,0.1470747,0.0020084,0.160232,0.2128348,0.0002896,0.1183084,0.146286,0.1552165,0.1475284,0.1606426,0.1527516,0.0353165,0.1606215,0.2021038,0.1647925,0.1238179,0.1812133,0.1453754,0.1444573,0.1390015,0.018336,0.0894208,0.1716094,1.52e-05,0.11299,0.1174059,0.2019326,1.1e-06,0.0579341,0.1604643,0.1504621,0.1526261,0.1139993,0.1621921,0.0491746,0.1825783,0.1752416,0.1199895,0.1452196,0.0004652,0.1384385,0.1796595,0.1474739,0.1329634,0.0270978,0.1427596,0.1175871,0.1174237,0.1774861,0.1900964,0.1399698,0.2067588,2e-07,0.2177465,0.0504814,0.1398788,0.1072915,0.1522642,0.1582469,0.0715174,0.1280223,0.1801274,8.98e-05,0.1133701,0.1068363,0.1628179,0.1995649,0.1535574,0.1447867,0.1972294,0.1810447,0.1414404,0.1881142,0.1617597,0.2374749,0.1537095,0.2196843,0.1148701,0.1065299,0.1698886,0.1519205,0.169594,0.1399941,0.0877871,0.0955779,0.1531998,0.1190323,0.1774849,0.1679049,0.1534974,0.1265868,0.1869059,0.1367755,0.1318259,0.1494083,0.1650693,0.1375588,0.190533,0.0976058,0.1556154,0.2201592,0.1110235,0.155256,0.1472456,0.167635,0.168158,0.1361001,0.1018611,0.1179607,0.2441204,0.123762,0.1337931,0.1186428,0.118104,0.108124,0.1892943,0.1229525,0.1253645,0.1841263,0.115306,0.1044469,0.1714467,0.133514,0.1758061,0.1325677,0.1865026,0.1440035,0.2219319,0.1281531,0.1771496,0.1937837,0.1282687,0.1919678,0.1654627,0.1827731,0.1534859,0.1321067,0.1383952,0.1096179,0.1062155,0.1601897,0.1334339,0.2009716,0.1684284,0.1579678,0.1766995,0.1400835,0.1621056,0.1827149,0.1874878,0.1749291,0.1113533,0.1796239,0.1007719,0.1391575,0.1076904,0.1254921,0.1875628,0.1944778,0.1021256,0.1418583,0.1768897,0.2122303,0.1566213
G9,0.0829168,0.0185134,0.0416521,0.034473,0.0410551,0.0536343,0.036705,0.0521009,0.0293197,0.0327444,0.0037064,0.059044,0.0235759,0.0058814,0.0125344,0.0060999,0.0314676,0.0934044,0.0013697,0.0425836,0.0593623,0.0035788,0.0120815,0.010047,0.0330538,0.0240356,0.0490747,0.0004891,0.0004688,0.0422392,0.008118,0.0016157,0.0208534,0.009538,0.0015553,0.0376476,0.0295034,0.0223793,0.0399701,0.0025832,0.0462525,0.0113002,0.0058376,0.0070458,0.0843265,0.052854,0.0012121,0.014727,0.0969513,0.0024114,0.025455,0.1189668,0.002587,0.0032982,0.0024144,0.0255325,0.0029136,0.075733,0.061628,0.009973,0.0004213,0.0014373,0.1861372,0.0278247,0.0556645,0.0040027,0.0543233,0.0016068,0.0015347,0.0320562,0.2368287,0.0003523,0.0019518,0.0297378,0.0600346,0.0031047,0.0115993,0.0090963,0.0051978,0.0557278,0.0442938,0.001294,0.264075,0.000834,0.0113132,0.0440429,0.0022028,0.0062269,0.0310544,0.0263502,0.0616237,0.2559274,0.0343145,0.0035207,0.0032035,0.0078075,0.0013418,0.0003621,0.024067,0.0338314,0.0305786,0.0002139,0.0433902,0.0132486,0.2251429,0.0051712,0.0005325,0.0601069,0.0422506,0.0049897,0.0151195,0.04375,0.1816195,0.0348224,0.046371,0.0240109,0.0304109,0.0357709,0.0221993,0.0526446,0.0466994,0.0206422,0.0917796,0.0519517,0.057373,0.0499186,0.0152593,0.0391564,0.0214821,0.0443041,0.0225608,0.0501357,0.0593632,0.0412755,0.0370022,0.0322394,0.0261807,0.0378115,0.0430423,0.0588148,0.0516998,0.0168622,0.0343397,0.0450817,0.0355797,0.048195,0.0318273,0.0501517,0.0290171,0.0192633,0.0119195,0.0508256,0.0407443,0.0214756,0.0127786,0.0287296,0.0445768,0.0361247,0.050926,0.0400271,0.0586983,0.0428287,0.0566882,0.0426469,0.0297394,0.0324792,0.0484291,0.0668382,0.0393814,0.025725,0.0295646,0.0381547,0.0393882,0.0495324,0.0542328,0.0549642,0.0233526,0.0356707,0.0465633,0.0619357,0.0349268,0.0677899,0.0240254,0.0364018,0.0371397,0.0190831,0.0762902,0.0304344,0.0309771,0.0303515,0.036675,0.043328,0.0225749,0.0566246,0.0210032,0.0292774,0.0280612,0.0338228,0.0622025,0.0411992,0.0323064,0.0308548,0.0248144,0.0463318,0.0371317,0.0232307,0.0246767,0.0568651,0.0591784,0.0329428
G10,0.5421759,0.4652973,0.4988737,0.4874399,0.4048316,0.4287498,0.4977539,0.4795744,0.481548,0.5264545,0.3906153,0.4484181,0.4347316,0.3657247,0.488135,0.2461764,0.4427139,0.595994,0.230806,0.5390294,0.3281585,0.1517782,0.2431709,0.1905497,0.6127964,0.5996584,0.4119454,0.1774264,0.1559471,0.4473296,0.1000886,0.1106784,0.709266,0.0905312,0.0415238,0.4590145,0.2840616,0.5023948,0.3950917,0.2452951,0.4261603,0.0921211,0.0819614,0.203346,0.4440634,0.3909935,0.0337798,0.6923832,0.529482,0.0561234,0.7300063,0.5441249,0.0339233,0.0580894,0.0127668,0.4714265,0.1829254,0.4758779,0.4049783,0.1002561,0.1303238,0.0740849,0.6622488,0.5010364,0.4660147,0.0488046,0.5852956,0.0444406,0.0175,0.6641042,0.6554958,0.0357986,0.0169553,0.6878718,0.4866229,0.0397359,0.5483153,0.0857085,0.1545403,0.5037632,0.479192,0.0433812,0.69449,0.0551531,0.0148475,0.5822083,0.1391199,0.0204606,0.5511332,0.502738,0.4225899,0.6160614,0.5123775,0.1526581,0.016416,0.0544663,0.0168573,0.0158542,0.5179488,0.4992457,0.5217609,0.0162464,0.572526,0.0425357,0.7801645,0.0755214,0.1646527,0.518443,0.6090962,0.0311945,0.0400953,0.5782429,0.7113936,0.3510776,0.5011326,0.1181503,0.2457059,0.1123871,0.1726455,0.513338,0.3313814,0.1380708,0.5682589,0.3472241,0.3056014,0.4505725,0.4138185,0.3058005,0.3817775,0.3697428,0.5096601,0.4454102,0.4133895,0.6879071,0.3280181,0.3091419,0.3634026,0.442479,0.4021582,0.1946995,0.3731437,0.3364038,0.4715429,0.4181003,0.47089,0.4624198,0.2471019,0.7264729,0.4213824,0.3307849,0.3403831,0.4683684,0.5248025,0.36903,0.3857164,0.3160007,0.3517587,0.4013488,0.501514,0.5766532,0.5272873,0.4916701,0.2964732,0.4777899,0.3207726,0.6095408,0.393809,0.3851469,0.4801236,0.5328029,0.5030839,0.4144676,0.3826774,0.5429716,0.444025,0.291921,0.4610617,0.5282568,0.4091386,0.4729636,0.4424156,0.3950565,0.3474504,0.4291158,0.6556501,0.424561,0.3925703,0.4950197,0.5327803,0.4863491,0.4779764,0.4032949,0.3093049,0.4240975,0.4065666,0.4680575,0.4957504,0.5090094,0.4328465,0.355087,0.2013754,0.3927214,0.3739234,0.3779887,0.5853029,0.4902021,0.4516945,0.4824753,0.2645195,0.3564268
