,TS_0_0,TS_0_1,TS_0_2,TS_0_3,TS_0_4,TS_0_5,TS_0_6,TS_0_7,TS_0_8,TS_0_9,TS_0_10,TS_0_11,TS_0_12,TS_0_13,TS_0_14,TS_0_15,TS_0_16,TS_0_17,TS_0_18,TS_0_19,TS_0_20,TS_1_0,TS_1_1,TS_1_2,TS_1_3,TS_1_4,TS_1_5,TS_1_6,TS_1_7,TS_1_8,TS_1_9,TS_1_10,TS_1_11,TS_1_12,TS_1_13,TS_1_14,TS_1_15,TS_1_16,TS_1_17,TS_1_18,TS_1_19,TS_1_20,TS_2_0,TS_2_1,TS_2_2,TS_2_3,TS_2_4,TS_2_5,TS_2_6,TS_2_7,TS_2_8,TS_2_9,TS_2_10,TS_2_11,TS_2_12,TS_2_13,TS_2_14,TS_2_15,TS_2_16,TS_2_17,TS_2_18,TS_2_19,TS_2_20,TS_3_0,TS_3_1,TS_3_2,TS_3_3,TS_3_4,TS_3_5,TS_3_6,TS_3_7,TS_3_8,TS_3_9,TS_3_10,TS_3_11,TS_3_12,TS_3_13,TS_3_14,TS_3_15,TS_3_16,TS_3_17,TS_3_18,TS_3_19,TS_3_20,TS_4_0,TS_4_1,TS_4_2,TS_4_3,TS_4_4,TS_4_5,TS_4_6,TS_4_7,TS_4_8,TS_4_9,TS_4_10,TS_4_11,TS_4_12,TS_4_13,TS_4_14,TS_4_15,TS_4_16,TS_4_17,TS_4_18,TS_4_19,TS_4_20,TS_5_0,TS_5_1,TS_5_2,TS_5_3,TS_5_4,TS_5_5,TS_5_6,TS_5_7,TS_5_8,TS_5_9,TS_5_10,TS_5_11,TS_5_12,TS_5_13,TS_5_14,TS_5_15,TS_5_16,TS_5_17,TS_5_18,TS_5_19,TS_5_20,TS_6_0,TS_6_1,TS_6_2,TS_6_3,TS_6_4,TS_6_5,TS_6_6,TS_6_7,TS_6_8,TS_6_9,TS_6_10,TS_6_11,TS_6_12,TS_6_13,TS_6_14,TS_6_15,TS_6_16,TS_6_17,TS_6_18,TS_6_19,TS_6_20,TS_7_0,TS_7_1,TS_7_2,TS_7_3,TS_7_4,TS_7_5,TS_7_6,TS_7_7,TS_7_8,TS_7_9,TS_7_10,TS_7_11,TS_7_12,TS_7_13,TS_7_14,TS_7_15,TS_7_16,TS_7_17,TS_7_18,TS_7_19,TS_7_20,TS_8_0,TS_8_1,TS_8_2,TS_8_3,TS_8_4,TS_8_5,TS_8_6,TS_8_7,TS_8_8,TS_8_9,TS_8_10,TS_8_11,TS_8_12,TS_8_13,TS_8_14,TS_8_15,TS_8_16,TS_8_17,TS_8_18,TS_8_19,TS_8_20,TS_9_0,TS_9_1,TS_9_2,TS_9_3,TS_9_4,TS_9_5,TS_9_6,TS_9_7,TS_9_8,TS_9_9,TS_9_10,TS_9_11,TS_9_12,TS_9_13,TS_9_14,TS_9_15,TS_9_16,TS_9_17,TS_9_18,TS_9_19,TS_9_20
G1,0.6693283,0.7122283,0.6796768,0.681428,0.5874984,0.6977318,0.632697,0.5980936,0.6695188,0.6686654,0.7020672,0.6795976,0.7994815,0.7365218,0.7708589,0.7180584,0.7111762,0.809055,0.6681211,0.6426315,0.6682223,0.7849975,0.6546953,0.7552121,0.6821084,0.682919,0.7127596,0.7491879,0.6814976,0.6832694,0.6832888,0.6837735,0.6040441,0.6145304,0.5085147,0.6409742,0.7442319,0.6328913,0.7720784,0.6024146,0.585326,0.5835306,0.6915719,0.6660311,0.8162297,0.5574643,0.7108951,0.6900499,0.7689774,0.6806591,0.6910063,0.7736355,0.6218809,0.5513625,0.7907156,0.5758389,0.7288789,0.6882546,0.7568403,0.7396584,0.5900807,0.6654258,0.6558845,0.7588618,0.6756968,0.627946,0.6720928,0.6477872,0.5268845,0.5462922,0.6544596,0.629487,0.5986418,0.70489,0.6475679,0.6594209,0.7840802,0.6593454,0.6098827,0.7536847,0.7183085,0.8338775,0.7339958,0.6004441,0.7006732,0.504395,0.7524187,0.7534229,0.66612,0.5758427,0.6674036,0.7554106,0.6238413,0.7705915,0.6316079,0.6697626,0.5742747,0.6556546,0.6713196,0.5781741,0.6589689,0.6785602,0.6544672,0.6380413,0.7149671,0.6637102,0.7723435,0.7715582,0.6581312,0.6774847,0.7247728,0.7135504,0.6295054,0.6932963,0.7250439,0.6951089,0.6822907,0.6065222,0.726203,0.7190998,0.6745527,0.6815752,0.7083613,0.7448052,0.6698915,0.7049448,0.7089027,0.606031,0.578969,0.5857507,0.8378885,0.568815,0.7734546,0.6630534,0.5891346,0.6529419,0.615847,0.6143691,0.675264,0.5709363,0.6671252,0.7755466,0.6464654,0.6459403,0.6433042,0.807629,0.6656798,0.7174812,0.7502769,0.7541281,0.6648696,0.6425897,0.6603303,0.5287697,0.8316678,0.7398487,0.6413447,0.8131469,0.6348983,0.6358671,0.6425105,0.706933,0.6005304,0.5179861,0.6125079,0.6712088,0.6269241,0.6596615,0.7112628,0.7089632,0.6301139,0.6974286,0.5712569,0.6601252,0.697388,0.6698568,0.7860738,0.716207,0.7512596,0.6822202,0.8586893,0.7437746,0.7287674,0.7511161,0.6893785,0.691852,0.613203,0.6587605,0.5934633,0.7639944,0.6293888,0.6287348,0.6928748,0.6931145,0.6424927,0.7406355,0.6454732,0.7182196,0.6793303,0.6282167,0.6479568,0.6868451,0.6206705,0.5584657,0.751177,0.6589107,0.6676603,0.6372211,0.6869094,0.6715713
G2,0.5508997,0.5730301,0.7249244,0.693194,0.6719649,0.7637919,0.7103557,0.7134517,0.666588,0.7473828,0.821786,0.6430388,0.7842302,0.6462915,0.7101789,0.7393992,0.7160553,0.7010824,0.7201562,0.7217556,0.7392848,0.6991491,0.7452899,0.6066837,0.7249038,0.6287254,0.7498598,0.7466421,0.5544546,0.6817266,0.6263452,0.615527,0.8129103,0.7114034,0.5950384,0.7245299,0.6599062,0.5941034,0.643089,0.77542,0.5818333,0.6146688,0.6354297,0.6480004,0.6619769,0.6834258,0.604775,0.6997611,0.7822078,0.632903,0.6617351,0.7293994,0.7143624,0.7112845,0.784692,0.6450933,0.6722299,0.6487951,0.822414,0.6283213,0.6392406,0.6570444,0.5658764,0.6578776,0.8317978,0.6486036,0.6343863,0.748376,0.6252716,0.8001172,0.6502586,0.5873437,0.7073264,0.6599471,0.5806602,0.8013145,0.5838152,0.7515503,0.6363109,0.6962185,0.7089908,0.6435892,0.617965,0.5998053,0.5551682,0.7882661,0.8191056,0.6662776,0.6076457,0.6430501,0.6284798,0.6850656,0.685923,0.766352,0.6637503,0.6151803,0.5847468,0.7386264,0.6643799,0.6097815,0.7732242,0.6313405,0.622253,0.6759763,0.6769158,0.603285,0.6536026,0.6289832,0.6402073,0.5391215,0.5869995,0.6632177,0.5859789,0.6261121,0.662622,0.7635108,0.7573987,0.6177916,0.7636459,0.7487821,0.7035245,0.5617141,0.7389195,0.6515769,0.7914574,0.6889533,0.5488633,0.6658615,0.6895527,0.7011113,0.6818958,0.5550885,0.5650184,0.607056,0.6292329,0.7074945,0.6349326,0.6493197,0.7385915,0.7604896,0.6095933,0.6486213,0.6697898,0.7057318,0.7050975,0.6617107,0.6161406,0.7515141,0.5978379,0.6343377,0.5610355,0.6687565,0.6787063,0.6513839,0.7248148,0.7544271,0.7057236,0.6959201,0.7436141,0.695093,0.6537103,0.770921,0.6982671,0.8085716,0.836165,0.7433624,0.7069378,0.6852372,0.643022,0.6447541,0.7940111,0.6211538,0.6230283,0.616565,0.6438837,0.6936956,0.649792,0.6872217,0.6702428,0.7445367,0.7231576,0.7613144,0.7527196,0.6172114,0.7172728,0.7948697,0.7107478,0.6849284,0.7749764,0.576495,0.8140213,0.6850295,0.6721583,0.6906644,0.6623619,0.5933211,0.5845246,0.6996419,0.7340101,0.4682613,0.6775675,0.7668278,0.67477,0.5506805,0.7496612,0.8110701,0.6253892,0.6842529,0.6666298,0.6168467
G3,0.0136228,0.0033228,0.0042222,0.0027264,0.0082594,0.0006827,0.0045,0.0020218,0.0009648,0.0008936,0.0017487,0.0112819,0.0264078,0.0113837,0.0287658,0.0166274,0.0137385,0.0218347,0.0168213,0.0078346,0.0352237,0.0085605,0.0250409,0.0083778,0.0116209,0.0102679,0.0301958,0.0208985,0.0077809,0.0051065,0.0077139,0.0111488,0.0170149,0.0325827,0.0075214,0.0084107,0.0122648,0.0103378,0.0130642,0.0137258,0.0122836,0.0093507,0.0158997,0.0009714,5.16e-05,0.0024532,3.71e-05,0.0025352,0.0008324,0.0008336,0.0003063,0.0020433,0.0009032,0.0040166,0.0064032,0.0064832,0.0087547,0.0139747,0.0093463,0.0087507,0.0144954,0.0032641,0.0050438,0.0122799,0.00632,0.0032409,0.0028226,3.7e-06,0.0002202,8.93e-05,0.0030726,0.0,0.0002697,0.0010128,0.0121266,0.0246123,0.017575,0.011855,0.0159559,0.0230687,0.0160843,0.0205357,0.0132496,0.0117731,0.0252473,0.002559,0.0011901,0.0005574,0.0002159,0.0006494,0.0008335,0.0002183,0.0002546,0.0014908,0.0002255,0.0053406,0.0312829,0.0092314,0.0125791,0.0156382,0.0176719,0.0037239,0.0183288,0.01124,0.0213056,0.0095323,0.0308038,0.0119125,0.0085689,0.0154247,0.0087565,0.0169961,0.0108374,0.0111217,0.0067068,0.0146302,0.0136523,0.0150952,0.0204048,0.010222,0.0191792,0.0113153,0.0039101,0.0134537,0.018599,0.0080913,0.0166879,0.0036149,0.0164719,0.0120831,0.0135071,0.0186337,0.0081269,0.0147755,0.0350317,0.0093856,0.0230385,0.0140701,0.0243209,0.0210109,0.0642195,0.0260587,0.0117355,0.0044553,0.0100619,0.0075216,0.0138296,0.0082934,0.0077509,0.007156,0.0139771,0.0206667,0.0120657,0.0158625,0.006895,0.0071993,0.0209863,0.019982,0.0172786,0.0081341,0.0207159,0.0213816,0.0098305,0.0164761,0.0103984,0.0088306,0.0122635,0.0210706,0.0149295,0.0076507,0.0076839,0.0040491,0.0130681,0.006626,0.0161531,0.0058161,0.0191385,0.0150104,0.006622,0.0036586,0.0030179,0.0034609,0.0138806,0.0175454,0.006619,0.0164666,0.0166905,0.0092477,0.0151234,0.0127817,0.0139175,0.0122254,0.008613,0.0182388,0.0190123,0.0124287,0.0170319,0.00551,0.0150538,0.0075648,0.009048,0.0243489,0.0258012,0.0116538,0.0068957,0.004177,0.0057954,0.0062547,0.0155972,0.0177949
G4,0.0289979,0.0248309,0.0365191,0.042268,0.0401588,0.1226021,0.0583642,0.0438315,0.0442604,0.0363391,0.0475186,0.0430482,0.0785741,0.0582642,0.0544894,0.0526003,0.0271083,0.0283809,0.0387359,0.0877167,0.0224598,0.0312095,0.0088174,0.0026592,0.0020336,0.0005646,2.44e-05,0.000157,7.23e-05,0.0005293,0.0019515,0.0030281,0.0506553,0.0881522,0.0351833,0.0392034,0.0318667,0.0513559,0.0845755,0.057519,0.0306364,0.0743104,0.0247198,0.0368008,0.0663505,0.0442341,0.0282194,0.0398831,0.0303297,0.0710484,0.035692,0.0945214,0.0984217,0.0616965,0.1173417,0.0752934,0.0802031,0.0703768,0.065109,0.0217415,0.0261279,0.0524952,0.0145015,0.0262507,0.0207527,0.0385495,0.0124627,0.0086678,0.0045224,0.038304,0.0068355,0.0286913,0.0141142,0.006786,0.0070513,0.0069454,0.0198817,0.0065413,0.0281402,0.0327346,0.0253162,0.0653197,0.0274171,0.0425291,0.0275566,0.047479,0.0743728,0.0527868,0.0639737,0.0028125,0.0095598,0.0243965,0.0093807,0.0062502,0.0254669,0.0212182,0.0535915,0.0384974,0.0455112,0.0347269,0.0427572,0.0332814,0.0528574,0.0197719,0.0155307,0.0273545,0.0211696,0.0354033,0.0103908,0.0220337,0.0374274,0.0201038,0.009577,0.0079414,0.0092466,0.0185783,0.0415966,0.043878,0.0186255,0.0269989,0.0305926,0.0470045,0.0191996,0.0246606,0.0219416,0.0348947,0.0157444,0.0467638,0.0218164,0.0806692,0.0779286,0.0788549,0.1497462,0.1006203,0.1931483,0.0916289,0.1780869,0.0825878,0.0472576,0.0231628,0.0523442,0.0400997,0.0356988,0.0409914,0.0285613,0.0458839,0.0440932,0.0222268,0.043126,0.0422372,0.0965246,0.0971483,0.0526047,0.0422129,0.0298917,0.0310111,0.056966,0.0709094,0.0421415,0.049142,0.0309428,0.067378,0.0492456,0.0355446,0.0633413,0.0466974,0.0327318,0.0413334,0.0252073,0.0067075,0.0301969,0.0583767,0.0712762,0.0888392,0.0591592,0.0693561,0.0848305,0.0288804,0.0691841,0.0709612,0.1236527,0.1097873,0.0538946,0.0419277,0.0407455,0.0378015,0.0360446,0.0232885,0.0369829,0.0361039,0.0164891,0.0453403,0.0206571,0.0221337,0.0527293,0.0311665,0.0265025,0.0377652,0.0474162,0.0454556,0.0407672,0.0249456,0.0327789,0.0500465,0.0227312,0.0295177,0.0309071,0.038614,0.0378759,0.0300816
G5,0.5678845,0.4830773,0.6679092,0.6576576,0.7119518,0.5936701,0.596461,0.6592487,0.6714953,0.6854998,0.7954774,0.6214782,0.6725425,0.7375419,0.7143137,0.7360083,0.5172304,0.7837158,0.6621179,0.7213186,0.7425479,0.6339237,0.7555052,0.7625372,0.8660841,0.6433623,0.6641669,0.7355006,0.7490254,0.7956396,0.6095179,0.6568349,0.6978592,0.6708061,0.5679398,0.6273401,0.7028543,0.7137379,0.6628399,0.7434726,0.6406415,0.7081756,0.7297702,0.6560293,0.6772351,0.6818674,0.7351635,0.6642539,0.7470806,0.5488033,0.6145544,0.6651634,0.6953552,0.7299471,0.6604794,0.6691904,0.574243,0.6830212,0.6187893,0.5280023,0.5834902,0.7259815,0.5730001,0.6534472,0.5351989,0.7229664,0.7584286,0.7704502,0.6901248,0.5837516,0.6956237,0.6559847,0.6509533,0.5624288,0.5666797,0.603625,0.6365855,0.6859285,0.7049268,0.7051912,0.6393337,0.7605727,0.7133125,0.6869019,0.6447464,0.3889013,0.2912339,0.262136,0.2525717,0.2255247,0.2477369,0.2380482,0.2327329,0.1977409,0.2464195,0.5330887,0.5655613,0.809837,0.7367771,0.6843741,0.6162969,0.685707,0.7900443,0.7127285,0.7177678,0.7017239,0.2737849,0.1493032,0.1222533,0.1056115,0.0841937,0.1117293,0.088868,0.1256787,0.0779374,0.156276,0.5780934,0.5470793,0.5420502,0.6118514,0.6215227,0.550936,0.6079963,0.6781325,0.7483051,0.683646,0.7262071,0.5714018,0.57619,0.554646,0.5252129,0.5543769,0.5996667,0.5902766,0.5722381,0.4278855,0.5611247,0.6703711,0.7128033,0.706964,0.6595663,0.6752163,0.7067809,0.6647388,0.6405025,0.7065531,0.6176376,0.6715564,0.5705121,0.756047,0.6497752,0.6370473,0.6207455,0.7077286,0.5941603,0.6914591,0.6443813,0.7002631,0.7916254,0.623367,0.6450666,0.6757951,0.8013809,0.6679859,0.6593971,0.7541094,0.7027208,0.7645121,0.7448991,0.694199,0.7299787,0.6583077,0.6754048,0.5610168,0.7305803,0.6687243,0.6159578,0.672198,0.6928806,0.6604048,0.8594081,0.6439033,0.719365,0.7367014,0.7074987,0.7153941,0.8041634,0.6220943,0.6698581,0.5767363,0.5926858,0.7440679,0.7342261,0.6514516,0.685223,0.6278883,0.7147763,0.6382053,0.6148873,0.6479906,0.5749699,0.5457044,0.7615557,0.7876044,0.6843409,0.6177068,0.723836,0.7525932,0.6590074,0.8911852
G6,0.4928305,0.4313777,0.4260856,0.4470454,0.4670626,0.4949965,0.5372031,0.4390672,0.4237261,0.3835533,0.5085986,0.4994833,0.41637,0.3823002,0.4834194,0.487452,0.3857825,0.4136156,0.3808796,0.4735443,0.4647365,0.4432957,0.3516558,0.4093694,0.4006635,0.4056086,0.3505787,0.4312599,0.4688776,0.3630268,0.4538587,0.4067377,0.4496681,0.424876,0.4159229,0.5617018,0.4657743,0.4555039,0.3849916,0.4811047,0.4018562,0.3550737,0.4024997,0.4193202,0.3876166,0.654988,0.4423654,0.4984919,0.7789623,0.6372663,0.7564601,0.653605,0.7053887,0.6955866,0.648019,0.6342801,0.4576204,0.5054617,0.4318038,0.5161552,0.3531737,0.3664695,0.3370608,0.3616918,0.3644922,0.4222953,0.4055372,0.442418,0.3863167,0.4170328,0.3434302,0.3971416,0.4528821,0.4555509,0.4333908,0.4675706,0.5100522,0.4504306,0.4432702,0.3916828,0.2817525,0.3376534,0.3829637,0.3679547,0.4539342,0.3863479,0.4354303,0.4873907,0.3424739,0.4031087,0.3822597,0.3393321,0.2559681,0.3484062,0.4623007,0.356578,0.3799022,0.4067803,0.5011149,0.3821109,0.435382,0.4573969,0.3792627,0.4097215,0.3810674,0.3452995,0.4216725,0.4590421,0.4257125,0.3965689,0.4396429,0.4740078,0.3586795,0.4709476,0.4832762,0.3893796,0.3813637,0.403314,0.3233392,0.2600457,0.4075639,0.3824305,0.4007344,0.4213995,0.3272908,0.2889369,0.4449346,0.405249,0.4223055,0.4152771,0.4556427,0.5212606,0.391179,0.3888686,0.4382028,0.4677556,0.4204929,0.340471,0.313091,0.4339674,0.4436423,0.3420966,0.2739534,0.4512824,0.417872,0.4365365,0.3678487,0.3996029,0.3649645,0.4643673,0.4193559,0.5588855,0.3497969,0.370268,0.3317181,0.3768505,0.4410416,0.3240236,0.3391312,0.4151122,0.3353848,0.3729775,0.476219,0.3661303,0.3658647,0.353294,0.4297682,0.4173385,0.4287102,0.5270969,0.3368465,0.3630186,0.4224003,0.4931554,0.400564,0.4517109,0.3800994,0.4862688,0.5347939,0.3844898,0.4843238,0.4720889,0.4141755,0.473101,0.3801062,0.4039375,0.3952409,0.3828497,0.3772912,0.4380034,0.3757669,0.4166817,0.416257,0.4622938,0.4667666,0.38403,0.40245,0.4179822,0.4101172,0.4984622,0.4782491,0.3627559,0.4884675,0.3728268,0.4731472,0.4877308,0.3862073,0.3303145,0.3402812,0.4504599
G7,0.0423652,0.0494226,0.0423359,0.0271724,0.0511254,0.0231423,0.1059472,0.054789,0.0601948,0.0836775,0.0530173,0.0275628,0.0318521,0.0534344,0.032297,0.0225609,0.0833977,0.0404478,0.0780795,0.0706693,0.0516885,0.05049,0.0268198,0.0274871,0.0483937,0.0351579,0.0561952,0.0604045,0.062193,0.0225252,0.0241787,0.0317032,0.0524816,0.0602158,0.0981201,0.0906335,0.0567476,0.0560885,0.047854,0.0666309,0.0835945,0.0572817,0.0442159,0.096874,0.2525158,0.2875357,0.3779279,0.5067724,0.380744,0.387397,0.3661686,0.4025162,0.4140728,0.1751416,0.1091526,0.0648976,0.0673735,0.0359269,0.0495624,0.0673417,0.0786822,0.0648753,0.06383,0.0370203,0.0073808,0.0300528,0.0242969,0.0131368,0.037847,0.0280973,0.0123317,0.0049681,0.0315466,0.0083784,0.0770074,0.0524135,0.0587168,0.0624501,0.0500597,0.0637334,0.0567428,0.0596054,0.0608823,0.039751,0.0549167,0.0488648,0.0301342,0.0403653,0.0684583,0.0351434,0.078732,0.0644993,0.0940049,0.0560374,0.0514486,0.0476914,0.0630503,0.049813,0.0398835,0.0453725,0.0326264,0.0330452,0.0483311,0.0709231,0.0512821,0.0443581,0.0591303,0.0606061,0.0896208,0.0332316,0.0326565,0.0408629,0.043716,0.079813,0.0611867,0.0358667,0.0433647,0.0400638,0.0360564,0.0525663,0.0567926,0.0426857,0.0496831,0.042905,0.1559812,0.0814397,0.0600508,0.0825718,0.0535344,0.0674972,0.0609393,0.1000328,0.0586909,0.1020557,0.0643103,0.0630349,0.0630539,0.075559,0.0424153,0.0282768,0.1028432,0.0427745,0.0363875,0.036479,0.0344124,0.057534,0.0637746,0.0484259,0.0395824,0.0489965,0.0296552,0.0475375,0.0412511,0.0394563,0.0493373,0.1200431,0.0411707,0.0766488,0.0487402,0.0343518,0.038208,0.0683203,0.0444742,0.1024336,0.0646068,0.0791268,0.0463806,0.0539022,0.0373814,0.0651812,0.0573273,0.0749513,0.0926293,0.1004043,0.1140398,0.0767293,0.1058815,0.0981876,0.0854447,0.0524135,0.0301175,0.0630495,0.0611241,0.0372066,0.0358957,0.0703256,0.0544688,0.0571547,0.0293129,0.070684,0.0650342,0.0626615,0.0378546,0.1067014,0.086409,0.0462576,0.0714692,0.09679,0.0636316,0.0554209,0.0463981,0.0338894,0.0718276,0.0367039,0.0420316,0.0355051,0.0938732,0.0664024,0.0712429,0.0796112
G8,0.5974303,0.4441604,0.4824875,0.355398,0.3812869,0.3732543,0.2911835,0.3333366,0.3338807,0.241327,0.2826422,0.4149447,0.5073263,0.5563183,0.6945606,0.5845251,0.5488108,0.5428268,0.545771,0.602637,0.6675905,0.6602466,0.6528709,0.6397867,0.6544475,0.517167,0.5130474,0.4672888,0.5018521,0.5763069,0.5523429,0.4910454,0.4443532,0.5171735,0.4542511,0.3993372,0.3452719,0.3687793,0.4513944,0.528958,0.5263458,0.3671437,0.5879871,0.5053863,0.5627184,0.4352322,0.4045063,0.4873573,0.4781814,0.282884,0.3712553,0.3913861,0.4271519,0.3801838,0.4167262,0.447699,0.4487586,0.4061908,0.4937845,0.5772726,0.5163878,0.4402421,0.4687377,0.5199393,0.2784765,0.2061836,0.1900105,0.1468471,0.1340528,0.1906248,0.1325856,0.1704565,0.1411703,0.1422972,0.2553721,0.2682068,0.509346,0.5716768,0.5152209,0.4821294,0.537457,0.4851526,0.5093327,0.6247583,0.4972575,0.4771951,0.4193784,0.3991609,0.3548513,0.4179372,0.4278656,0.4046685,0.4161888,0.4591626,0.3957835,0.4518113,0.4295576,0.6076847,0.5339022,0.5321264,0.5264879,0.4386331,0.6242574,0.4447142,0.5163222,0.5375403,0.4609086,0.4527367,0.4677699,0.4252002,0.3568347,0.4940295,0.5287008,0.5174837,0.6192905,0.4853528,0.4929999,0.634977,0.5904536,0.5911906,0.5912525,0.4633232,0.4000974,0.3906804,0.4883976,0.4525046,0.557717,0.5084256,0.6658093,0.6165764,0.5618328,0.5918768,0.6235074,0.5567188,0.619757,0.5967668,0.6253697,0.6626894,0.6029304,0.4954075,0.6838232,0.5417813,0.5244195,0.4457198,0.4294048,0.4072455,0.4382214,0.587831,0.5762404,0.594931,0.5551982,0.4787268,0.6696328,0.4596997,0.4241198,0.4879444,0.4194123,0.5213657,0.6324885,0.4914411,0.5962014,0.3846984,0.4356027,0.4637617,0.5362636,0.5091443,0.5443699,0.5197497,0.5285662,0.5975749,0.6573218,0.665613,0.6643968,0.646083,0.5559719,0.6133175,0.6308483,0.7417288,0.6171379,0.5001429,0.5431724,0.4431934,0.4661675,0.5200596,0.4535796,0.5318411,0.5317754,0.4610308,0.5127563,0.4499095,0.4431591,0.4149084,0.4112915,0.5260077,0.4641616,0.5690518,0.6561776,0.5432908,0.5005318,0.5227788,0.5086821,0.4994656,0.4357542,0.4671073,0.5482189,0.4389673,0.4044959,0.4882562,0.5265717,0.45884
G9,0.2462362,0.3180647,0.236577,0.1503533,0.1217666,0.1309743,0.1725557,0.193058,0.2826966,0.2269049,0.1548475,0.1652503,0.289723,0.2148191,0.2161306,0.2093487,0.1569292,0.1689569,0.1835833,0.2005481,0.2540823,0.343572,0.059389,0.0438341,0.046618,0.0222194,0.022372,0.0157397,0.0453686,0.0284732,0.0712584,0.0705281,0.25028,0.2755117,0.2846306,0.1845905,0.1263352,0.2063301,0.180652,0.1431964,0.1076291,0.1194448,0.3428294,0.2104528,0.0875842,0.0175039,0.009123,0.0214993,0.0010815,0.0010409,0.0012861,0.0019656,0.0005967,0.0095532,0.0226336,0.0414009,0.1044027,0.2819125,0.2277025,0.3166654,0.2765359,0.3356141,0.2497854,0.3494492,0.2535728,0.565727,0.5416816,0.5779255,0.5299338,0.3228879,0.4658369,0.5730029,0.6194576,0.6637689,0.525809,0.4118997,0.329131,0.2517089,0.2435252,0.2051507,0.1972514,0.1605433,0.2936736,0.2063366,0.3061915,0.1598168,0.3520122,0.4420181,0.3357031,0.2197651,0.2661319,0.1732663,0.2501888,0.1928243,0.1192346,0.2039044,0.1920645,0.0897815,0.1451603,0.1898058,0.1931509,0.2369951,0.2824736,0.2912028,0.2076272,0.2062909,0.1000675,0.0963203,0.054876,0.0704591,0.1589785,0.1299291,0.1079323,0.1454612,0.1171314,0.144065,0.2521282,0.2719238,0.2419408,0.2763371,0.3587062,0.2181974,0.149361,0.1928794,0.184874,0.1451581,0.2516246,0.1716985,0.1224984,0.1893802,0.2723212,0.1595357,0.1730146,0.2450797,0.1771516,0.1586952,0.1905945,0.1344623,0.1818487,0.1748675,0.207231,0.2660901,0.3259066,0.1863541,0.2156109,0.1350105,0.1290712,0.2447062,0.0655138,0.0670529,0.1136339,0.0981982,0.1778863,0.1978941,0.117881,0.0871201,0.063464,0.0860549,0.1381663,0.0893034,0.177175,0.2190526,0.1251707,0.1904797,0.1369254,0.1949847,0.2491954,0.240675,0.2838292,0.0921796,0.0476357,0.0246496,0.042496,0.0198163,0.0122315,0.0505048,0.0171134,0.0067434,0.0044259,0.10036,0.1484165,0.1277891,0.2332113,0.1624204,0.2411488,0.2275023,0.315122,0.2725113,0.2444469,0.3001351,0.3274885,0.3031669,0.1950815,0.1908425,0.2018199,0.1958695,0.1888501,0.109276,0.1288986,0.2778031,0.2837815,0.2818361,0.169307,0.1411081,0.1872302,0.2662197,0.2115191,0.2139208,0.1375534,0.1405948
G10,0.7389609,0.5315991,0.5538768,0.5016564,0.5041335,0.451931,0.5543529,0.7008965,0.604369,0.5481982,0.5317072,0.5669876,0.5583752,0.6373005,0.6223414,0.5706088,0.5976375,0.6739073,0.6254382,0.5108831,0.5523516,0.7006328,0.6247042,0.617304,0.7017321,0.6939338,0.6833129,0.5733562,0.7905692,0.6100436,0.6468724,0.7679776,0.5773701,0.6190947,0.5605515,0.589458,0.4703423,0.5004095,0.54724,0.658658,0.6602671,0.471285,0.7172796,0.6550845,0.3712514,0.2332696,0.0902422,0.0282058,0.0086186,0.0408405,0.0066846,0.0129492,0.0066867,0.0425967,0.0718053,0.1615124,0.3399115,0.5693039,0.5953384,0.5632394,0.6356269,0.6447867,0.5969031,0.6845662,0.6559359,0.6751674,0.6825766,0.6537596,0.6425486,0.6295352,0.6779036,0.6658982,0.6451839,0.6267809,0.5622666,0.6201211,0.6421966,0.6555984,0.6982231,0.5607403,0.6992132,0.5777504,0.5863321,0.6781271,0.612118,0.2628436,0.3187451,0.3926869,0.3062686,0.2693595,0.3612106,0.2116538,0.2875395,0.2580959,0.2502409,0.5214206,0.5347824,0.5744363,0.4947374,0.4949349,0.6951162,0.6743942,0.6481764,0.4878439,0.4467094,0.5912584,0.5090857,0.6593868,0.6241983,0.6465471,0.5918461,0.7037807,0.5252125,0.6910917,0.6454634,0.5546386,0.4568601,0.4977241,0.5549606,0.6407764,0.6862999,0.6380601,0.6373221,0.477559,0.5055522,0.5530798,0.6811789,0.1417531,0.0697209,0.0558318,0.0440084,0.0356583,0.0186724,0.0238071,0.0247855,0.0084989,0.020166,0.5079381,0.4815432,0.6182542,0.5944116,0.5555403,0.7052019,0.641243,0.7057754,0.5586464,0.5607757,0.609931,0.472247,0.5271601,0.4872875,0.4357819,0.5051218,0.5260572,0.5061684,0.4502593,0.4323338,0.3937565,0.5157533,0.5253844,0.4932642,0.5929769,0.5925544,0.6340229,0.5700314,0.595648,0.6670701,0.668013,0.6852196,0.5348631,0.6335943,0.5383277,0.4726653,0.3822592,0.4744011,0.3395223,0.4986277,0.3551058,0.3577892,0.548562,0.4988248,0.4649176,0.5993739,0.527769,0.5284641,0.6443629,0.6103411,0.6169135,0.6251642,0.6313539,0.6811126,0.6091443,0.5135374,0.5868782,0.5178686,0.5451628,0.4646562,0.5101777,0.6135759,0.6087142,0.5353032,0.5200883,0.5791889,0.6080276,0.5404333,0.6587545,0.5379004,0.5764595,0.4942054,0.4471887
