,TS_0_0,TS_0_1,TS_0_2,TS_0_3,TS_0_4,TS_0_5,TS_0_6,TS_0_7,TS_0_8,TS_0_9,TS_0_10,TS_0_11,TS_0_12,TS_0_13,TS_0_14,TS_0_15,TS_0_16,TS_0_17,TS_0_18,TS_0_19,TS_0_20,TS_1_0,TS_1_1,TS_1_2,TS_1_3,TS_1_4,TS_1_5,TS_1_6,TS_1_7,TS_1_8,TS_1_9,TS_1_10,TS_1_11,TS_1_12,TS_1_13,TS_1_14,TS_1_15,TS_1_16,TS_1_17,TS_1_18,TS_1_19,TS_1_20,TS_2_0,TS_2_1,TS_2_2,TS_2_3,TS_2_4,TS_2_5,TS_2_6,TS_2_7,TS_2_8,TS_2_9,TS_2_10,TS_2_11,TS_2_12,TS_2_13,TS_2_14,TS_2_15,TS_2_16,TS_2_17,TS_2_18,TS_2_19,TS_2_20,TS_3_0,TS_3_1,TS_3_2,TS_3_3,TS_3_4,TS_3_5,TS_3_6,TS_3_7,TS_3_8,TS_3_9,TS_3_10,TS_3_11,TS_3_12,TS_3_13,TS_3_14,TS_3_15,TS_3_16,TS_3_17,TS_3_18,TS_3_19,TS_3_20,TS_4_0,TS_4_1,TS_4_2,TS_4_3,TS_4_4,TS_4_5,TS_4_6,TS_4_7,TS_4_8,TS_4_9,TS_4_10,TS_4_11,TS_4_12,TS_4_13,TS_4_14,TS_4_15,TS_4_16,TS_4_17,TS_4_18,TS_4_19,TS_4_20,TS_5_0,TS_5_1,TS_5_2,TS_5_3,TS_5_4,TS_5_5,TS_5_6,TS_5_7,TS_5_8,TS_5_9,TS_5_10,TS_5_11,TS_5_12,TS_5_13,TS_5_14,TS_5_15,TS_5_16,TS_5_17,TS_5_18,TS_5_19,TS_5_20,TS_6_0,TS_6_1,TS_6_2,TS_6_3,TS_6_4,TS_6_5,TS_6_6,TS_6_7,TS_6_8,TS_6_9,TS_6_10,TS_6_11,TS_6_12,TS_6_13,TS_6_14,TS_6_15,TS_6_16,TS_6_17,TS_6_18,TS_6_19,TS_6_20,TS_7_0,TS_7_1,TS_7_2,TS_7_3,TS_7_4,TS_7_5,TS_7_6,TS_7_7,TS_7_8,TS_7_9,TS_7_10,TS_7_11,TS_7_12,TS_7_13,TS_7_14,TS_7_15,TS_7_16,TS_7_17,TS_7_18,TS_7_19,TS_7_20,TS_8_0,TS_8_1,TS_8_2,TS_8_3,TS_8_4,TS_8_5,TS_8_6,TS_8_7,TS_8_8,TS_8_9,TS_8_10,TS_8_11,TS_8_12,TS_8_13,TS_8_14,TS_8_15,TS_8_16,TS_8_17,TS_8_18,TS_8_19,TS_8_20,TS_9_0,TS_9_1,TS_9_2,TS_9_3,TS_9_4,TS_9_5,TS_9_6,TS_9_7,TS_9_8,TS_9_9,TS_9_10,TS_9_11,TS_9_12,TS_9_13,TS_9_14,TS_9_15,TS_9_16,TS_9_17,TS_9_18,TS_9_19,TS_9_20
G1,0.691308,0.7413439,0.6728507,0.6809258,0.6137118,0.6363262,0.696168,0.6098465,0.629208,0.6740766,0.7484453,0.7207091,0.6731626,0.770135,0.7071413,0.6572791,0.6432803,0.6229188,0.6383106,0.7021391,0.7582385,0.7788688,0.6663169,0.7173434,0.7734674,0.6373503,0.5275768,0.3831473,0.2544962,0.1504836,0.0565412,0.071116,0.2302988,0.5358149,0.582402,0.7174288,0.6796047,0.741119,0.6491997,0.7708384,0.7169185,0.6598156,0.8855986,0.5989928,0.7629037,0.604903,0.7755965,0.6514676,0.8353534,0.7441197,0.7015173,0.749616,0.8480229,0.6769833,0.7366729,0.7174058,0.6831265,0.6292959,0.6661593,0.646776,0.6377666,0.6988044,0.8535805,0.6214179,0.7004148,0.6714825,0.7345295,0.6490315,0.6924614,0.6915201,0.7872874,0.6667168,0.6961313,0.8452883,0.6471141,0.6973412,0.6439707,0.6370569,0.6511833,0.6951929,0.6903371,0.6499837,0.6148008,0.7321167,0.845346,0.6581685,0.6708874,0.5956306,0.670118,0.6400924,0.599406,0.6642876,0.7003224,0.7318879,0.6425665,0.6073885,0.7800966,0.6083657,0.609651,0.6892535,0.6224518,0.7402962,0.7098229,0.743344,0.7127229,0.7217786,0.7613383,0.7347279,0.6242259,0.7792579,0.6696046,0.5991868,0.6735526,0.6101928,0.705859,0.6585409,0.6166383,0.7073153,0.690124,0.6880935,0.6268282,0.7215149,0.7734261,0.7003927,0.7355409,0.6753514,0.6885906,0.7870819,0.7651361,0.6824671,0.7023008,0.7099768,0.6553668,0.6517003,0.5115777,0.8077743,0.6488057,0.5616637,0.4819486,0.6839694,0.6803779,0.7467618,0.6351368,0.8079984,0.7415502,0.6854289,0.7515655,0.7474095,0.5993959,0.5061086,0.7749279,0.7426556,0.7346323,0.599172,0.6700049,0.6555148,0.657232,0.7460455,0.6477874,0.6187458,0.6627269,0.7490962,0.5959702,0.7035206,0.7141692,0.6454952,0.7326729,0.6622019,0.7050293,0.734209,0.6052725,0.6525033,0.7621901,0.6633613,0.7331774,0.6812549,0.7190805,0.6061538,0.7185431,0.6968093,0.7045919,0.8672886,0.6664613,0.7137611,0.6751634,0.859849,0.6787096,0.7224443,0.6586122,0.6742815,0.7926508,0.6868737,0.6505795,0.650354,0.6863796,0.5435269,0.6362886,0.6258844,0.704431,0.6513481,0.583455,0.6734495,0.6760277,0.6022622,0.6976209,0.6749049,0.6438795,0.8851527,0.6144351,0.899845
G2,0.6567793,0.6184085,0.6568866,0.6049703,0.6191613,0.7182969,0.7092364,0.6958623,0.7856424,0.5858979,0.7783324,0.7416197,0.529237,0.6386027,0.64799,0.5708243,0.5906736,0.5353797,0.6609917,0.5518516,0.5112731,0.6145639,0.5981793,0.6656203,0.693665,0.5110355,0.3879387,0.538337,0.5270851,0.4695095,0.1844806,0.1020385,0.0760721,0.2736716,0.3525996,0.4960225,0.5263352,0.5255141,0.6725619,0.6073357,0.6341265,0.6132563,0.5924112,0.5898355,0.6134018,0.5192165,0.5609663,0.5192397,0.5150512,0.6795749,0.5558317,0.6520275,0.6305776,0.4716536,0.5453348,0.5293456,0.6379879,0.4987816,0.4921887,0.5685218,0.5898995,0.599211,0.6372889,0.6462376,0.5767542,0.6471712,0.5633462,0.5275217,0.6179494,0.4701061,0.5610871,0.5362036,0.6409426,0.6099654,0.5231204,0.5006062,0.7655943,0.5378904,0.5205249,0.5294603,0.6018302,0.5436158,0.6886655,0.7085387,0.5228311,0.706383,0.5513458,0.6172587,0.5040012,0.5382876,0.6643971,0.6011676,0.57443,0.5855873,0.620674,0.5924043,0.6991497,0.6759278,0.4819234,0.4846711,0.5170409,0.6689912,0.6134671,0.7066769,0.6114567,0.4831265,0.6208057,0.4976997,0.6230785,0.7259164,0.5576945,0.4773399,0.693162,0.6425109,0.581653,0.6660084,0.6159549,0.5531753,0.6461333,0.5928549,0.5785414,0.5720622,0.7563241,0.6909656,0.5070762,0.5793022,0.5903317,0.6881998,0.5937675,0.5670307,0.5096599,0.5963986,0.5110473,0.560872,0.4763379,0.6067153,0.5184153,0.5644534,0.5170485,0.5516392,0.5828396,0.5479863,0.5627262,0.6476301,0.5481132,0.6166969,0.6308145,0.6644122,0.641437,0.6292659,0.6940261,0.6072573,0.6052945,0.6157864,0.5980162,0.5452758,0.6124569,0.566692,0.6591806,0.5768541,0.5226523,0.5586132,0.5792202,0.6232915,0.5880886,0.5557466,0.5229675,0.5611373,0.6125743,0.5004051,0.4898201,0.5216845,0.614024,0.6048994,0.6745121,0.5482947,0.5591555,0.6399177,0.5392399,0.7752921,0.6034801,0.5782675,0.6695891,0.6213858,0.6730681,0.5059996,0.6442816,0.5855105,0.4499963,0.6375448,0.6939585,0.610128,0.6891997,0.5193898,0.6279814,0.5345561,0.7220532,0.5818085,0.6578648,0.6747729,0.7074337,0.5152547,0.6892791,0.6124348,0.5252871,0.6496736,0.5514811,0.5401342,0.6835976,0.5520891
G3,0.126126,0.0139729,0.0538024,0.0640882,0.0421523,0.0378489,0.0314187,0.0211369,0.0556399,0.0481248,0.0561411,0.0369476,0.0296059,0.0289337,0.0381856,0.0473978,0.0280292,0.013588,0.0304427,0.0296681,0.0266726,0.0372957,0.0218912,0.0642424,0.0424689,0.0456284,0.0418238,0.0904301,0.1034618,0.1803716,0.1472441,0.2244749,0.1800687,0.0581168,0.0296131,0.021918,0.0298459,0.0273225,0.0156882,0.0418649,0.0360379,0.0494995,0.074717,0.0127503,0.035409,0.0211098,0.0198337,0.0261419,0.0089257,0.0170628,0.0475375,0.0196187,0.0098662,0.0087788,0.019565,0.0216186,0.0491476,0.034508,0.02828,0.0343218,0.0114031,0.0254752,0.0363779,0.0525839,0.0097512,0.0082002,0.0067757,0.00935,0.0153397,0.0074722,0.0039287,0.0066724,0.0070249,0.0148513,0.0221571,0.0291439,0.0220817,0.0402764,0.0390985,0.0397098,0.0143775,0.0366093,0.0292031,0.0083567,0.0469801,0.0114745,0.0193883,0.0171503,0.0225401,0.0278266,0.033959,0.0376307,0.0075757,0.0200952,0.0365955,0.0227472,0.0102838,0.0328919,0.029327,0.0549481,0.0236432,0.027822,0.0156987,0.0214698,0.045938,0.0549178,0.0284581,0.011471,0.020656,0.0292711,0.0171412,0.0263804,0.0370736,0.0087864,0.0192544,0.0208586,0.0261659,0.0416343,0.0138927,0.0162006,0.0319709,0.0140556,0.0472546,0.031963,0.0148578,0.0368407,0.0298194,0.0266209,0.0313514,0.0562549,0.0392773,0.0324593,0.0424375,0.0580971,0.0732947,0.0656254,0.0692395,0.0559222,0.0484559,0.0432023,0.0311002,0.0265859,0.0530642,0.0342314,0.0298855,0.021554,0.0267164,0.0409974,0.0320525,0.0557613,0.0284332,0.0733799,0.0271953,0.0578153,0.0191953,0.014678,0.0247819,0.0434231,0.0164107,0.0225128,0.0428105,0.0429867,0.0355652,0.0305221,0.0164938,0.0251109,0.0486294,0.0816533,0.0392566,0.0486319,0.0167535,0.0280678,0.0233856,0.0153731,0.0229915,0.0100622,0.0478486,0.0262903,0.0391313,0.0338711,0.0448329,0.015713,0.0541798,0.0268789,0.0360098,0.0516153,0.0226869,0.0295186,0.0424045,0.052582,0.0462795,0.079324,0.0505193,0.0799459,0.0542193,0.0579561,0.0677659,0.0437623,0.0431817,0.0340437,0.044941,0.0508442,0.0222206,0.0264279,0.0317704,0.0229269,0.0194984,0.0205095,0.0245096,0.0211657
G4,0.3114136,0.4435612,0.619566,0.5408311,0.6308874,0.6514447,0.6260449,0.7289433,0.6115156,0.6428862,0.615414,0.527458,0.4794606,0.4589032,0.4786864,0.4099947,0.4646206,0.4143393,0.4045287,0.4455462,0.6044128,0.3514918,0.4122108,0.40016,0.4565836,0.4583048,0.2946977,0.283102,0.176735,0.1910944,0.1227434,0.1903246,0.3000158,0.4682541,0.4445687,0.4118594,0.4648775,0.5366918,0.3319922,0.4113232,0.4536425,0.4351106,0.3538353,0.4033756,0.5051971,0.5498904,0.70535,0.6595417,0.7039605,0.5698784,0.6158746,0.6268926,0.6898355,0.6967581,0.4814007,0.4980332,0.4247354,0.360672,0.4628577,0.4336869,0.3964817,0.4273631,0.3976115,0.3905984,0.4723341,0.3802221,0.4550364,0.3355383,0.3398246,0.3602074,0.3247836,0.392847,0.3490817,0.3439683,0.3382714,0.3855534,0.4658873,0.3793347,0.3625347,0.4048053,0.4940959,0.4601719,0.4929221,0.4745899,0.4256813,0.5646146,0.6117911,0.5158182,0.540545,0.4896968,0.4434393,0.5419244,0.5570494,0.6369607,0.6351676,0.5300629,0.4690086,0.3548039,0.3624744,0.3558158,0.4120786,0.4740737,0.4432108,0.4595958,0.3429805,0.3780194,0.5818417,0.6967669,0.7592308,0.7481216,0.7474751,0.8790666,0.7666738,0.7706181,0.5664573,0.6129411,0.7098562,0.4885732,0.4220132,0.4038256,0.5202999,0.3430146,0.3627988,0.2486641,0.4138152,0.3924321,0.3063227,0.3840084,0.5225512,0.4948315,0.5111285,0.474258,0.5243743,0.4141389,0.5007227,0.4674939,0.4114348,0.4900432,0.5494274,0.4767217,0.5416106,0.4484044,0.4679398,0.4620497,0.4525894,0.3969441,0.3784586,0.3544825,0.3686273,0.2828475,0.2702666,0.3726582,0.3644102,0.4900368,0.4688719,0.5025341,0.4316072,0.4397981,0.3530252,0.3272966,0.4234557,0.3697077,0.2750004,0.4483214,0.4471046,0.4208682,0.4279489,0.4507887,0.3523258,0.3141284,0.312975,0.3688099,0.3940932,0.3627078,0.4389124,0.538515,0.385906,0.3835044,0.3410118,0.4650843,0.4511869,0.3392835,0.4361865,0.3687329,0.358296,0.3781097,0.4342594,0.4203087,0.2843325,0.3095197,0.2871081,0.4525568,0.3902349,0.4746383,0.4046072,0.3313953,0.3848036,0.477497,0.2874029,0.3388777,0.4688325,0.4500899,0.5376004,0.5094496,0.3737951,0.3679431,0.3720777,0.4532463,0.3649476,0.5374484
G5,0.01471,0.0125125,0.0138998,0.0091357,0.0178326,0.0068649,0.0166364,0.0177828,0.031258,0.0085024,0.0111434,0.0120312,0.0090545,0.0080435,0.0297563,0.0116365,0.0075622,0.0305536,0.0593697,0.0149638,0.0184872,0.0315917,0.0078053,0.03993,0.0070484,0.0138184,0.0100558,0.0290083,0.0424577,0.0596147,0.1449973,0.194848,0.1388709,0.0896708,0.0712154,0.0368268,0.0301752,0.0248213,0.0145771,0.0188918,0.0235946,0.0564507,0.015359,0.0051659,0.002919,0.0016305,0.0002429,0.0115712,0.000634,0.0003422,9.78e-05,0.0040487,4.84e-05,0.0102096,0.0166781,0.0293937,0.0166541,0.0299658,0.037225,0.0240353,0.0414728,0.0316835,0.01375,0.0130002,0.0121953,0.0442661,0.0385742,0.0198849,0.0111855,0.0192222,0.040897,0.0463217,0.0124998,0.0271334,0.0431673,0.0465362,0.0152118,0.0323821,0.015101,0.017195,0.0432456,0.0472254,0.0151554,0.0048521,0.0207264,0.0341762,0.0142433,0.0169519,0.0257695,0.0031589,0.0419894,0.0147495,0.0146162,0.0141485,0.0135525,0.0192505,0.0194191,0.014951,0.0064798,0.0353055,0.0321994,0.0232022,0.0178746,0.0212063,0.0259702,0.0194099,0.0082602,0.0089382,0.0078811,0.0137482,0.0082389,0.0084156,0.0031092,0.0013298,0.0041531,0.0076357,0.0021327,0.0102295,0.0175467,0.0156622,0.0254298,0.0228513,0.0303021,0.0326938,0.0277711,0.0172481,0.0200598,0.0121556,0.0203868,0.0119446,0.0162509,0.0172057,0.0155294,0.0228488,0.0206614,0.032666,0.0164841,0.0287968,0.0242532,0.0076539,0.0090129,0.0214375,0.0206452,0.0249893,0.0471516,0.0263356,0.0262708,0.0089832,0.0313504,0.0437978,0.0330527,0.0309004,0.0463328,0.0224007,0.0095633,0.0102282,0.0237306,0.0093161,0.0060191,0.0035008,0.0258363,0.0169508,0.0225779,0.0173458,0.0577101,0.0241493,0.0250507,0.0202989,0.034895,0.0348902,0.0366629,0.041389,0.0293972,0.010811,0.0177288,0.0218712,0.0185264,0.0153078,0.0123839,0.0256328,0.0229869,0.022988,0.033519,0.0311398,0.0256546,0.0595195,0.0115735,0.0098012,0.0453107,0.0131943,0.0408676,0.0367879,0.0197388,0.0376573,0.0531948,0.0356665,0.0231037,0.0180746,0.0276308,0.0303976,0.035609,0.0154023,0.0123809,0.0340757,0.0090483,0.0083399,0.0342692,0.0322456,0.0221409,0.0279986
G6,0.5117108,0.4913396,0.5213876,0.548093,0.7857941,0.6035284,0.6645565,0.5744709,0.5848625,0.7026475,0.5792828,0.5660003,0.7193245,0.6131661,0.6106993,0.5510371,0.6657969,0.4429814,0.6479954,0.4857974,0.5534601,0.5503466,0.5699802,0.5107585,0.6486707,0.5312143,0.6344949,0.5914411,0.6319474,0.5001359,0.4727259,0.4960105,0.3552928,0.4270011,0.551876,0.5979209,0.510234,0.5377653,0.6553711,0.476919,0.4872761,0.613659,0.5602711,0.5251593,0.5856569,0.766075,0.6520961,0.6311623,0.5822248,0.6461588,0.5716434,0.6529698,0.588619,0.6785736,0.5875845,0.5868926,0.6424856,0.5411006,0.5499181,0.7610731,0.6241658,0.4660469,0.573258,0.6354906,0.5240786,0.4146394,0.2579406,0.3315687,0.2620713,0.3172993,0.3419869,0.3110602,0.3015208,0.2341193,0.3165725,0.4610229,0.427194,0.5839547,0.5586557,0.5764309,0.4773525,0.6091822,0.4962681,0.5241342,0.4885763,0.6193722,0.5677632,0.564324,0.5265452,0.5203929,0.538948,0.6091862,0.704671,0.5021667,0.6435293,0.6261075,0.5389323,0.5987602,0.5521095,0.5097201,0.4716719,0.5270643,0.5686895,0.5455841,0.7033417,0.4972491,0.5494208,0.5022808,0.6010554,0.5722691,0.6959424,0.7917251,0.6203001,0.613836,0.5839595,0.5606806,0.5996219,0.6660934,0.5594663,0.5703325,0.5925196,0.5466686,0.5641031,0.483244,0.5821329,0.6135175,0.6710946,0.4925714,0.4453818,0.5475438,0.663566,0.5621373,0.5407421,0.6285251,0.503351,0.4891937,0.4769246,0.5300895,0.6449981,0.6089465,0.5085005,0.5317565,0.5563757,0.5877969,0.5521263,0.6198588,0.5053598,0.662751,0.4952572,0.5721162,0.6557188,0.6570085,0.5113263,0.5740699,0.4815249,0.6370346,0.580098,0.586399,0.5624243,0.5170243,0.589227,0.566273,0.5184204,0.5325128,0.4932294,0.6237228,0.4564061,0.5404132,0.6214986,0.5078748,0.583892,0.4726793,0.6107211,0.5088747,0.5714178,0.620512,0.5722227,0.5722588,0.6239635,0.5043071,0.6314715,0.6154866,0.6063156,0.6355095,0.5293144,0.5079293,0.5284496,0.5493017,0.6260413,0.5180145,0.4559593,0.5129946,0.6075669,0.6444025,0.6203455,0.5770686,0.6363971,0.665567,0.5843672,0.6454367,0.4923033,0.4952606,0.5753443,0.7841038,0.6207521,0.6513358,0.5848715,0.4310013,0.6044823,0.5068581
G7,0.3205287,0.3492301,0.2583449,0.2159233,0.1703117,0.1976906,0.1814915,0.1965181,0.1758744,0.1750607,0.2635865,0.2150138,0.2602522,0.2181283,0.2958936,0.2522009,0.200092,0.2568351,0.3018147,0.2310774,0.2439853,0.4271481,0.3228729,0.3016771,0.2224965,0.2423956,0.1863874,0.1689162,0.1354867,0.1234735,0.14409,0.1203923,0.176205,0.1785312,0.246884,0.2595281,0.3181677,0.2433635,0.2090049,0.2800431,0.2570639,0.2652173,0.371177,0.2462216,0.2185493,0.2052825,0.1860592,0.2145318,0.2152833,0.2094532,0.1871646,0.1371718,0.1926229,0.174335,0.2192921,0.2537761,0.3225353,0.2212822,0.3278266,0.2438058,0.2823313,0.3186459,0.347246,0.4085645,0.3004031,0.2253584,0.2557581,0.3561933,0.3405205,0.2899478,0.3202292,0.2978977,0.3942673,0.3183759,0.3356701,0.3244003,0.3021837,0.3091174,0.2814835,0.2862269,0.2985867,0.2563239,0.2690338,0.2929653,0.3893522,0.2824966,0.1737006,0.2436579,0.2135421,0.2044473,0.2342728,0.1812308,0.1804391,0.1638157,0.1614593,0.1552295,0.264494,0.2524644,0.325091,0.3212146,0.3120746,0.2293526,0.2870015,0.3320681,0.3297784,0.3944147,0.1708939,0.0627071,0.0527849,0.0193662,0.001601,0.0125781,0.0229666,0.008801,0.0093071,0.0106587,0.1162321,0.227869,0.2076073,0.2321625,0.3080966,0.2435739,0.2973343,0.275194,0.2898094,0.3167452,0.3055065,0.1336254,0.0538391,0.0387538,0.0361453,0.0279313,0.0153513,0.0212635,0.0117897,0.0160109,0.0020344,0.1421263,0.2420853,0.3596567,0.2956778,0.3012439,0.2106551,0.2411909,0.2803374,0.3005318,0.2890851,0.3924051,0.3257915,0.2483185,0.2839178,0.2094709,0.3487107,0.2829028,0.2675809,0.2982506,0.2913356,0.3120362,0.2934993,0.4049198,0.306791,0.2747995,0.3055756,0.324409,0.3044576,0.3548756,0.2472985,0.3217885,0.4049254,0.3564788,0.3389861,0.2734714,0.4235038,0.31054,0.2404192,0.1894543,0.2473102,0.2362782,0.2166887,0.2221814,0.3370357,0.2917674,0.3255648,0.3619304,0.3891855,0.3637588,0.3745834,0.3128369,0.3908708,0.3422664,0.3433061,0.1718264,0.2402935,0.3002587,0.4322597,0.2795408,0.3178938,0.2783051,0.3894166,0.3268542,0.2622805,0.2768104,0.355816,0.2727203,0.2978229,0.2996028,0.2949349,0.2838727,0.213726,0.1739211
G8,0.0537727,0.0247739,0.0183345,0.0177073,0.0227655,0.0142827,0.0101652,0.0161893,0.0074362,0.0047853,0.0126452,0.0051211,0.0024345,0.006342,0.018071,0.0254192,0.0212168,0.025693,0.0289433,0.0239766,0.0169816,0.0154072,0.0155178,0.0244197,0.019412,0.017404,0.0287339,0.0185242,0.0078875,0.0207188,0.0283333,0.0147531,0.0054536,0.0042325,0.008661,0.0128862,0.0071345,0.0327619,0.0148413,0.024374,0.0088958,0.0095529,0.0346891,0.0176334,0.0180086,0.0279079,0.0123318,0.0086052,0.0008704,0.0019296,0.0077839,0.0043093,0.0206985,0.0064584,0.0091316,0.0119845,0.0192119,0.0160552,0.0216322,0.0139869,0.0307573,0.0551051,0.0115176,0.0377413,0.1074124,0.1201016,0.1149437,0.1492732,0.194246,0.1032101,0.2037106,0.1337124,0.135214,0.1210549,0.0922338,0.045388,0.0377975,0.0147749,0.0210149,0.023498,0.0239412,0.0295302,0.0396108,0.0510384,0.05096,0.0214513,0.0138065,0.0205018,0.0226943,0.0058821,0.0071948,0.0111675,0.0102697,0.0125416,0.0527486,0.0194229,0.0184099,0.0251328,0.0101253,0.0357839,0.0163778,0.0076772,0.0206532,0.0465744,0.0321286,0.0147271,0.0281083,0.0104798,0.0058885,0.0046013,0.0009321,0.0030639,0.0117729,0.007401,0.0034713,0.0064109,0.0270985,0.0139329,0.0308182,0.0187646,0.0128827,0.022201,0.0536567,0.049523,0.0066231,0.0232109,0.0370257,0.0188453,0.0518631,0.0192659,0.0098836,0.0101946,0.0058708,0.032466,0.0093274,0.0154486,0.0077862,0.0162436,0.0249598,0.0180529,0.0233641,0.0140953,0.0302834,0.0229909,0.0345899,0.0192015,0.0231718,0.0215051,0.0352634,0.0345168,0.0303324,0.0199946,0.0276508,0.0128605,0.0136957,0.0126918,0.0208694,0.0133974,0.0269168,0.0169325,0.0327325,0.0243328,0.0183787,0.0159031,0.0079461,0.0162654,0.0308125,0.01606,0.0204638,0.0380276,0.0120037,0.0112418,0.024697,0.0297237,0.0098956,0.0051927,0.0061723,0.0130877,0.0048147,0.0053686,0.020672,0.0173174,0.0270118,0.0265147,0.0171819,0.0206621,0.0343579,0.0091943,0.0208722,0.0283943,0.0344711,0.0207471,0.0127296,0.014618,0.009775,0.0131771,0.0328644,0.0231844,0.0122537,0.0197169,0.0221542,0.0310342,0.0118953,0.0235953,0.0162503,0.0305185,0.0182673,0.0271826,0.005578,0.0093022
G9,0.005212,0.0311189,0.0341499,0.081891,0.0875571,0.1078335,0.1590148,0.1278237,0.1049503,0.1165198,0.1803305,0.0942924,0.1239011,0.066687,0.022328,0.0201938,0.0661725,0.0234974,0.003423,0.0112083,0.0228851,0.0330997,0.0094768,0.0371644,0.0347699,0.0461986,0.0508059,0.0607665,0.0308549,0.0405867,0.0530299,0.0516788,0.0330171,0.0319045,0.0089404,0.0226073,0.0295252,0.0176545,0.0117107,0.005837,0.019592,0.0213081,0.0124492,0.0386487,0.0216962,0.0162808,0.0114276,0.0194534,0.0124424,0.0199521,0.0151223,0.033095,0.0081104,0.0219783,0.0217784,0.0056481,0.0118425,0.0089235,0.0115668,0.0213686,0.0155125,0.0251016,0.0009778,0.0084224,0.2345712,0.3617133,0.3106067,0.3329138,0.4432348,0.4395242,0.3756178,0.3976723,0.3614309,0.3546562,0.1286472,0.0614552,0.0183142,0.0214248,0.0170399,0.014743,0.0051606,0.0414527,0.0087634,0.0141881,0.0036699,0.0202566,0.0136491,0.0068621,0.0149161,0.0134645,0.0131736,0.0188069,0.0188099,0.014396,0.0103414,0.0395471,0.0041258,0.0078173,0.0135733,0.0225236,0.0134141,0.0259824,0.0239784,0.0122609,0.0198033,0.0079856,0.0220164,0.0141589,0.0132658,0.0154023,0.0327958,0.0103646,0.0052707,0.0183346,0.0156729,0.0398602,0.0231209,0.0111339,0.0098702,0.0145257,0.0125566,0.0186892,0.0117568,0.0303016,0.0397384,0.0226879,0.0081933,0.0180498,0.0061878,0.0141653,0.0271232,0.0493115,0.0944724,0.0532345,0.0289103,0.044961,0.1097286,0.0731914,0.0817324,0.0459495,0.0343053,0.0333214,0.0212765,0.034662,0.0264157,0.0427927,0.0223502,0.008821,0.0258476,0.0017328,0.0014667,0.0043666,0.0002564,0.0001329,2.91e-05,0.0,0.0001728,1.55e-05,0.0087356,0.004326,0.004895,0.0119278,0.0389129,0.0172838,0.0243118,0.0414961,0.0277742,0.0299686,0.0040196,0.0262183,0.0366777,0.0196539,0.0410076,0.0359519,0.0111026,0.0166927,0.0535451,0.0266497,0.0666855,0.0543948,0.0342769,0.0241617,0.0058426,0.0118276,0.0220015,0.0075949,0.0075521,0.0203012,0.0292456,0.004589,0.0251888,0.0707798,0.0365186,0.0806971,0.1249061,0.1282546,0.1264653,0.106471,0.0885484,0.193503,0.0998907,0.0912953,0.0649437,0.0646036,0.0320885,0.0104091,0.0097048,0.0189282,0.0079193,0.0042063
G10,0.044716,0.0273865,0.0357217,0.0476744,0.0524399,0.0193127,0.0553715,0.0329383,0.0255628,0.0291516,0.041149,0.027072,0.0330105,0.0220429,0.0342237,0.0379935,0.0568615,0.0576271,0.0284063,0.0511397,0.0396379,0.0826421,0.0253344,0.0820617,0.0467951,0.0238233,0.0596333,0.0221762,0.0181566,0.028647,0.0648096,0.0264005,0.042265,0.0502335,0.036955,0.0251518,0.0130166,0.0127541,0.0552468,0.0273626,0.0320499,0.0282716,0.0696776,0.0271793,0.0060798,0.0009446,0.0002608,0.001778,0.0007565,0.0003597,0.0023995,0.0064335,0.0051975,0.0180458,0.016651,0.0125329,0.0315731,0.0547332,0.0155639,0.0222633,0.0618685,0.0299531,0.0719476,0.0689998,0.0478603,0.0184801,0.0568908,0.0384286,0.0388257,0.0245011,0.0398331,0.0346017,0.0393877,0.0197964,0.0225388,0.0443421,0.0419196,0.0224326,0.0319569,0.0266647,0.0583076,0.0381541,0.0287193,0.0456058,0.0331646,0.0371606,0.0293264,0.029378,0.0353477,0.03144,0.0324854,0.0286319,0.0233212,0.0337562,0.0326652,0.0287847,0.0370571,0.0239546,0.0945669,0.0343283,0.0182002,0.0176028,0.023193,0.0276475,0.0482635,0.0472797,0.0385767,0.0583371,0.0205117,0.0175303,0.020019,0.0353589,0.0348729,0.0153383,0.0408877,0.0321992,0.0276651,0.0178333,0.034061,0.0451906,0.039976,0.0281272,0.0324083,0.0253307,0.0134916,0.0713953,0.0539148,0.0322406,0.0121501,0.0682355,0.0261227,0.0343226,0.0434874,0.0505287,0.0128673,0.0437248,0.0219598,0.0497445,0.0127991,0.0319057,0.04182,0.0326123,0.0383025,0.0749463,0.0354926,0.0293123,0.0448085,0.04818,0.0688607,0.0263719,0.015171,0.0264281,0.0567042,0.043981,0.0431115,0.0404417,0.029082,0.0510519,0.0497288,0.0445492,0.0589568,0.0473724,0.0558257,0.0313654,0.0371818,0.0443383,0.0321767,0.014681,0.0593365,0.0239353,0.0087956,0.0098849,0.0059192,0.015537,0.0062996,0.0101832,0.0115634,0.0117899,0.0245536,0.0193997,0.0196657,0.0383786,0.020281,0.0161993,0.0167884,0.0534328,0.0325584,0.053338,0.0361915,0.0441038,0.0304239,0.0316545,0.1008607,0.0555026,0.0660398,0.0460568,0.0528458,0.0515155,0.0498615,0.0563131,0.0704701,0.0485002,0.0174668,0.0408735,0.0294942,0.017683,0.0205273,0.0190281,0.0426485,0.0428952
