Gene,MaxActivators,MaxRepressors,Threshold
G1, 0, 0, 95
G2, 2, 2, 95
G3, 2, 2, 95
G4, 2, 2, 95
G5, 0, 0, 95
G6, 0, 0, 95
G7, 2, 2, 95
G8, 1, 1, 95
G9, 2, 2, 95
G10, 2, 2, 95
G11, 0, 0, 95
G12, 0, 0, 95
G13, 0, 0, 95
G14, 1, 1, 95
G15, 0, 0, 95
G16, 2, 2, 95
G17, 2, 2, 95
G18, 2, 2, 95
G19, 0, 0, 95
G20, 0, 0, 95
G21, 2, 2, 95
G22, 1, 1, 95
G23, 1, 1, 95
G24, 2, 2, 95
G25, 0, 0, 95
G26, 0, 0, 95
G27, 1, 1, 95
G28, 1, 1, 95
G29, 1, 1, 95
G30, 1, 1, 95
G31, 2, 2, 95
G32, 0, 0, 95
G33, 0, 0, 95
G34, 0, 0, 95
G35, 1, 1, 95
G36, 0, 0, 95
G37, 2, 2, 95
G38, 0, 0, 95
G39, 1, 1, 95
G40, 0, 0, 95
G41, 1, 1, 95
G42, 0, 0, 95
G43, 0, 0, 95
G44, 2, 2, 95
G45, 1, 1, 95
G46, 0, 0, 95
G47, 2, 2, 95
G48, 2, 2, 95
G49, 1, 1, 95
G50, 2, 2, 95
G51, 1, 1, 95
G52, 1, 1, 95
G53, 1, 1, 95
G54, 2, 2, 95
G55, 2, 2, 95
G56, 0, 0, 95
G57, 0, 0, 95
G58, 1, 1, 95
G59, 1, 1, 95
G60, 1, 1, 95
G61, 1, 1, 95
G62, 1, 1, 95
G63, 1, 1, 95
G64, 2, 2, 95
G65, 0, 0, 95
G66, 0, 0, 95
G67, 1, 1, 95
G68, 2, 2, 95
G69, 2, 2, 95
G70, 0, 0, 95
G71, 0, 0, 95
G72, 0, 0, 95
G73, 0, 0, 95
G74, 0, 0, 95
G75, 1, 1, 95
G76, 0, 0, 95
G77, 1, 1, 95
G78, 0, 0, 95
G79, 0, 0, 95
G80, 0, 0, 95
G81, 1, 1, 95
G82, 0, 0, 95
G83, 0, 0, 95
G84, 1, 1, 95
G85, 1, 1, 95
G86, 0, 0, 95
G87, 0, 0, 95
G88, 1, 1, 95
G89, 1, 1, 95
G90, 0, 0, 95
G91, 0, 0, 95
G92, 1, 1, 95
G93, 0, 0, 95
G94, 2, 2, 95
G95, 2, 2, 95
G96, 0, 0, 95
G97, 0, 0, 95
G98, 0, 0, 95
G99, 1, 1, 95
G100, 0, 0, 95
