dataset,SCRIBE,GENIE3,PPCOR,GRNVBEM,SCODE,PIDC,LEAP,GRISLI,GRNBOOST2,SINCERITIES,RandomForest_ensemble
Dream3_100#1,0.03683210302498157,0.06433376449286748,0.03335424636495574,0.021029951254535523,0.02014760619862928,0.06962181116489335,0.06323979003055759,0.027107108099380613,0.06337661029659905,0.02013840693126187,0.07804686801523796
Dream3_100#2,0.03419294477500075,0.06105099239045493,0.020035300042064098,0.0212035460619466,0.02100434545495189,0.050830163035921236,0.06021300409745714,0.03286838614334926,0.05820735073471658,0.019822189151672536,0.08302378790052065
Dream3_100#3,0.049787252472018664,0.055891265919024366,0.03359634779096087,0.023164811340788127,0.027905974319487794,0.04724221276262278,0.04771071858557596,0.025992455277697307,0.05495740596863971,0.02431170384514299,0.0827054623721114
Dream3_100#4,0.03223638611020466,0.04868272672234601,0.03116166188952194,0.01926948368287856,0.026657249548584522,0.046113750282288146,0.05461074799256796,0.021013164100432427,0.044820795920729725,0.018941333208341345,0.0776503819490694
Dream3_100#5,0.03656300689751091,0.09269515116600584,0.03339574343198091,0.017509542152950336,0.019928237881210193,0.09353014517414014,0.08683158265430417,0.024956078163505143,0.09493661337072742,0.02009965652501691,0.11422570957599903
Dream3_50#1,0.04738058618603334,0.05559327052936893,0.03643328580944158,0.036260380733601494,0.039148659838067396,0.05369359395275321,0.05302325706518184,0.041044001956402024,0.051405584703793854,0.04253082168410341,0.0669238212620864
Dream3_50#2,0.0604370221177388,0.08376578236018417,0.056112785664329826,0.05571852034405472,0.053531638498146336,0.08313030817326741,0.08172784561959012,0.05301164169298071,0.08904116307498153,0.06251226210231983,0.0863385747723816
Dream3_50#3,0.01604502609466211,0.04744735782439527,0.011968882849943583,0.010686742762599323,0.017623059152853844,0.031956974337354636,0.03932712899572676,0.01670185248293729,0.03575469397633544,0.013155200345463077,0.04571536544962527
Dream3_50#4,0.03765952806558664,0.04928923255927309,0.014597761682169318,0.012294194430539588,0.01400436049452069,0.03709404257030654,0.045820224599141826,0.014744352090570682,0.05051190766525185,0.013229769084424074,0.05001129927533547
Dream3_50#5,0.023283917102278555,0.05449478444940331,0.034310975544626775,0.018867850342240512,0.019817219760641155,0.04816116871579383,0.05665766002899947,0.024843209159325214,0.06648338243387467,0.0177344092903377,0.07824456000804826
Dream4_100#1,0.06510866969963981,0.109130586021636,0.06189013618102352,0.06629360472389015,0.058978608813818126,0.09112189039727142,0.09528013691889989,0.06422387034757035,0.0986170983426197,0.06549091454978415,0.10673561011955514
Dream4_100#2,0.08295357105860673,0.11775355436831894,0.0639159571262962,0.07475754804102937,0.0596840942355104,0.0977580526831969,0.12215481608084626,0.06515509131687924,0.11019631632936858,0.07488858677226386,0.12056482847866566
Dream4_100#3,0.13789733330055956,0.09189742349689634,0.026919111068531454,0.035644196908639646,0.045853664799002186,0.08816401566680804,0.07704239287856454,0.04808737775700168,0.08546015328475719,0.03431762465696428,0.20419372296736582
Dream4_100#4,0.05472228558152532,0.04175301013929782,0.028931250838131927,0.025983648563704227,0.023099531263802712,0.04065178212570128,0.045815377371126675,0.02231950993702928,0.04262764846019129,0.025527706740801848,0.04957959852990296
Dream4_100#5,0.05522568447301185,0.12314500552990013,0.04932845386171807,0.03483434352894953,0.03515341787054239,0.06935114054238482,0.07565263518278845,0.029739890793636536,0.10434684241968044,0.027265726385087834,0.10420618670909954
