TF	target	importance
G26	G4	0.1487300190091982
G41	G28	0.12824312465389778
G46	G81	0.12217051164853956
G4	G26	0.11971042133987476
G100	G95	0.10742787875853166
G29	G56	0.10434282527454021
G7	G2	0.1022222930853264
G85	G100	0.10070904761687467
G34	G33	0.0994375608242965
G33	G34	0.0993461958250075
G44	G40	0.09803890018857997
G45	G24	0.09762315050617046
G29	G91	0.09571140560875374
G46	G33	0.09569318421918283
G97	G54	0.09543066927286188
G84	G64	0.09454198592886455
G54	G29	0.09444859694107594
G40	G44	0.09259623479350636
G7	G33	0.09253824756597147
G94	G86	0.0921789421109528
G77	G4	0.0920304294118129
G41	G97	0.09102744058837126
G24	G45	0.09095536591493569
G45	G51	0.0903589755717572
G33	G46	0.08997932462272719
G64	G84	0.089647109852879
G100	G85	0.08801833274990084
G39	Time	0.0874270175809412
G33	G7	0.08696592696701783
G46	G78	0.0865269980546777
G31	G85	0.0862441726627479
G4	G77	0.08584312832088022
G85	G31	0.08517218069926774
G40	G19	0.08444410138559688
G85	G95	0.08244679373766862
G81	G78	0.08146948564557709
G2	G7	0.08066821242447988
G86	G94	0.07976114447297629
G28	G97	0.07952967537916586
G53	G19	0.07810822695572005
G26	G77	0.07776723089503824
G92	G51	0.07756589376504104
G7	G34	0.07716940205891393
G37	G91	0.07713741752735345
G63	G97	0.07680565368898226
G37	G70	0.07570707845481676
G67	G13	0.07563718239066967
G67	G52	0.07517263627668178
G51	G39	0.07421743443705148
G34	G30	0.07395904750348432
G67	G78	0.07357184171681232
G37	G55	0.0726324180019783
G84	G43	0.07203380977876872
G78	G64	0.07139040754829538
G79	G64	0.07079410703414528
G44	G45	0.07039485770842169
G79	G40	0.07033050180118845
G78	G81	0.07032683250140022
G31	G70	0.070293298996853
G46	G47	0.07020032686096743
Time	G39	0.0698714828697846
G29	G52	0.06952020191388174
G77	G26	0.06948526158911336
G54	G24	0.0690028983577065
G91	G56	0.06854022993407177
G29	G24	0.06746858014569578
G78	G84	0.06626944461118174
G73	G41	0.06608358792129351
G51	G92	0.06562046835786782
G97	G24	0.06535159885183042
G31	G17	0.0650273029417117
G46	G23	0.064911997753312
G13	G67	0.06469095760519857
G90	G65	0.06444808355150085
G79	G84	0.06417346832058532
G84	G28	0.06417185208974413
G65	G29	0.0639808461545777
G72	G37	0.06397952782846263
G86	G81	0.0636341801920083
G92	G40	0.06337153078604699
G19	G53	0.06304125788628508
G29	G54	0.06285744262139854
G46	G7	0.0628540219762003
G53	G41	0.06245541505215446
G81	G23	0.062140647954163554
G13	G52	0.06196961681492375
G85	G17	0.06173576187298601
G46	G30	0.0615542018594912
G19	G41	0.06153971459382546
G55	G91	0.06143243724800882
G44	G24	0.061152152195630895
G97	G29	0.0606348506784745
G30	G47	0.06037008237776902
G95	G100	0.06036665989145715
G41	G73	0.06003897797829724
G28	G23	0.059671219539977984
G81	G46	0.059664401811458344
G46	G14	0.0596374340096414
G85	G99	0.05955285160962385
G86	G16	0.059458167750601136
G24	G86	0.059444555583266175
G73	G19	0.059291266085652
G54	G65	0.05905922445903174
G17	G21	0.05869317319809712
G13	G78	0.05865205965463168
G79	G44	0.0585793438884516
G16	G54	0.0582179963237837
G17	G31	0.05815098290376203
G37	G76	0.058150543497006504
G90	G27	0.05787847303260091
G92	G44	0.05760951994611824
G29	G65	0.057533167156162135
G64	G27	0.05745411358473915
G33	G2	0.05700740328108722
G44	G69	0.0566744780317151
G13	G50	0.05659505413366506
G39	G62	0.05658562960692393
G67	G50	0.05626342769573111
G76	G69	0.056095219320771376
G31	G13	0.05595562340393665
G91	G55	0.05580023984292521
G23	G81	0.055798160186276584
G17	G85	0.0555455462708924
G34	G47	0.055319653879205
G45	G4	0.05531874042042486
G21	G17	0.05502597722119732
G91	G52	0.05472610251895964
G79	G92	0.054651221577308375
G86	G78	0.05453372883510407
G26	G92	0.05442419052723729
G39	G51	0.054006468826763715
G28	G43	0.05391659444758539
G33	G81	0.05385688289681503
G91	G37	0.053828276649286515
G10	G4	0.05375506026388177
G38	G16	0.053626113362182024
G16	G38	0.053562507035815964
G100	G92	0.05354220126469081
G92	G79	0.053501448568777844
G78	G86	0.053328194434171194
G92	G95	0.05316664962949424
G53	G73	0.05296980527926809
G100	G82	0.05286078782039635
G84	G23	0.052847170547418554
G84	G97	0.05278447007806256
G40	G53	0.05263371420149227
G70	G17	0.05246592955526698
G4	G45	0.05209822037413759
G24	G54	0.05209638639900817
G77	G45	0.05196442386933392
G24	G29	0.051726627873846395
G97	G28	0.051722930690650724
G33	G8	0.05161464176175675
G27	G65	0.05155050432338102
G30	G34	0.05150469788120156
G34	G7	0.05143001957792625
G64	G90	0.051309019945715365
G40	G41	0.05107434861577851
G20	G2	0.051008144488713776
G23	G38	0.05075023012409023
G24	G53	0.050725363604025936
G40	G79	0.05072525493828461
G37	G17	0.05058553709792359
G37	G21	0.050396240171144815
G2	G33	0.05031942345564566
G31	G37	0.05027255481781642
G41	G64	0.0502476441104386
G54	G97	0.05014583068867119
G67	G80	0.05006264154777912
G7	G46	0.049932043078270025
G46	G34	0.049888687206374446
G33	G95	0.04972954597485824
G62	G39	0.04953228095735312
G20	G48	0.0495275722063871
G40	G73	0.0494876115775202
G95	G85	0.04945174700098204
G17	G70	0.04937994346641541
G19	G97	0.04908488693327811
G80	G52	0.048879854653243085
G41	G84	0.04869778698537542
G63	G33	0.04866360683325116
G51	G82	0.048634165546199835
G55	G56	0.04848790739065207
G84	G2	0.048470958246122464
G56	G91	0.04841304688882967
G38	G23	0.048181120497926305
G63	G53	0.04813339318926711
G100	G99	0.04797950786010246
G28	G84	0.04757608387291773
G1	G78	0.04747033193850683
G19	G94	0.047454232471908823
G53	G97	0.04735992558252802
G95	G40	0.04728799221649451
G92	G26	0.047008469804837714
G19	G73	0.046898082776849634
G24	G65	0.04684233958053044
G76	Time	0.04663611390371784
G37	G85	0.04661954074934684
G95	G92	0.046616628674898
G53	G24	0.046595206858579756
G71	G63	0.04647718727357215
G67	G74	0.046124763843276816
G54	G16	0.04602731356685533
G2	G34	0.046008864920286496
G41	G19	0.045630232508989635
G26	G45	0.04545668546947312
G13	G80	0.04495787735436201
G95	G29	0.044687321745626105
G75	G23	0.04445874056799281
G41	G53	0.04443282026941119
G84	G79	0.044375361366253994
G63	G46	0.044334320696112386
G29	G45	0.044250300559186405
G30	G39	0.044086358537888615
G47	G46	0.04405009541461449
G85	G34	0.04400047057448631
G90	G14	0.043974423963755074
G64	G65	0.043841163175029264
G28	G75	0.04378657811211028
G65	G24	0.04375014025379083
G85	G81	0.04369276135770809
G17	G37	0.04336686415977379
G31	G28	0.043245326554181
G80	G67	0.04324094627778722
G47	G34	0.04309552574188777
G75	G28	0.043026473614942114
G85	G21	0.04300324038567383
G73	G56	0.04283662347393549
G45	G56	0.04250582970974236
G92	G82	0.04241402723221751
G95	G44	0.04238344290146103
G62	G96	0.042338056400453246
G52	G67	0.042287890201469266
G90	G50	0.042218110301192074
G97	G65	0.04203918941185633
G27	G90	0.041928952687075076
G1	G86	0.04173774492257649
G29	G79	0.04154377167096403
G53	G77	0.04152231315062389
G48	G64	0.041477290437130124
G97	G76	0.04133704635579884
G94	G19	0.041334782891934915
G23	G16	0.04130270543572955
G14	G62	0.041259537199804484
G14	G90	0.04113908525702536
G4	G40	0.04111756935377355
G80	G13	0.04109883423587937
G44	G76	0.04099598923666373
G73	G53	0.040781064746963185
G51	G45	0.04077835967263842
G77	G10	0.040774828435333
G99	G40	0.04044775210026637
G34	G14	0.04042515132897873
G10	G77	0.040373033284694666
G64	G50	0.04036846052824493
G74	G67	0.0403436187327841
G65	G69	0.04030935473736356
G46	G5	0.04027717429278036
G52	G62	0.04027328045575569
G33	G14	0.040271105601915685
G17	G13	0.040209554499750645
G28	G30	0.039980204454100346
G64	G79	0.0399605117350759
G45	G77	0.03994642687036841
G80	G50	0.03989044681244288
G74	G52	0.03984909088561435
G26	G40	0.039294299464622255
G55	G37	0.03920090281478817
G65	G90	0.039025266908202634
G33	G47	0.03897391889489909
G2	G48	0.038931762121714515
G37	G31	0.03880952614561485
G31	G21	0.03878310740397973
G95	G24	0.03877718609160305
G44	G92	0.03863616881872636
G51	G81	0.0386357737457321
G80	G78	0.038594364020209354
G54	G56	0.038574000039205594
G63	G54	0.03856529572423466
G100	G26	0.0384577784734604
G82	G52	0.03844268788331693
G86	G99	0.03843083891576085
G97	G84	0.03841379105158918
G44	G51	0.03839426213341128
G44	G29	0.03816991523269035
G65	G76	0.038153155243946406
G84	G55	0.038061876674223054
G29	G84	0.03805200336733566
G29	G55	0.03800047262214562
G48	G84	0.037923636238586494
G50	G67	0.03787329543517055
G28	G13	0.03781558338484177
G41	G31	0.03770289130628291
G30	G62	0.037637281013835296
G92	G25	0.037612566938979186
G30	G27	0.03740820760946672
G77	G53	0.037360718184144784
G47	G30	0.03728336538277573
G75	G72	0.03711382115322063
G50	G78	0.037065971770331836
G34	G43	0.03695162423800761
G47	G45	0.036932577774723245
G34	G2	0.03692431587332721
G54	G86	0.03692380009746213
G86	G38	0.03687185042961539
G16	G29	0.036739938922455265
G46	G90	0.03671674804073871
G37	G72	0.03664645677719052
G29	G28	0.03664166659322813
G24	G19	0.036428721495222006
G30	G46	0.03640356419767711
G34	G46	0.0363007833794776
G40	G92	0.03624941008159528
G4	G53	0.03618030128209867
G45	G99	0.03601859409500494
G95	G82	0.03598775928306997
