Gene1	Gene2	EdgeWeight
G26	G4	0.1487300190091982
G41	G28	0.1282431246538977
G46	G81	0.1221705116485395
G4	G26	0.1197104213398747
G100	G95	0.1074278787585316
G29	G56	0.1043428252745402
G7	G2	0.1022222930853264
G85	G100	0.1007090476168746
G34	G33	0.0994375608242965
G33	G34	0.0993461958250075
G44	G40	0.0980389001885799
G45	G24	0.0976231505061704
G29	G91	0.0957114056087537
G46	G33	0.0956931842191828
G97	G54	0.0954306692728618
G84	G64	0.0945419859288645
G54	G29	0.0944485969410759
G40	G44	0.0925962347935063
G7	G33	0.0925382475659714
G94	G86	0.0921789421109528
G77	G4	0.0920304294118129
G41	G97	0.0910274405883712
G24	G45	0.0909553659149356
G45	G51	0.0903589755717572
G33	G46	0.0899793246227271
G64	G84	0.089647109852879
G100	G85	0.0880183327499008
G39	Time	0.0874270175809412
G33	G7	0.0869659269670178
G46	G78	0.0865269980546777
G31	G85	0.0862441726627479
G4	G77	0.0858431283208802
G85	G31	0.0851721806992677
G40	G19	0.0844441013855968
G85	G95	0.0824467937376686
G81	G78	0.081469485645577
G2	G7	0.0806682124244798
G86	G94	0.0797611444729762
G28	G97	0.0795296753791658
G53	G19	0.07810822695572
G26	G77	0.0777672308950382
G92	G51	0.077565893765041
G7	G34	0.0771694020589139
G37	G91	0.0771374175273534
G63	G97	0.0768056536889822
G37	G70	0.0757070784548167
G67	G13	0.0756371823906696
G67	G52	0.0751726362766817
G51	G39	0.0742174344370514
G34	G30	0.0739590475034843
G67	G78	0.0735718417168123
G37	G55	0.0726324180019783
G84	G43	0.0720338097787687
G78	G64	0.0713904075482953
G79	G64	0.0707941070341452
G44	G45	0.0703948577084216
G79	G40	0.0703305018011884
G78	G81	0.0703268325014002
G31	G70	0.070293298996853
G46	G47	0.0702003268609674
Time	G39	0.0698714828697846
G29	G52	0.0695202019138817
G77	G26	0.0694852615891133
G54	G24	0.0690028983577065
G91	G56	0.0685402299340717
G29	G24	0.0674685801456957
G78	G84	0.0662694446111817
G73	G41	0.0660835879212935
G51	G92	0.0656204683578678
G97	G24	0.0653515988518304
G31	G17	0.0650273029417117
G46	G23	0.064911997753312
G13	G67	0.0646909576051985
G90	G65	0.0644480835515008
G79	G84	0.0641734683205853
G84	G28	0.0641718520897441
G65	G29	0.0639808461545777
G72	G37	0.0639795278284626
G86	G81	0.0636341801920083
G92	G40	0.0633715307860469
G19	G53	0.063041257886285
G29	G54	0.0628574426213985
