Gene1	Gene2	EdgeWeight
G12	G4	10200
G12	G5	10199
G72	G4	10198
G25	G4	10197
G48	G3	10196
G48	G4	10195
G1	G2	10194
G25	G3	10193
G5	G2	10192
G63	G3	10191
G72	G5	10190
G56	G2	10189
G63	G2	10188
G1	G3	10187
G5	G3	10186
G72	G3	10185
G43	G2	10184
G25	G5	10183
G41	G1	10182
G56	G1	10181
G48	G2	10180
G12	G3	10179
G12	G6	10178
G41	G2	10177
G1	G1	10176
G43	G3	10175
G56	G3	10174
G63	G4	10173
G43	G1	10172
G5	G1	10171
G9	G1	10170
G48	G5	10169
G5	G4	10168
G25	G2	10167
G63	G1	10166
G1	G4	10165
G72	G2	10164
G72	G6	10163
G41	G3	10162
G25	G6	10161
G43	G4	10160
G9	G2	10159
G48	G1	10158
G56	G4	10157
G12	G2	10156
G12	G7	10155
G63	G5	10154
G5	G5	10153
G48	G6	10152
G25	G1	10151
G1	G5	10150
G41	G4	10149
G72	G1	10148
G72	G7	10147
G43	G5	10146
G9	G3	10145
G25	G7	10144
G56	G5	10143
G63	G6	10142
G12	G1	10141
G12	G8	10140
G3	G39	10139
G5	G6	10138
G48	G7	10137
G51	G33	10136
G58	G51	10135
G2	G98	10134
G1	G6	10133
G41	G5	10132
G31	G95	10131
G97	G33	10130
G37	G39	10129
G39	G33	10128
G81	G33	10127
G36	G33	10126
G24	G92	10125
G26	G33	10124
G46	G33	10123
G100	G33	10122
G14	G17	10121
G53	G51	10120
G51	G95	10119
G27	G33	10118
G9	G4	10117
G76	G33	10116
G91	G95	10115
G24	G17	10114
G53	G33	10113
G7	G39	10112
G81	G51	10111
G8	G51	10110
G78	G17	10109
G43	G6	10108
G62	G33	10107
G27	G51	10106
G30	G33	10105
G39	G92	10104
G78	G33	10103
G31	G33	10102
G58	G33	10101
G19	G92	10100
G52	G95	10099
G72	G8	10098
G82	G51	10097
G52	G92	10096
G39	G17	10095
G2	G52	10094
G8	G39	10093
G44	G17	10092
G45	G92	10091
G62	G92	10090
G78	G92	10089
G4	G33	10088
G65	G95	10087
G44	G33	10086
G52	G33	10085
G67	G95	10084
G86	G92	10083
G14	G33	10082
G30	G95	10081
G37	G51	10080
G100	G51	10079
G45	G95	10078
G45	G17	10077
G4	G17	10076
G49	G51	10075
G52	G17	10074
G40	G95	10073
G51	G17	10072
G45	G33	10071
G86	G17	10070
G4	G92	10069
G85	G39	10068
G97	G17	10067
G51	G92	10066
G23	G92	10065
G27	G17	10064
G97	G95	10063
G62	G95	10062
G54	G17	10061
G37	G52	10060
G37	G33	10059
G51	G65	10058
G81	G17	10057
G46	G95	10056
G54	G92	10055
G99	G39	10054
G40	G92	10053
G38	G92	10052
G34	G98	10051
G85	G54	10050
G2	G39	10049
G2	G19	10048
G29	G95	10047
G32	G39	10046
G19	G95	10045
G96	G21	10044
