Gene1	Gene2	EdgeWeight
G26	G4	73.43801236980254
G7	G33	71.71597086160642
G46	G81	63.92775910831899
G100	G95	60.69046071313388
G100	G85	60.07578870401059
G67	G52	59.61935410252089
G85	G100	55.830145159742045
G63	G97	55.73044339295646
G33	G34	52.41386870665331
G46	G33	50.82915447760613
G77	G4	50.59460139494147
G7	G2	50.12212797675733
G34	G33	48.6835669112321
G85	G95	46.714068215707904
G24	G45	46.54666937547069
G2	G7	46.34600349279621
G85	G31	45.57662581841257
G29	G56	45.43543319031624
G51	G39	43.3741400612525
G31	G85	43.12737383718939
G29	G52	42.57111579990968
G41	G28	41.37978444190459
G54	G24	40.35411377766502
G40	G19	39.47797562485159
G39	Time	38.95438492617856
G41	G97	38.93897692402828
G44	G40	38.00974266107176
G45	G51	37.92322995537639
G45	G24	37.57477978256342
G54	G29	37.54339092288973
G97	G24	37.12595804367815
G84	G64	36.97338009494819
G67	G78	36.93538849062776
G81	G78	36.91450846422568
G24	G86	36.524522480284105
G33	G7	35.67824205395028
G33	G46	35.53987821954431
G37	G76	35.28295761826895
G53	G19	35.016051683533206
G13	G78	34.22628583815537
G13	G52	33.93334543625085
G94	G86	33.478906798798754
G40	G44	32.45246995166651
G4	G77	31.937358593063056
G95	G100	31.53944386618457
G28	G97	31.302183105950096
G79	G92	30.92941915831115
G92	G51	30.81782896967363
G78	G84	30.7921859531612
G64	G84	30.362054736327305
G29	G65	30.32362427707508
G44	G45	30.30435249384238
G86	G16	29.2327134208214
G29	G24	29.22123597901181
G78	G81	28.88142020330598
G51	G45	28.77806265784467
G86	G94	28.727929424459266
G53	G24	28.335262953918992
G100	G82	28.30287780917323
G46	G78	28.131442498797856
G17	G37	27.805947990686438
G77	G45	27.747749916399048
G4	G26	27.68938753165094
G97	G54	27.490445901079568
G92	G95	27.457591309480325
G51	G92	27.268322032685305
G90	G65	27.21373541961089
G19	G97	27.16376469839624
G19	G94	26.456636541067525
G46	G30	26.362960559017274
G37	G91	26.267364795650455
G7	G34	26.238173197916623
G81	G23	26.219789271659696
G46	G47	25.94390337709087
G31	G37	25.936428062351244
G26	G77	25.844670132753613
G77	G26	25.789559954448304
G80	G52	25.639902540091548
G67	G13	25.59517373038532
G91	G52	25.551132447250914
G73	G19	25.31650217940433
G19	G73	25.26491070869933
G71	G63	25.16948082514496
G21	G17	25.140106957140464
G92	G44	25.053281192984123
G1	G78	24.84730634411807
G86	G81	24.666153220801192
G79	G84	24.63382573216735
G51	G81	24.61784256147524
Time	G39	24.48151757694133
G16	G54	24.446477528753785
G17	G85	24.422800248371946
G100	G92	24.30016229810192
G44	G24	24.171755639302425
G81	G46	24.02395808930994
G79	G44	23.763503724227515
G97	G29	23.72403502870494
G65	G29	23.659773967926068
G17	G31	23.523780770161785
G24	G29	23.437641735423128
G26	G92	23.288989796309803
G92	G79	23.215267691183666
G84	G43	23.194659675370737
G76	Time	23.008742656444447
G23	G38	22.98550832075581
G54	G97	22.82824165763752
G40	G53	22.77362660386868
G39	G51	22.73430754119398
G46	G23	22.51356597163796
G78	G86	22.500599752806465
G86	G78	22.427005793243872
G53	G4	22.370222634697484
G29	G54	22.312588984929327
G37	G70	22.222014718858407
G16	G38	22.123256533163214
G92	G40	22.103193024932704
G19	G41	21.9341517873502
G26	G45	21.882992706529304
G40	G79	21.8342496774549
G44	G100	21.763631003590827
G56	G45	21.762801824095668
G95	G82	21.663824243857302
G86	G85	21.564121387092403
G63	G33	21.38095211765664
G85	G99	21.316976981049656
G95	G29	21.12446445433351
G29	G28	21.112866916769818
G24	G54	21.094372358283
G84	G28	21.0442928999355
G37	G82	21.032836107364208
G7	G46	20.861731316652797
G27	G65	20.67866083126023
G55	G56	20.586519615284985
G67	G50	20.483623922843144
G70	G17	20.4826657657465
G51	G82	20.47785163871513
G37	G55	20.405222265361516
G91	G56	20.405098779587064
G40	G97	20.356132487097437
G54	G65	20.34461001497051
G79	G40	20.331626832313454
G55	G91	20.27605813886467
G63	G53	20.21308334870551
G54	G45	20.169675171631862
G4	G45	20.166944277656967
G33	G2	20.129398204040186
G31	G70	20.052580639327548
G34	G2	20.012715685833136
G31	G17	19.94914986227053
G72	G37	19.809901862023512
G34	G30	19.792481377453917
G1	G39	19.706632331779225
G29	G91	19.631644406535848
G37	G85	19.631032724004463
G33	G78	19.55120847110849
G53	G73	19.5358692767856
G85	G17	19.51442960082485
G73	G41	19.506130083730103
G84	G97	19.494066962221336
G14	G4	19.3677305009401
G13	G67	19.25179128209553
G79	G64	19.215227048286344
G95	G92	19.18934974910317
G100	G99	19.06598089235456
G41	G64	19.016632971896748
G53	G97	18.98273449485436
G10	G4	18.97683405817739
G74	G52	18.974081770243437
G33	G95	18.9408617795372
G2	G33	18.84340362287564
G41	G31	18.801101736699454
G14	G33	18.720165621821984
G95	G85	18.6209017233422
G92	G82	18.59883521697292
G90	G27	18.50539183885582
G39	G62	18.47025616396522
G85	G81	18.39084895205673
G44	G51	18.381234573194508
G28	G84	18.36490089284526
G20	G48	18.289925290063657
G28	G23	18.283146534823786
G41	G73	18.27650451446117
G99	G52	18.239361926369803
G20	G2	18.17646871372329
G84	G23	18.102507471792443
G33	G81	18.07908948469999
G54	G86	18.032642305110933
G44	G76	18.02304076593705
G46	G14	18.02129027936102
G85	G34	18.019723279780077
G28	G30	17.846600896123704
G33	G85	17.81244951790551
G23	G78	17.735113661987704
G65	G24	17.711760711291745
G40	G95	17.58654261993696
G45	G56	17.573813809364978
G34	G7	17.49427278610922
G34	G85	17.460268887856525
G86	G99	17.457412090488674
