Parent	Type	Child	Weight	Probability	Score
Time	+	Time	0.478642	0.000000	0.000000
G1	-	Time	-12.885783	0.499998	-0.045848
G2	+	Time	50.928936	0.499993	0.181204
G3	+	Time	14.334909	0.499434	0.050946
G4	-	Time	-122.987813	0.500002	-0.437595
G5	+	Time	9.511945	0.499996	0.033843
G6	+	Time	23.454483	0.499430	0.083356
G7	+	Time	13.766744	0.499520	0.048935
G8	+	Time	32.106583	0.499481	0.114117
G9	+	Time	34.334602	0.499992	0.122161
G10	+	Time	24.719630	0.499414	0.087850
G11	+	Time	27.830138	0.499420	0.098905
G12	-	Time	-1.788054	0.500000	-0.006362
G13	+	Time	28.562082	0.499409	0.101505
G14	+	Time	36.267414	0.499396	0.128884
G15	+	Time	15.611811	0.499434	0.055484
G16	+	Time	31.287537	0.499405	0.111189
G17	+	Time	55.614575	0.499393	0.197638
G18	+	Time	16.768501	0.499432	0.059595
G19	+	Time	58.212486	0.499377	0.206863
G20	+	Time	34.832233	0.499449	0.123797
G21	+	Time	40.059100	0.499430	0.142369
G22	+	Time	20.536929	0.499420	0.072986
G23	+	Time	48.364661	0.499379	0.171869
G24	-	Time	-227.458706	0.500023	-0.809340
G25	+	Time	20.643460	0.499987	0.073448
G26	+	Time	64.854671	0.499553	0.230548
G27	+	Time	33.302467	0.499403	0.118350
G28	+	Time	91.003001	0.499418	0.323414
G29	+	Time	11.630978	0.499659	0.041355
G30	+	Time	72.300095	0.499342	0.256907
G31	+	Time	161.505597	0.499685	0.574279
G32	+	Time	22.859074	0.499416	0.081238
G33	-	Time	-29.481352	0.499755	-0.104844
G34	+	Time	30.817910	0.499437	0.109527
G35	+	Time	17.358431	0.499435	0.061692
G36	+	Time	4.653619	0.499451	0.016539
G37	+	Time	67.487999	0.499485	0.239877
G38	+	Time	32.037061	0.499440	0.113861
G39	-	Time	-64.022779	0.499655	-0.227637
G40	-	Time	-45.419084	0.499919	-0.161576
G41	+	Time	70.159368	0.499965	0.249611
G42	+	Time	23.396008	0.499418	0.083147
G43	-	Time	-8.717684	0.499992	-0.031017
G44	-	Time	-8.256153	0.499633	-0.029354
G45	-	Time	-218.267503	0.499977	-0.776566
G46	+	Time	50.664382	0.499495	0.180083
G47	-	Time	-0.710498	0.499605	-0.002526
G48	+	Time	22.774273	0.499996	0.081031
G49	+	Time	17.777156	0.499448	0.063182
G50	+	Time	49.189647	0.499375	0.174799
G51	-	Time	-140.236000	0.499832	-0.498795
G52	-	Time	-215.993074	0.500004	-0.768514
G53	+	Time	31.705042	0.499410	0.112674
G54	+	Time	63.510261	0.499344	0.225674
G55	+	Time	10.175812	0.499490	0.036169
G56	-	Time	-53.452426	0.500001	-0.190185
G57	+	Time	8.939167	0.499451	0.031771
G58	+	Time	13.576569	0.499433	0.048251
G59	+	Time	39.083348	0.499417	0.138897
G60	+	Time	23.903607	0.499420	0.084951
G61	+	Time	23.712200	0.499418	0.084270
G62	-	Time	-15.484225	0.499543	-0.055043
G63	+	Time	63.691624	0.499980	0.226607
G64	+	Time	1.092214	0.499571	0.003883
G65	+	Time	58.905209	0.499379	0.209326
G66	+	Time	33.710354	0.499397	0.119798
G67	+	Time	30.007567	0.499407	0.106641
G68	+	Time	19.117783	0.499426	0.067943
G69	+	Time	11.790285	0.499439	0.041903
G70	+	Time	6.220041	0.499521	0.022110
G71	+	Time	21.327940	0.499415	0.075796
G72	+	Time	31.572464	0.499998	0.112335
G73	-	Time	-1.382957	0.499499	-0.004916
G74	+	Time	32.256011	0.499441	0.114639
G75	+	Time	25.114040	0.499461	0.089260
G76	+	Time	152.704002	0.499857	0.543168
G77	+	Time	34.446204	0.499393	0.122412
G78	-	Time	-177.289390	0.499983	-0.630778
G79	+	Time	67.450363	0.499428	0.239715
G80	+	Time	48.871213	0.499458	0.173696
G81	-	Time	-76.093458	0.499884	-0.270679
G82	+	Time	25.389370	0.499464	0.090239
G83	+	Time	15.123172	0.499430	0.053747
G84	-	Time	-5.178302	0.499631	-0.018411
G85	+	Time	80.269938	0.499536	0.285337
G86	+	Time	205.346469	0.499483	0.729871
G87	+	Time	25.871371	0.499528	0.091964
G88	+	Time	60.038967	0.499482	0.213399
G89	+	Time	28.336265	0.499425	0.100705
G90	+	Time	79.693794	0.499585	0.283317
G91	-	Time	-56.397972	0.499819	-0.200592
G92	+	Time	3.535964	0.499590	0.012571
G93	+	Time	38.181788	0.499389	0.135686
G94	+	Time	47.196598	0.499475	0.167750
G95	-	Time	-31.489619	0.499628	-0.111957
G96	+	Time	25.809279	0.499413	0.091722
G97	-	Time	-281.054138	0.500001	-1.000000
G98	+	Time	185.682793	0.499741	0.660321
G99	+	Time	134.041774	0.499618	0.476559
G100	-	Time	-28.416908	0.499675	-0.101042
Time	-	G1	-0.000001	0.032456	-0.000000
G1	+	G1	0.000222	0.499321	0.000001
G2	-	G1	-0.000400	0.476907	-0.000001
G3	+	G1	0.000403	0.372680	0.000001
G4	-	G1	-0.001576	0.474006	-0.000005
G5	+	G1	0.000376	0.498834	0.000001
G6	+	G1	0.000523	0.384413	0.000001
G7	+	G1	0.000321	0.355212	0.000001
G8	+	G1	0.000394	0.403987	0.000001
G9	+	G1	0.000169	0.498389	0.000001
G10	+	G1	0.000893	0.361695	0.000002
G11	+	G1	0.000288	0.385615	0.000001
G12	-	G1	-0.000001	0.499992	-0.000000
G13	+	G1	0.000192	0.300368	0.000000
G14	+	G1	0.001378	0.359987	0.000004
G15	+	G1	0.000639	0.374398	0.000002
G16	+	G1	0.000034	0.348525	0.000000
G17	+	G1	0.000485	0.375515	0.000001
G18	-	G1	-0.000193	0.375341	-0.000001
G19	-	G1	-0.000169	0.275100	-0.000000
G20	+	G1	0.000358	0.384739	0.000001
G21	-	G1	-0.000085	0.373078	-0.000000
G22	+	G1	0.000796	0.373151	0.000002
G23	+	G1	0.000448	0.290720	0.000001
G24	-	G1	-0.000520	0.429018	-0.000002
G25	+	G1	0.000004	0.497962	0.000000
G26	+	G1	0.001690	0.434900	0.000005
G27	+	G1	0.000963	0.349120	0.000002
G28	+	G1	0.001249	0.360324	0.000003
G29	-	G1	-0.000095	0.386851	-0.000000
G30	+	G1	0.000362	0.307236	0.000001
G31	+	G1	0.000847	0.454918	0.000003
G32	-	G1	-0.000402	0.377977	-0.000001
G33	-	G1	-0.000301	0.273052	-0.000001
G34	+	G1	0.000052	0.295654	0.000000
G35	+	G1	0.000267	0.377742	0.000001
G36	+	G1	0.000375	0.366135	0.000001
G37	-	G1	-0.000126	0.365943	-0.000000
G38	+	G1	0.000358	0.362240	0.000001
G39	-	G1	-0.001229	0.325893	-0.000003
G40	+	G1	0.000205	0.467498	0.000001
G41	-	G1	-0.000599	0.491691	-0.000002
G42	+	G1	0.000477	0.368052	0.000001
G43	+	G1	0.000614	0.496529	0.000002
G44	+	G1	0.000956	0.357054	0.000002
G45	-	G1	-0.000608	0.390737	-0.000002
G46	+	G1	0.000610	0.351079	0.000002
G47	+	G1	0.000012	0.382799	0.000000
G48	-	G1	-0.000170	0.498584	-0.000001
G49	-	G1	-0.000431	0.383515	-0.000001
G50	+	G1	0.000760	0.350820	0.000002
G51	-	G1	-0.000906	0.297730	-0.000002
G52	-	G1	-0.002321	0.269708	-0.000004
G53	+	G1	0.001021	0.289806	0.000002
G54	+	G1	0.000244	0.286786	0.000000
G55	+	G1	0.000352	0.383754	0.000001
G56	+	G1	0.000125	0.496526	0.000000
G57	+	G1	0.000095	0.366864	0.000000
G58	+	G1	0.001152	0.374821	0.000003
G59	+	G1	0.000226	0.397906	0.000001
G60	+	G1	0.000179	0.382848	0.000000
G61	+	G1	0.000555	0.381868	0.000002
G62	+	G1	0.000334	0.355648	0.000001
G63	+	G1	0.000157	0.496963	0.000001
G64	-	G1	-0.000275	0.372996	-0.000001
G65	+	G1	0.000069	0.241381	0.000000
G66	-	G1	-0.000070	0.370221	-0.000000
G67	+	G1	0.000774	0.361136	0.000002
G68	-	G1	-0.000260	0.384703	-0.000001
G69	+	G1	0.000615	0.322506	0.000001
G70	+	G1	0.000169	0.372684	0.000000
G71	+	G1	0.000038	0.370537	0.000000
G72	+	G1	0.000096	0.499562	0.000000
G73	+	G1	0.000412	0.349683	0.000001
G74	+	G1	0.000628	0.387841	0.000002
G75	-	G1	-0.000094	0.395960	-0.000000
G76	+	G1	0.000881	0.474633	0.000003
G77	+	G1	0.000968	0.327778	0.000002
G78	-	G1	-0.001757	0.404691	-0.000005
G79	-	G1	-0.000483	0.347632	-0.000001
G80	+	G1	0.000144	0.420840	0.000000
G81	-	G1	-0.000550	0.404168	-0.000002
G82	+	G1	0.000070	0.346429	0.000000
G83	+	G1	0.000707	0.374664	0.000002
G84	+	G1	0.000681	0.410619	0.000002
G85	-	G1	-0.000170	0.307195	-0.000000
G86	+	G1	0.001782	0.394041	0.000005
G87	+	G1	0.001089	0.443233	0.000003
G88	+	G1	0.001722	0.448795	0.000005
G89	+	G1	0.000515	0.384592	0.000001
G90	+	G1	0.001531	0.434461	0.000005
G91	+	G1	0.000473	0.451307	0.000002
G92	-	G1	-0.000795	0.345607	-0.000002
G93	-	G1	-0.000076	0.380051	-0.000000
G94	+	G1	0.001049	0.372794	0.000003
G95	-	G1	-0.000492	0.307918	-0.000001
G96	+	G1	0.000314	0.377720	0.000001
G97	+	G1	0.000193	0.349293	0.000000
G98	+	G1	0.000060	0.352389	0.000000
G99	-	G1	-0.001368	0.406059	-0.000004
G100	-	G1	-0.000307	0.313518	-0.000001
Time	+	G2	0.000001	0.032296	0.000000
G1	-	G2	-0.001040	0.499413	-0.000004
G2	+	G2	0.008276	0.483866	0.000028
G3	-	G2	-0.002362	0.377528	-0.000006
G4	-	G2	-0.006787	0.478830	-0.000023
G5	+	G2	0.000436	0.498841	0.000002
G6	-	G2	-0.000732	0.385834	-0.000002
G7	-	G2	-0.022599	0.525365	-0.000084
G8	-	G2	-0.010014	0.439867	-0.000031
G9	+	G2	0.000504	0.498417	0.000002
G10	-	G2	-0.002191	0.365072	-0.000006
G11	+	G2	0.002182	0.390188	0.000006
G12	+	G2	0.000218	0.499997	0.000001
G13	+	G2	0.003871	0.310499	0.000009
