Gene1	Gene2	EdgeWeight
G27	G3	1.0
G23	G62	1.0
G27	G3	1.0
G39	G39	1.0
G39	G39	1.0
G23	G62	1.0
G23	G19	0.999999
G23	G19	0.999999
G93	G60	0.999991
G93	G60	0.999991
G96	G44	0.999986
G96	G44	0.999986
G61	G71	0.999984
G39	G21	0.999984
G61	G71	0.999984
G39	G21	0.999984
G58	G38	0.999978
G58	G38	0.999978
G68	G3	0.999975
G68	G3	0.999975
G93	G50	0.999962
G93	G50	0.999962
G82	G35	0.999961
G82	G35	0.999961
G15	G22	0.999958
G19	G33	0.999958
G15	G22	0.999958
G19	G33	0.999958
G96	G50	0.999956
G96	G50	0.999956
G19	G14	0.999955
G19	G14	0.999955
G35	G16	0.999942
G35	G16	0.999942
G6	G94	0.999941
G6	G94	0.999941
G36	G67	0.999936
G36	G67	0.999936
G93	G67	0.999935
G93	G67	0.999935
G21	G99	0.999934
G21	G99	0.999934
G68	G77	0.999932
G68	G77	0.999932
G59	G74	0.999928
G59	G74	0.999928
G67	G27	0.999927
G67	G27	0.999927
G83	G22	0.999926
G83	G22	0.999926
G6	G18	0.99992
G6	G18	0.99992
G35	G49	0.999916
G35	G49	0.999916
G93	G45	0.999886
G93	G45	0.999886
G67	G16	0.999885
G67	G16	0.999885
G18	G10	0.999851
G18	G10	0.999851
G67	G23	0.999849
G67	G23	0.999849
G39	G70	0.999846
G39	G70	0.999846
G96	G68	0.999836
G96	G68	0.999836
G61	G28	0.999833
G61	G28	0.999833
G10	G15	0.999832
G10	G15	0.999832
G96	G58	0.999812
G96	G58	0.999812
G10	G55	0.999804
G10	G55	0.999804
G11	G32	0.999801
G11	G32	0.999801
G19	G30	0.999798
G19	G30	0.999798
G66	G10	0.999775
G66	G10	0.999775
G19	G34	0.999774
G19	G34	0.999774
G32	G49	0.999773
G67	G30	0.999773
G67	G30	0.999773
G32	G49	0.999773
G75	G18	0.999772
G75	G18	0.999772
G20	G85	0.999771
G20	G85	0.999771
G23	G37	0.999731
G23	G37	0.999731
G35	G96	0.999684
G35	G96	0.999684
G58	G67	0.999674
G58	G67	0.999674
G30	G54	0.999666
G30	G54	0.999666
G14	G86	0.99958
G14	G86	0.99958
G11	G69	0.999557
G11	G69	0.999557
G10	G49	0.999548
G10	G49	0.999548
G11	G54	0.99952
G11	G54	0.99952
G58	G83	0.99952
G58	G83	0.99952
G35	G85	0.999511
G35	G85	0.999511
G21	G95	0.999504
G21	G95	0.999504
G27	G98	0.999454
G27	G98	0.999454
G11	G61	0.999439
G11	G61	0.999439
G18	G35	0.999327
G18	G35	0.999327
G6	G69	0.999315
G6	G69	0.999315
G96	G14	0.999314
G96	G14	0.999314
G61	G23	0.999277
G61	G23	0.999277
G89	G67	0.999264
G89	G67	0.999264
G55	G70	0.999263
G55	G70	0.999263
G35	G70	0.999205
G35	G70	0.999205
G96	G65	0.99917
G96	G65	0.99917
G6	G54	0.999149
G6	G54	0.999149
G93	G51	0.999139
G93	G51	0.999139
G18	G59	0.999129
G18	G59	0.999129
G65	G53	0.999064
G65	G53	0.999064
G61	G53	0.999038
G61	G53	0.999038
G65	G17	0.999005
G65	G17	0.999005
G35	G65	0.998879
G35	G65	0.998879
G27	G47	0.998836
G27	G47	0.998836
G35	G99	0.998834
G35	G99	0.998834
G3	G60	0.998804
G3	G60	0.998804
G30	G36	0.998787
G30	G36	0.998787
G60	G83	0.998724
G60	G83	0.998724
G47	G52	0.998675
G47	G52	0.998675
G75	G36	0.99865
G75	G36	0.99865
G35	G42	0.998614
G35	G42	0.998614
G61	G36	0.998543
G61	G36	0.998543
G68	G36	0.998497
G68	G36	0.998497
G30	G27	0.998401
G30	G27	0.998401
G77	G66	0.998383
G77	G66	0.998383
G3	G6	0.998335
G3	G6	0.998335
G58	G13	0.998319
G58	G13	0.998319
G32	G18	0.998293
G32	G18	0.998293
G96	G23	0.998269
G96	G23	0.998269
G39	G57	0.998099
G39	G57	0.998099
G65	G14	0.998096
G65	G14	0.998096
G49	G68	0.997765
G49	G68	0.997765
G67	G14	0.997563
G67	G14	0.997563
G70	G55	0.997522
G70	G55	0.997522
G55	G33	0.997351
G55	G33	0.997351
G16	G34	0.997329
G16	G34	0.997329
G67	G96	0.997319
G67	G96	0.997319
G96	G15	0.9972
G96	G15	0.9972
G38	G32	0.997172
G38	G32	0.997172
G83	G74	0.997123
G83	G74	0.997123
G93	G7	0.99712
G93	G7	0.99712
G71	G69	0.997058
G71	G69	0.997058
G6	G79	0.996992
G6	G79	0.996992
G93	G17	0.996861
G93	G17	0.996861
G10	G61	0.996768
G10	G61	0.996768
G77	G35	0.996735
G77	G35	0.996735
G93	G13	0.996641
G93	G13	0.996641
G50	G14	0.996546
G50	G14	0.996546
G100	G39	0.996533
G100	G39	0.996533
G18	G20	0.996313
G18	G20	0.996313
G27	G37	0.996282
G27	G37	0.996282
G35	G52	0.996236
G35	G52	0.996236
G77	G37	0.996142
G77	G37	0.996142
G61	G97	0.996062
G61	G97	0.996062
G10	G100	0.996033
G10	G100	0.996033
G6	G95	0.995991
G6	G95	0.995991
G34	G6	0.995963
G34	G6	0.995963
G71	G6	0.995958
G71	G6	0.995958
G75	G68	0.995933
G75	G68	0.995933
G65	G13	0.995907
G65	G13	0.995907
G10	G13	0.995881
G10	G13	0.995881
G71	G64	0.9958
G71	G64	0.9958
G70	G81	0.99574
G70	G81	0.99574
G54	G52	0.995649
G54	G52	0.995649
G58	G58	0.995512
G58	G58	0.995512
G35	G75	0.995509
G35	G75	0.995509
G74	G73	0.995392
G74	G73	0.995392
G66	G22	0.995261
G66	G22	0.995261
G19	G46	0.995151
G19	G46	0.995151
G74	G23	0.995141
G74	G23	0.995141
G14	G83	0.995068
G14	G83	0.995068
G61	G39	0.995041
G61	G39	0.995041
G49	G49	0.994843
G49	G49	0.994843
G67	G62	0.994791
G67	G62	0.994791
G66	G42	0.994668
G66	G42	0.994668
G77	G19	0.994523
G77	G19	0.994523
G27	G8	0.99447
G27	G8	0.99447
G3	G71	0.994354
G3	G71	0.994354
G39	G64	0.994353
G39	G64	0.994353
G71	G14	0.994336
G71	G14	0.994336
G60	G11	0.99421
G60	G11	0.99421
G23	G70	0.994163
G23	G70	0.994163
G68	G62	0.99415
G68	G62	0.99415
G35	G60	0.994119
G35	G60	0.994119
G61	G35	0.993935
G61	G35	0.993935
G28	G14	0.99391
G28	G14	0.99391
G19	G47	0.993908
G19	G47	0.993908
G89	G82	0.993551
G89	G82	0.993551
G39	G51	0.993522
G39	G51	0.993522
G69	G7	0.993462
G69	G7	0.993462
G75	G58	0.993425
G75	G58	0.993425
G10	G51	0.993419
G10	G51	0.993419
G61	G87	0.993413
G61	G87	0.993413
G42	G62	0.993212
G42	G62	0.993212
G11	G10	0.993161
G11	G10	0.993161
G22	G61	0.993149
G22	G61	0.993149
G10	G3	0.992881
G10	G3	0.992881
G66	G68	0.992702
G66	G68	0.992702
G21	G11	0.992471
G21	G11	0.992471
G42	G42	0.992448
G42	G42	0.992448
G96	G95	0.99239
G96	G95	0.99239
G27	G73	0.992271
G27	G73	0.992271
G65	G74	0.992218
G65	G74	0.992218
G19	G65	0.992184
G19	G65	0.992184
G16	G66	0.991947
G16	G66	0.991947
G17	G23	0.991838
G17	G23	0.991838
G70	G38	0.991776
G70	G38	0.991776
G18	G57	0.991565
G18	G57	0.991565
G58	G79	0.99139
G58	G79	0.99139
G10	G50	0.991316
G10	G50	0.991316
G95	G16	0.991253
G95	G16	0.991253
G96	G61	0.990692
G96	G61	0.990692
G34	G69	0.990554
G34	G69	0.990554
G93	G38	0.990545
G93	G38	0.990545
G93	G39	0.990517
G93	G39	0.990517
G36	G16	0.990362
G36	G16	0.990362
G27	G11	0.990358
G27	G11	0.990358
G19	G6	0.990311
G19	G6	0.990311
G36	G61	0.990253
G36	G61	0.990253
G65	G80	0.990133
G65	G80	0.990133
G71	G74	0.989745
G71	G74	0.989745
G100	G52	0.989697
G100	G52	0.989697
G52	G95	0.989495
G52	G95	0.989495
G35	G54	0.989367
G35	G54	0.989367
G39	G97	0.989136
G39	G97	0.989136
G27	G85	0.988832
G27	G85	0.988832
G14	G16	0.988795
G14	G16	0.988795
G96	G81	0.988782
G96	G81	0.988782
G27	G20	0.988738
G27	G20	0.988738
G65	G59	0.988707
G65	G59	0.988707
G65	G57	0.988606
G65	G57	0.988606
G18	G32	0.988089
G18	G32	0.988089
G49	G93	0.988054
G49	G93	0.988054
G3	G36	0.987844
G3	G36	0.987844
G36	G53	0.987599
G36	G53	0.987599
G68	G93	0.987566
G68	G93	0.987566
G22	G21	0.987466
G22	G21	0.987466
G8	G77	0.987317
G8	G77	0.987317
G67	G36	0.98731
G67	G36	0.98731
G59	G13	0.987211
G59	G13	0.987211
G49	G36	0.987017
G49	G36	0.987017
G18	G17	0.986795
G18	G17	0.986795
G89	G35	0.986779
G89	G35	0.986779
G36	G42	0.986773
G36	G42	0.986773
G55	G11	0.986702
G55	G11	0.986702
G93	G27	0.986619
G93	G27	0.986619
G10	G91	0.986318
G10	G91	0.986318
G50	G90	0.98631
G50	G90	0.98631
G95	G39	0.98618
G95	G39	0.98618
G80	G54	0.986168
G80	G54	0.986168
G58	G60	0.986153
G58	G60	0.986153
G96	G75	0.986129
G96	G75	0.986129
G96	G32	0.986098
G96	G32	0.986098
G68	G33	0.986095
G68	G33	0.986095
G71	G42	0.986049
G71	G42	0.986049
G83	G49	0.985921
G83	G49	0.985921
G10	G38	0.985828
G10	G38	0.985828
G30	G65	0.985762
G30	G65	0.985762
G32	G39	0.985733
G32	G39	0.985733
G11	G58	0.985631
G11	G58	0.985631
G52	G33	0.985556
G52	G33	0.985556
G27	G86	0.985515
G27	G86	0.985515
G36	G58	0.985425
G36	G58	0.985425
G93	G42	0.985271
G93	G42	0.985271
G75	G20	0.985196
G75	G20	0.985196
G58	G46	0.985184
G58	G46	0.985184
G57	G97	0.985086
G57	G97	0.985086
G38	G53	0.984997
G38	G53	0.984997
G62	G92	0.984671
G62	G92	0.984671
G58	G94	0.984534
G58	G94	0.984534
G8	G53	0.98447
G8	G53	0.98447
G71	G65	0.9844
G71	G65	0.9844
G60	G30	0.984398
G60	G30	0.984398
G16	G27	0.983916
G16	G27	0.983916
G15	G21	0.983724
G15	G21	0.983724
G96	G93	0.983693
G96	G93	0.983693
G65	G10	0.983691
G65	G10	0.983691
G74	G79	0.983479
G74	G79	0.983479
G77	G89	0.983452
G77	G89	0.983452
G28	G34	0.983375
G28	G34	0.983375
G39	G28	0.983349
G39	G28	0.983349
G19	G22	0.983329
G19	G22	0.983329
G28	G46	0.983202
G28	G46	0.983202
G38	G62	0.983132
G38	G62	0.983132
G100	G51	0.982962
G100	G51	0.982962
G38	G82	0.982942
G38	G82	0.982942
G58	G68	0.982762
G58	G68	0.982762
G10	G42	0.982528
G10	G42	0.982528
G10	G37	0.98232
G10	G37	0.98232
G3	G98	0.981996
G3	G98	0.981996
G68	G34	0.98177
G68	G34	0.98177
G18	G89	0.981757
G18	G89	0.981757
G19	G39	0.981662
G19	G39	0.981662
G21	G50	0.981602
G21	G50	0.981602
G15	G82	0.981352
