Gene1	Gene2	EdgeWeight
G1	G2	nan
G2	G1	nan
G1	G3	nan
G3	G1	nan
G1	G4	nan
G4	G1	nan
G1	G5	nan
G5	G1	nan
G1	G6	nan
G6	G1	nan
G1	G7	nan
G7	G1	nan
G1	G8	nan
G8	G1	nan
G1	G9	nan
G9	G1	nan
G1	G10	nan
G10	G1	nan
G1	G11	nan
G11	G1	nan
G1	G12	nan
G12	G1	nan
G1	G13	nan
G13	G1	nan
G1	G14	nan
G14	G1	nan
G1	G15	nan
G15	G1	nan
G1	G16	nan
G16	G1	nan
G1	G17	nan
G17	G1	nan
G1	G18	nan
G18	G1	nan
G1	G19	nan
G19	G1	nan
G1	G20	nan
G20	G1	nan
G1	G21	nan
G21	G1	nan
G1	G22	nan
G22	G1	nan
G1	G23	nan
G23	G1	nan
G1	G24	nan
G24	G1	nan
G1	G25	nan
G25	G1	nan
G1	G26	nan
G26	G1	nan
G1	G27	nan
G27	G1	nan
G1	G28	nan
G28	G1	nan
G1	G29	nan
G29	G1	nan
G1	G30	nan
G30	G1	nan
G1	G31	nan
G31	G1	nan
G1	G32	nan
G32	G1	nan
G1	G33	nan
G33	G1	nan
G1	G34	nan
G34	G1	nan
G1	G35	nan
G35	G1	nan
G1	G36	nan
G36	G1	nan
G1	G37	nan
G37	G1	nan
G1	G38	nan
G38	G1	nan
G1	G40	nan
G40	G1	nan
G1	G41	nan
G41	G1	nan
G1	G42	nan
G42	G1	nan
G1	G43	nan
G43	G1	nan
G1	G44	nan
G44	G1	nan
G1	G45	nan
G45	G1	nan
G1	G46	nan
G46	G1	nan
G1	G47	nan
G47	G1	nan
G1	G48	nan
G48	G1	nan
G1	G49	nan
G49	G1	nan
G1	G50	nan
G50	G1	nan
G1	G51	nan
G51	G1	nan
G1	G52	nan
G52	G1	nan
G1	G53	nan
G53	G1	nan
G1	G54	nan
G54	G1	nan
G1	G55	nan
G55	G1	nan
G1	G56	nan
G56	G1	nan
G1	G57	nan
G57	G1	nan
G1	G58	nan
G58	G1	nan
G1	G59	nan
G59	G1	nan
G1	G60	nan
G60	G1	nan
G1	G61	nan
G61	G1	nan
G1	G62	nan
G62	G1	nan
G1	G63	nan
G63	G1	nan
G1	G64	nan
G64	G1	nan
G1	G65	nan
G65	G1	nan
G1	G66	nan
G66	G1	nan
G1	G67	nan
G67	G1	nan
G1	G68	nan
G68	G1	nan
G1	G69	nan
G69	G1	nan
G1	G71	nan
G71	G1	nan
G1	G72	nan
G72	G1	nan
G1	G73	nan
G73	G1	nan
G1	G74	nan
G74	G1	nan
G1	G75	nan
G75	G1	nan
G1	G76	nan
G76	G1	nan
G1	G77	nan
G77	G1	nan
G1	G78	nan
G78	G1	nan
G1	G79	nan
G79	G1	nan
G1	G80	nan
G80	G1	nan
G1	G81	nan
G81	G1	nan
G1	G82	nan
G82	G1	nan
G1	G83	nan
G83	G1	nan
G1	G84	nan
G84	G1	nan
G1	G85	nan
G85	G1	nan
G1	G86	nan
G86	G1	nan
G1	G87	nan
G87	G1	nan
G1	G88	nan
G88	G1	nan
G1	G89	nan
G89	G1	nan
G1	G90	nan
G90	G1	nan
G1	G91	nan
G91	G1	nan
G1	G92	nan
G92	G1	nan
G1	G93	nan
G93	G1	nan
G1	G94	nan
G94	G1	nan
G1	G95	nan
G95	G1	nan
G1	G96	nan
G96	G1	nan
G1	G97	nan
G97	G1	nan
G1	G98	nan
G98	G1	nan
G1	G99	nan
G99	G1	nan
G1	G100	nan
G100	G1	nan
G2	G3	nan
G3	G2	nan
G2	G4	nan
G4	G2	nan
G2	G5	nan
G5	G2	nan
G2	G6	nan
G6	G2	nan
G2	G7	nan
G7	G2	nan
G2	G8	nan
G8	G2	nan
G2	G10	nan
G10	G2	nan
G2	G11	nan
G11	G2	nan
G2	G12	nan
G12	G2	nan
G2	G13	nan
G13	G2	nan
G2	G14	nan
G14	G2	nan
G2	G15	nan
G15	G2	nan
G2	G16	nan
G16	G2	nan
G2	G17	nan
G17	G2	nan
G2	G18	nan
G18	G2	nan
G2	G19	nan
G19	G2	nan
G2	G20	nan
G20	G2	nan
G2	G21	nan
G21	G2	nan
G2	G23	nan
G23	G2	nan
G2	G24	nan
G24	G2	nan
G2	G25	nan
G25	G2	nan
G2	G26	nan
G26	G2	nan
G2	G27	nan
G27	G2	nan
G2	G29	nan
G29	G2	nan
G2	G30	nan
G30	G2	nan
G2	G32	nan
G32	G2	nan
G2	G33	nan
G33	G2	nan
G2	G34	nan
G34	G2	nan
G2	G35	nan
G35	G2	nan
G2	G36	nan
G36	G2	nan
G2	G37	nan
G37	G2	nan
G2	G38	nan
G38	G2	nan
G2	G40	nan
G40	G2	nan
G2	G41	nan
G41	G2	nan
G2	G42	nan
G42	G2	nan
G2	G43	nan
G43	G2	nan
G2	G44	nan
G44	G2	nan
G2	G46	nan
G46	G2	nan
G2	G47	nan
G47	G2	nan
G2	G48	nan
G48	G2	nan
G2	G49	nan
G49	G2	nan
G2	G50	nan
G50	G2	nan
G2	G51	nan
G51	G2	nan
G2	G52	nan
G52	G2	nan
G2	G53	nan
G53	G2	nan
G2	G54	nan
G54	G2	nan
G2	G55	nan
G55	G2	nan
G2	G56	nan
G56	G2	nan
G2	G57	nan
G57	G2	nan
G2	G58	nan
G58	G2	nan
G2	G59	nan
G59	G2	nan
G2	G60	nan
G60	G2	nan
G2	G61	nan
G61	G2	nan
G2	G62	nan
G62	G2	nan
G2	G63	nan
G63	G2	nan
G2	G64	nan
G64	G2	nan
G2	G65	nan
G65	G2	nan
G2	G66	nan
G66	G2	nan
G2	G67	nan
G67	G2	nan
G2	G68	nan
G68	G2	nan
G2	G69	nan
G69	G2	nan
G2	G71	nan
G71	G2	nan
G2	G72	nan
G72	G2	nan
G2	G73	nan
G73	G2	nan
G2	G74	nan
G74	G2	nan
G2	G75	nan
G75	G2	nan
G2	G76	nan
G76	G2	nan
G2	G77	nan
G77	G2	nan
G2	G78	nan
G78	G2	nan
G2	G79	nan
G79	G2	nan
G2	G83	nan
G83	G2	nan
G2	G84	nan
G84	G2	nan
G2	G85	nan
G85	G2	nan
G2	G86	nan
G86	G2	nan
G2	G87	nan
G87	G2	nan
G2	G88	nan
G88	G2	nan
G2	G89	nan
G89	G2	nan
G2	G90	nan
G90	G2	nan
G2	G91	nan
G91	G2	nan
G2	G92	nan
G92	G2	nan
G2	G93	nan
G93	G2	nan
G2	G94	nan
G94	G2	nan
G2	G95	nan
G95	G2	nan
G2	G97	nan
G97	G2	nan
G2	G98	nan
G98	G2	nan
G2	G100	nan
G100	G2	nan
G3	G4	nan
G4	G3	nan
G3	G5	nan
G5	G3	nan
G3	G6	nan
G6	G3	nan
G3	G7	nan
G7	G3	nan
G3	G8	nan
G8	G3	nan
G3	G9	nan
G9	G3	nan
G3	G10	nan
G10	G3	nan
G3	G11	nan
G11	G3	nan
G3	G12	nan
G12	G3	nan
G3	G13	nan
G13	G3	nan
G3	G14	nan
G14	G3	nan
G3	G15	nan
G15	G3	nan
G3	G16	nan
G16	G3	nan
G3	G17	nan
G17	G3	nan
G3	G18	nan
G18	G3	nan
G3	G19	nan
G19	G3	nan
G3	G20	nan
G20	G3	nan
G3	G21	nan
G21	G3	nan
G3	G22	nan
G22	G3	nan
G3	G23	nan
G23	G3	nan
G3	G24	nan
G24	G3	nan
G3	G25	nan
G25	G3	nan
G3	G26	nan
G26	G3	nan
G3	G27	nan
G27	G3	nan
G3	G28	nan
G28	G3	nan
G3	G29	nan
G29	G3	nan
G3	G30	nan
G30	G3	nan
G3	G31	nan
G31	G3	nan
G3	G32	nan
G32	G3	nan
G3	G33	nan
G33	G3	nan
G3	G34	nan
G34	G3	nan
G3	G35	nan
G35	G3	nan
G3	G36	nan
G36	G3	nan
G3	G37	nan
G37	G3	nan
G3	G38	nan
G38	G3	nan
G3	G40	nan
G40	G3	nan
G3	G41	nan
G41	G3	nan
G3	G42	nan
G42	G3	nan
G3	G43	nan
G43	G3	nan
G3	G44	nan
G44	G3	nan
G3	G45	nan
G45	G3	nan
G3	G46	nan
G46	G3	nan
G3	G47	nan
G47	G3	nan
G3	G48	nan
G48	G3	nan
G3	G49	nan
G49	G3	nan
G3	G50	nan
G50	G3	nan
G3	G51	nan
G51	G3	nan
G3	G52	nan
G52	G3	nan
G3	G53	nan
G53	G3	nan
G3	G54	nan
G54	G3	nan
G3	G55	nan
G55	G3	nan
G3	G56	nan
G56	G3	nan
G3	G57	nan
G57	G3	nan
G3	G58	nan
G58	G3	nan
G3	G59	nan
G59	G3	nan
G3	G60	nan
G60	G3	nan
G3	G61	nan
G61	G3	nan
G3	G62	nan
G62	G3	nan
G3	G63	nan
G63	G3	nan
G3	G64	nan
G64	G3	nan
G3	G65	nan
G65	G3	nan
G3	G66	nan
G66	G3	nan
G3	G67	nan
G67	G3	nan
G3	G68	nan
G68	G3	nan
G3	G69	nan
G69	G3	nan
G3	G71	nan
G71	G3	nan
G3	G72	nan
G72	G3	nan
G3	G73	nan
G73	G3	nan
G3	G74	nan
G74	G3	nan
G3	G75	nan
G75	G3	nan
G3	G76	nan
G76	G3	nan
G3	G77	nan
G77	G3	nan
G3	G78	nan
G78	G3	nan
G3	G79	nan
G79	G3	nan
G3	G80	nan
G80	G3	nan
