Gene1	Gene2	EdgeWeight
Time	G36	111.174230594129
Time	G71	108.520224486766
Time	G58	108.322414062733
Time	G22	107.558493913174
Time	G83	107.394730693133
Time	G3	106.953330715886
Time	G69	105.854560788253
Time	G18	105.831364016145
Time	G68	105.140531225371
Time	G15	105.055059126067
Time	G96	103.303631624557
Time	G35	103.070991167751
Time	G32	102.168787129048
Time	G42	102.14756342998
Time	G61	101.891075450716
Time	G10	100.796358378768
Time	G66	100.233933813921
Time	G13	99.6854789037053
Time	G93	99.601036359976
Time	G57	99.5843979508213
Time	G27	99.3023078199344
Time	G77	99.1852343914516
Time	G60	99.0847731822083
Time	G67	98.8359762416896
Time	G11	97.4044419262576
Time	G53	97.0535599634267
Time	G50	96.7758420428095
Time	G14	96.04572936056
Time	G6	93.718183216135
Time	G16	93.4206379976253
Time	G23	92.7731937772352
Time	G65	92.6442424815453
Time	G49	91.6253125433038
Time	G34	91.1292984930798
Time	G19	90.9221594640109
Time	G89	90.2337786887786
Time	G54	87.228481071209
Time	G39	86.2459441400452
Time	G30	85.9117061972796
Time	G38	84.7229142893762
Time	G73	83.2565576920285
Time	G62	81.4803825698256
Time	G17	80.2424008467845
Time	G59	80.2390004811562
Time	G21	80.200572489769
Time	G82	79.3449938688375
Time	G75	78.5150114692507
Time	G55	74.904882299453
Time	G74	74.5370252617728
Time	G20	71.4117258226109
Time	G70	61.2942811315072
Time	G79	60.5336337110421
Time	G7	60.3338334934818
Time	G8	58.1265111512694
Time	G80	53.3666467172956
Time	G28	53.1693810328826
Time	G94	52.7450037315001
Time	G46	51.3729780532075
Time	G95	50.1658641648907
Time	G51	46.7882633111838
Time	G37	45.7793697216024
Time	G92	44.6649837401272
Time	G85	44.1345204855966
Time	G64	42.2474284968235
Time	G88	42.1082577567084
Time	G47	41.4096540030641
Time	G100	40.6952513363865
Time	G87	39.8391679139456
Time	G44	36.3377501547712
Time	G33	34.8307501050609
Time	G29	29.9787330146456
Time	G26	29.7231726540011
Time	G90	27.6609634445127
Time	G84	26.760921330378
Time	G86	25.7878130563247
Time	G52	20.6184740431204
Time	G99	19.8113691868351
Time	G45	17.9341888311481
Time	G97	16.2156137817432
Time	G91	15.6154779601915
Time	G31	14.672851506529
Time	G81	13.5478922294921
Time	G78	10.1082257397563
Time	G98	9.87253709364628
Time	G40	8.02446221626088
Time	G76	7.93869016604906
Time	G24	7.4020982165346
Time	Time	5.07957745006227
Time	G4	4.33850941198082
Time	G41	2.90133947311505
Time	G43	2.23241589731619
Time	G25	2.07970062563108
Time	G63	2.04062284699294
Time	G9	1.46074727762876
Time	G5	1.33069843435881
Time	G1	1.20708572347206
Time	G56	1.05970824933071
Time	G48	0.946099894779925
Time	G2	0.501688824877566
Time	G72	0.328834915667288
Time	G12	0.0812951884458423
G54	G36	0.0237600555889916
G54	G71	0.0232347684262899
G54	G58	0.023141796285106
G54	G22	0.0230119541163573
G54	G83	0.022963069261251
G54	G3	0.022830125464931
G54	G69	0.0227022887660799
G54	G18	0.022601481960317
G54	G15	0.0224363464471039
G54	G68	0.0224289781733304
G54	G96	0.0220878255376232
G54	G35	0.0220073337594824
G54	G32	0.0218438031760556
G54	G42	0.0218167356374719
