Gene1	Gene2	EdgeWeight
Time	G36	196.11932403351
Time	G71	191.013777731053
Time	G58	190.084943081794
Time	G22	188.508124467489
Time	G83	188.108546565681
Time	G3	186.049811846931
Time	G69	185.53927152501
Time	G18	182.095510512034
Time	G15	181.056848294398
Time	G68	180.890347823977
Time	G96	179.618901831086
Time	G61	178.049536001798
Time	G13	178.03849681292
Time	G42	177.401481568413
Time	G35	177.17185781074
Time	G32	176.132649396831
Time	G53	174.651465930435
Time	G67	174.47185359181
Time	G27	174.397275008422
Time	G77	173.941143628542
Time	G10	173.72724058884
Time	G66	173.299821023235
Time	G57	173.135705777443
Time	G14	172.878310342974
Time	G60	172.417959350587
Time	G93	171.890430468054
Time	G50	169.847005190337
Time	G65	167.261718758817
Time	G11	166.883362966988
Time	G16	164.458734359379
Time	G23	163.81035275525
Time	G34	163.427442260198
Time	G6	163.129105552061
Time	G19	162.718591111413
Time	G54	156.846644804493
Time	G89	156.701045238784
Time	G49	156.619549322762
Time	G30	155.499759487197
Time	G38	145.464876423403
Time	G73	144.782277548093
Time	G17	143.403957387528
Time	G39	139.853032473396
Time	G59	139.596058745062
Time	G62	136.925789713455
Time	G82	136.800986061632
Time	G21	134.454071497428
Time	G75	133.860746904058
Time	G74	130.687690085786
Time	G55	127.766912338057
Time	G20	122.801806680314
Time	G7	107.833662928616
Time	G79	105.202408172704
Time	G70	102.134118311276
Time	G8	101.014434020082
Time	G28	95.665440584217
Time	G46	93.271297519281
Time	G80	93.1914475087508
Time	G94	92.224245466649
Time	G37	80.7494071433767
Time	G85	80.3712011566481
Time	G95	79.5527644232386
Time	G64	73.0701117735016
Time	G88	72.5002261166046
Time	G92	71.6531816714053
Time	G51	71.595264814083
Time	G87	70.7189582845186
Time	G47	69.1507154145288
Time	G100	67.872390442424
Time	G44	60.7669835570884
Time	G26	53.6936860185609
Time	G29	50.3728936052754
Time	G33	49.2737329140126
Time	G86	48.4316335572244
Time	G90	48.1567815427582
Time	G84	46.9626656836543
Time	G99	32.1954427470716
Time	G52	28.8530748343954
Time	G31	27.5808600225661
Time	G45	27.4018828731499
Time	G91	25.0069583840003
Time	G97	23.0122055030371
Time	G81	21.0624514936735
