TF	target	importance
G31	G20	0.23142421850277084
G29	G16	0.20346300683573704
G42	G40	0.16909630580058252
G31	G28	0.16695548617924952
G13	G1	0.16614782135471406
G28	G31	0.16150579382688723
G45	G22	0.15832544748987676
G20	G31	0.15684407959548166
G46	G47	0.15494394743665132
G50	G16	0.14810274571384474
G19	G22	0.14229764986098567
G43	G46	0.14196180279085407
G22	G19	0.14023927042972095
G1	G13	0.1386571606162272
G26	G3	0.1378759389713926
G22	G35	0.1327354181845043
G39	G43	0.13117917383559563
G22	G45	0.13115624844500576
G40	G42	0.13101952384995222
G47	G46	0.12517084191707867
G40	G41	0.12489646997754132
G16	G29	0.1242705776905857
G37	G22	0.12421511824594866
G42	G47	0.12399022412854548
G42	G38	0.12087702746772945
G34	G46	0.11994565256641232
G38	G40	0.11527727580641835
G42	G41	0.11461365488023863
G28	G20	0.11381974787060102
G34	G16	0.1128971570005157
G41	G17	0.11154645119491181
G19	G45	0.10975805961624949
G16	G50	0.1092509506717852
G36	G1	0.10826708667017308
G41	G42	0.1064066422060081
G24	G16	0.1056705809490117
G35	G33	0.10516888506369847
G22	G37	0.10504449836628556
G41	G40	0.10483641613258175
G32	G17	0.10408669000379805
G50	G29	0.10321533290455882
G12	G39	0.10265812957053888
G45	G46	0.10037194322526255
G38	G42	0.10008605573302894
G40	G47	0.09970168594894625
G47	G40	0.09915380245783975
G29	G50	0.0970454348616151
G40	G49	0.09618288438412487
G43	G39	0.09389590379455862
G40	G38	0.09380864603510607
G42	G49	0.09374478774470435
G37	G45	0.09340954344386516
G41	G47	0.09338711788148553
G40	G18	0.09302322883453708
G32	G18	0.0915300120986001
G37	G19	0.09140348163167218
G29	G24	0.08982183297999799
G19	G37	0.0887217963688768
G19	G35	0.0881835511093914
G37	G46	0.08760401604749177
G28	G17	0.08758318293945228
G45	G19	0.08695371224482228
G39	G12	0.08665408337557443
G38	G41	0.08628385133531732
G49	G18	0.08531058357019065
G34	G29	0.08529785885902726
G47	G41	0.08525746517838746
G32	G31	0.0851065904642847
G38	G22	0.08477417195177278
G42	G32	0.08460757317890119
G34	G50	0.08452561151121794
G38	G49	0.08450721951461222
G3	G26	0.08220143827563053
G17	G32	0.08112349872266272
G29	G34	0.08066445197889721
G47	G42	0.08053773223526688
G32	G49	0.08052782891018795
G38	G37	0.08034714094034066
G41	G39	0.07986099551179529
G42	G35	0.07976600234228967
