Gene1	Gene2	EdgeWeight
G37	G5	2499
G37	G6	2498
G34	G5	2497
G34	G4	2496
G37	G4	2495
G37	G7	2494
G48	G2	2493
G2	G5	2492
G34	G6	2491
G19	G1	2490
G44	G1	2489
G19	G2	2488
G2	G2	2487
G34	G3	2486
G2	G4	2485
G48	G1	2484
G48	G3	2483
G2	G6	2482
G19	G3	2481
G22	G1	2480
G34	G7	2479
G44	G2	2478
G37	G3	2477
G37	G8	2476
G48	G4	2475
G34	G2	2474
G2	G3	2473
G48	G5	2472
G2	G1	2471
G44	G3	2470
G19	G4	2469
G2	G7	2468
G22	G2	2467
G44	G4	2466
G34	G8	2465
G48	G6	2464
G16	G47	2463
G37	G2	2462
G37	G9	2461
G19	G5	2460
G50	G47	2459
G10	G4	2458
G38	G29	2457
G34	G1	2456
G22	G3	2455
G6	G47	2454
G12	G4	2453
G8	G29	2452
G15	G45	2451
G45	G39	2450
G47	G47	2449
G36	G23	2448
G40	G47	2447
G25	G45	2446
G48	G7	2445
G4	G21	2444
G2	G8	2443
G4	G47	2442
G39	G16	2441
G49	G29	2440
G33	G47	2439
G33	G16	2438
G41	G47	2437
G43	G16	2436
G11	G16	2435
G47	G45	2434
G36	G29	2433
G21	G29	2432
G22	G29	2431
G8	G23	2430
G43	G47	2429
G14	G21	2428
G11	G28	2427
G39	G39	2426
G40	G16	2425
G44	G6	2424
G29	G47	2423
G26	G4	2422
G9	G17	2421
G50	G21	2420
G47	G16	2419
G39	G47	2418
G38	G21	2417
G26	G18	2416
G31	G16	2415
G31	G3	2414
G45	G16	2413
G21	G50	2412
G45	G41	2411
G41	G4	2410
G4	G45	2409
G46	G47	2408
G30	G28	2407
G45	G47	2406
G8	G21	2405
G6	G21	2404
G10	G3	2403
G14	G4	2402
G49	G47	2401
G38	G23	2400
G9	G45	2399
G26	G28	2398
G31	G47	2397
G43	G21	2396
G31	G31	2395
G40	G45	2394
G14	G47	2393
G45	G4	2392
G50	G16	2391
G19	G6	2390
G24	G1	2389
G25	G47	2388
G13	G16	2387
G9	G13	2386
G7	G46	2385
G31	G13	2384
G35	G42	2383
G17	G28	2382
G28	G39	2381
G7	G31	2380
G49	G23	2379
G6	G45	2378
G30	G47	2377
G29	G29	2376
G44	G5	2375
G12	G3	2374
G38	G50	2373
G23	G31	2372
G26	G29	2371
G28	G21	2370
G39	G45	2369
G22	G4	2368
G7	G3	2367
G25	G16	2366
G21	G28	2365
G1	G47	2364
G29	G45	2363
G7	G1	2362
G1	G42	2361
G36	G50	2360
G31	G41	2359
G32	G47	2358
G36	G1	2357
G10	G1	2356
G13	G4	2355
G15	G21	2354
G26	G27	2353
G14	G3	2352
G29	G16	2351
G11	G3	2350
G12	G16	2349
G8	G50	2348
G10	G39	2347
G1	G39	2346
G6	G16	2345
G47	G21	2344
G23	G29	2343
G13	G40	2342
G28	G27	2341
G13	G6	2340
G3	G4	2339
G17	G47	2338
G27	G4	2337
G34	G9	2336
G16	G21	2335
G40	G17	2334
G16	G41	2333
G49	G27	2332
G28	G3	2331
G46	G41	2330
G14	G39	2329
G39	G13	2328
G28	G47	2327
G10	G16	2326
G12	G31	2325
G43	G39	2324
G4	G16	2323
G42	G46	2322
G22	G28	2321
G46	G45	2320
G40	G21	2319
G11	G40	2318
G32	G45	2317
G3	G16	2316
G14	G16	2315
G23	G50	2314
G5	G40	2313
G39	G41	2312
G28	G8	2311
G21	G18	2310
G16	G4	2309
G28	G7	2308
G15	G33	2307
G6	G17	2306
G29	G21	2305
G39	G21	2304
G4	G17	2303
G21	G23	2302
G17	G21	2301
G42	G50	2300
G5	G21	2299
G41	G21	2298
G28	G41	2297
G35	G46	2296
G12	G35	2295
G10	G47	2294
G4	G13	2293
G50	G45	2292
G18	G24	2291
G16	G31	2290
G9	G1	2289
G23	G32	2288
G24	G28	2287
G43	G41	2286
G20	G1	2285
G5	G3	2284
G3	G47	2283
G18	G3	2282
G15	G17	2281
G45	G35	2280
G27	G13	2279
G3	G21	2278
G8	G18	2277
G12	G13	2276
G40	G40	2275
G30	G32	2274
G27	G40	2273
G47	G14	2272
G45	G40	2271
G12	G39	2270
G25	G21	2269
G40	G13	2268
G9	G16	2267
G47	G17	2266
G21	G20	2265
G43	G45	2264
G18	G47	2263
G24	G3	2262
G4	G41	2261
G13	G31	2260
G18	G17	2259
G36	G21	2258
G12	G47	2257
G29	G5	2256
G8	G4	2255
G16	G13	2254
G5	G31	2253
G41	G40	2252
G26	G43	2251
G46	G16	2250
G5	G1	2249
G21	G4	2248
G25	G33	2247
G3	G41	2246
G18	G16	2245
G16	G16	2244
G38	G40	2243
G49	G6	2242
G27	G21	2241
G3	G5	2240
G37	G1	2239
G37	G10	2238
G45	G45	2237
G50	G17	2236
G15	G1	2235
G36	G3	2234
G32	G23	2233
G39	G50	2232
G5	G42	2231
G42	G3	2230
G14	G13	2229
G27	G47	2228
G42	G39	2227
G29	G40	2226
G1	G41	2225
G18	G50	2224
G16	G39	2223
G33	G21	2222
G28	G32	2221
G16	G3	2220
G30	G40	2219
G1	G4	2218
G18	G21	2217
G20	G27	2216
G21	G32	2215
G26	G47	2214
G10	G31	2213
G7	G23	2212
G10	G6	2211
G32	G40	2210
G47	G33	2209
G43	G40	2208
G7	G13	2207
G20	G31	2206
G18	G41	2205
G50	G41	2204
G8	G40	2203
G49	G40	2202
G1	G7	2201
G25	G8	2200
G40	G5	2199
G21	G47	2198
G29	G17	2197
G33	G41	2196
G24	G45	2195
G9	G21	2194
G33	G40	2193
G46	G6	2192
G35	G30	2191
G21	G40	2190
G17	G29	2189
G17	G40	2188
G44	G47	2187
G33	G6	2186
G14	G1	2185
G11	G12	2184
G23	G20	2183
G49	G50	2182
G15	G4	2181
G12	G1	2180
G41	G14	2179
G31	G17	2178
G8	G26	2177
G49	G43	2176
G6	G41	2175
G1	G16	2174
G40	G29	2173
G23	G40	2172
G24	G41	2171
G30	G18	2170
G7	G16	2169
G33	G23	2168
G38	G32	2167
G16	G28	2166
G49	G4	2165
G17	G27	2164
G46	G42	2163
G6	G12	2162
G18	G12	2161
G6	G33	2160
G46	G7	2159
G8	G47	2158
G24	G6	2157
G38	G30	2156
G27	G11	2155
G38	G18	2154
G43	G4	2153
G35	G45	2152
G14	G28	2151
G48	G8	2150
G46	G50	2149
G20	G18	2148
G24	G4	2147
G42	G13	2146
G45	G30	2145
G30	G29	2144
G21	G8	2143
G20	G50	2142
G18	G4	2141
G21	G43	2140
G38	G47	2139
G4	G12	2138
G50	G40	2137
G17	G6	2136
G41	G45	2135
G12	G50	2134
G4	G27	2133
G18	G29	2132
G20	G40	2131
G10	G42	2130
G38	G4	2129
G8	G16	2128
G29	G49	2127
G1	G31	2126
G50	G49	2125
G38	G27	2124
G9	G40	2123
G1	G13	2122
G26	G8	2121
G36	G28	2120
G5	G4	2119
G1	G45	2118
G13	G13	2117
G24	G40	2116
G32	G16	2115
G13	G18	2114
G2	G9	2113
G50	G12	2112
G5	G27	2111
G41	G39	2110
G23	G15	2109
G41	G49	2108
G46	G46	2107
G13	G8	2106
G5	G47	2105
G20	G14	2104
G39	G17	2103
G41	G35	2102
G10	G13	2101
G50	G13	2100
G8	G28	2099
G3	G31	2098
G36	G4	2097
G22	G50	2096
G10	G50	2095
G21	G15	2094
G33	G4	2093
G30	G35	2092
G14	G41	2091
G27	G16	2090
G47	G49	2089
G35	G14	2088
G27	G6	2087
G26	G11	2086
G20	G21	2085
G6	G49	2084
G8	G31	2083
G14	G6	2082
G10	G29	2081
G30	G50	2080
G24	G11	2079
G42	G40	2078
G4	G3	2077
G31	G21	2076
G26	G50	2075
G11	G31	2074
G49	G28	2073
G15	G3	2072
G33	G39	2071
G33	G45	2070
G16	G29	2069
G23	G21	2068
G15	G28	2067
G3	G39	2066
G11	G4	2065
G23	G8	2064
G27	G29	2063
G16	G1	2062
G6	G13	2061
G11	G43	2060
G43	G13	2059
G5	G17	2058
G13	G50	2057
G14	G31	2056
G11	G30	2055
G39	G28	2054
G36	G13	2053
G12	G6	2052
G41	G23	2051
G18	G40	2050
G35	G1	2049
G23	G4	2048
G36	G45	2047
G21	G21	2046
G22	G5	2045
G35	G39	2044
G26	G32	2043
G12	G40	2042
G32	G50	2041
G29	G41	2040
G14	G50	2039
G21	G27	2038
G19	G21	2037
G35	G40	2036
G36	G40	2035
G38	G20	2034
G16	G30	2033
G31	G10	2032
G43	G49	2031
G42	G6	2030
G49	G15	2029
G7	G7	2028
G42	G41	2027
G1	G5	2026
G33	G50	2025
G29	G14	2024
G3	G45	2023
G40	G41	2022
G15	G43	2021
G42	G5	2020
G17	G45	2019
G49	G18	2018
G46	G49	2017
G32	G6	2016
G8	G6	2015
G25	G40	2014
G42	G1	2013
G31	G40	2012
G20	G4	2011
G32	G3	2010
G27	G50	2009
G23	G28	2008
G47	G12	2007
G4	G33	2006
G45	G29	2005
G13	G3	2004
G8	G27	2003
G3	G6	2002
G20	G6	2001
G9	G29	2000
G23	G23	1999
G32	G4	1998
G24	G50	1997
G1	G40	1996
G25	G28	1995
G7	G6	1994
G43	G42	1993
G4	G39	1992
G23	G41	1991
G7	G4	1990
G47	G50	1989
G15	G12	1988
G30	G8	1987
G50	G50	1986
G20	G3	1985
G22	G8	1984
G47	G23	1983
G17	G4	1982
G10	G11	1981
G42	G47	1980
G24	G2	1979
G43	G30	1978
G13	G39	1977
G41	G26	1976
G13	G28	1975
G27	G14	1974
G35	G3	1973
G17	G16	1972
G45	G42	1971
G26	G40	1970
G11	G29	1969
G5	G50	1968
G32	G17	1967
G13	G11	1966
G39	G40	1965
G7	G50	1964
G1	G23	1963
G11	G27	1962
G5	G6	1961
G26	G21	1960
G30	G16	1959
G49	G41	1958
G4	G14	1957
G38	G28	1956
G36	G20	1955
G24	G39	1954
G20	G30	1953
G36	G30	1952
G50	G5	1951
G15	G49	1950
G40	G23	1949
G41	G6	1948
