Parent	Type	Child	Weight	Probability	Score
G1	-	G1	-0.132840	0.968446	-0.394356
G2	+	G1	0.012622	0.498823	0.019301
G3	+	G1	0.067052	0.725306	0.149079
G4	+	G1	0.074813	0.828041	0.189895
G5	-	G1	-0.005828	0.362649	-0.006479
G6	+	G1	0.023990	0.343009	0.025224
G7	+	G1	0.026838	0.430721	0.035435
G8	+	G1	0.059128	0.696529	0.126246
G9	+	G1	0.003225	0.453309	0.004482
G10	-	G1	-0.000296	0.389404	-0.000353
G11	+	G1	0.003200	0.370602	0.003636
G12	-	G1	-0.007952	0.389252	-0.009488
G13	-	G1	-0.008712	0.304804	-0.008140
G14	+	G1	0.099491	0.970709	0.296043
G15	+	G1	0.022632	0.487509	0.033821
G16	+	G1	0.026497	0.413210	0.033562
G17	+	G1	0.018195	0.395563	0.022062
G18	+	G1	0.039336	0.558391	0.067331
G19	+	G1	0.008703	0.483752	0.012906
G20	+	G1	0.132430	0.999109	0.405585
G21	-	G1	-0.026272	0.348462	-0.028063
G22	+	G1	0.019295	0.492575	0.029134
G23	-	G1	-0.008094	0.349820	-0.008679
G24	+	G1	0.002353	0.441652	0.003185
G25	-	G1	-0.004033	0.422735	-0.005227
G26	-	G1	-0.011723	0.418342	-0.015033
G27	-	G1	-0.035295	0.496367	-0.053703
G28	-	G1	-0.050757	0.456806	-0.071074
G29	+	G1	0.108841	0.986860	0.329255
G30	+	G1	0.027673	0.430700	0.036536
G31	+	G1	0.116904	0.993364	0.355976
G32	-	G1	-0.014420	0.384823	-0.017011
G33	-	G1	-0.022567	0.360768	-0.024957
G34	-	G1	-0.012365	0.502801	-0.019058
G35	-	G1	-0.015696	0.425626	-0.020478
G36	-	G1	-0.010058	0.459853	-0.014178
G37	-	G1	-0.002323	0.500106	-0.003561
G38	+	G1	0.001872	0.404248	0.002320
G39	+	G1	0.117777	0.992361	0.358272
G40	-	G1	-0.034064	0.343013	-0.035817
G41	+	G1	0.050099	0.627858	0.096422
G42	-	G1	-0.016598	0.401735	-0.020440
G43	+	G1	0.046460	0.484605	0.069017
G44	+	G1	0.017944	0.493061	0.027121
G45	-	G1	-0.032191	0.358516	-0.035377
