SourceGENES,TargetGENES,Interaction,Edges
G38,G13,1.35097681842911,repression
G24,G23,1.14716331106058,repression
G38,G30,1,activation
G14,G23,0.793614649261745,activation
G38,G7,0.737355339969666,repression
G38,G21,0.734038220167786,activation
G34,G13,0.688765030705246,activation
G14,G35,0.680190924484751,repression
G38,G28,0.627678257636725,repression
G38,G32,0.616673786420002,activation
G26,G7,0.58922569222579,repression
G24,G42,0.575429240884593,repression
G34,G7,0.554338112681163,repression
G14,G7,0.55254929714791,activation
G1,G7,0.536842636144508,repression
G32,G23,0.517458533454965,activation
G34,G11,0.500787091055782,repression
G46,G13,0.474017735276225,repression
G38,G1,0.47364040379155,activation
G14,G15,0.454042010734524,repression
G34,G30,0.453128603738491,repression
G14,G42,0.44424191824748,activation
G14,G31,0.43877723923396,activation
G38,G48,0.435973080832311,repression
G38,G45,0.42471378743347,repression
G38,G14,0.418543045169655,repression
G18,G11,0.407519728792333,activation
G26,G30,0.404846723252343,activation
G34,G21,0.399299863129324,activation
G34,G2,0.385632946071318,activation
G24,G9,0.385163870476105,activation
G24,G19,0.379698567745545,activation
G14,G40,0.378115741613856,repression
G48,G23,0.37772218273268,activation
G38,G8,0.374971721281188,repression
G26,G21,0.373501042998111,activation
G18,G2,0.373141699421752,repression
G38,G44,0.364008440354725,activation
G26,G31,0.362982391644769,activation
G26,G35,0.361100390210824,activation
G14,G27,0.350066092719053,repression
G1,G15,0.349328296506459,activation
G14,G22,0.348910586986535,repression
G24,G35,0.345929414881605,activation
G14,G36,0.34375006596746,repression
G1,G42,0.337836999607563,activation
G14,G3,0.336259640824669,activation
G14,G39,0.321937148738812,activation
G38,G12,0.317825525663179,repression
G14,G25,0.315417241301742,repression
G38,G26,0.313510765496983,repression
G46,G7,0.312694946207016,repression
G28,G13,0.310998522531769,repression
G26,G32,0.307359693607239,activation
G1,G5,0.306419968630305,activation
G1,G31,0.301132051585407,repression
G38,G17,0.300380424937523,repression
G46,G30,0.297669700118189,repression
G14,G29,0.295993414773703,activation
G26,G36,0.290487346430543,activation
G46,G11,0.28953561037892,repression
G1,G36,0.288986528118486,repression
G1,G27,0.282104528008388,repression
G26,G15,0.280357404093795,activation
G38,G31,0.27995107295679,repression
G28,G30,0.279463260878054,repression
G26,G40,0.276706378559405,activation
G14,G19,0.27563475040906,repression
G26,G22,0.274757419885505,activation
