Gene1	Gene2	EdgeWeight
G7	G5	0.19221595713339
G21	G44	0.1769453675085627
G9	G10	0.169015653214607
G12	G17	0.1650868985443605
G5	G7	0.1640813461869595
G7	G4	0.1622226197298811
G4	G7	0.1587494248402563
G25	G27	0.1515409518707909
G9	G11	0.1472870283716044
G32	G6	0.1460982461585157
G33	G37	0.141983194321964
G26	G47	0.1412666640511142
G39	G49	0.1370563745832142
G37	G33	0.1344159423198793
G47	G37	0.1328649945369306
G10	G50	0.1324467482952475
G4	G5	0.1322719550080745
G11	G9	0.1322520670429156
G27	G39	0.1303673705890747
G37	G47	0.1297009144213326
G10	G16	0.1267821129679338
G17	G14	0.126241043739739
G39	G27	0.1255217583159353
G47	G35	0.1220263670271056
G44	G21	0.1219721963063453
G44	G20	0.1215325377962816
G43	G34	0.1194746718564747
G32	G39	0.1194602562271395
G27	G25	0.1181726951566189
G8	G3	0.1181642377205712
G26	G31	0.1142697666135068
G47	G26	0.1137543959637028
G20	G44	0.1135463631854037
G9	G50	0.1111660629358287
G32	G49	0.1101427028830644
G14	G17	0.1078355439414901
G23	G18	0.1055892674462857
G32	G34	0.1046619548512964
G33	G3	0.1026194427712765
G4	G10	0.1024308686215636
G3	G8	0.1022204367082245
G33	G26	0.1012478965053862
G8	G16	0.1004418233294905
G21	G20	0.1001276188098159
G50	G10	0.0999811913787642
G25	G39	0.0951767374336135
G39	G32	0.0940209361564523
G16	G10	0.0935383484329684
G6	G32	0.0924661146110847
G10	G9	0.0918742423371831
G25	G5	0.0908855866513751
G44	G9	0.0901678908983427
G34	G43	0.0888514952801845
G39	G25	0.0887255466856254
G17	G12	0.0884610385836145
G31	G36	0.0881219245384214
G12	G14	0.0879666615593331
G13	G15	0.0868498188710426
G26	G37	0.0867201713167407
G7	G17	0.0826432436169503
G2	G5	0.0825973979346273
G43	G42	0.0825472408856888
G47	G15	0.0825334287641955
G50	G12	0.0818779241574924
G37	G20	0.0818587969303017
G4	G6	0.0818351254345625
G8	G49	0.080827272383977
G12	G50	0.080132043062404
G18	G23	0.0789212200138493
G25	G35	0.0780434419434973
G44	G11	0.0778294821207293
G34	G6	0.0774853019294304
G25	G4	0.0770171980757263
G16	G49	0.0764857141753303
G10	G12	0.0763058784170136
G5	G13	0.0758307504723011
G25	G32	0.0755027609776583
G44	G18	0.0749632519795498
G21	G13	0.0749299688760913
G25	G16	0.074563085937015
G5	G4	0.0745278616015664
G10	G4	0.0742676042609842
G13	G20	0.0735355599440913
G33	G50	0.073391092653305
G5	G15	0.0732386904420725
G20	G21	0.0731714033095184
G32	G42	0.073065475687463
G3	G23	0.0727225161435323
G3	G18	0.0723345860620283
G25	G6	0.0722446196976542
G44	G13	0.0721094869855778
G21	G18	0.0720427628318871
G26	G33	0.0718084248342281
G20	G13	0.0717575524897346
G42	G34	0.0717298229808037
G34	G42	0.0713993556483587
G6	G5	0.0710791112042979
G31	G26	0.0704231112077137
G43	G6	0.0701531690099739
G8	G39	0.0694895205755673
G33	G47	0.0694337414204938
G37	G26	0.0687188828558044
G18	G44	0.0686949828149209
G49	G39	0.0685074311780479
G50	G37	0.068419560973534
G35	G20	0.0683847026372528
G33	G31	0.0681091704989765
G42	G43	0.0679398975583147
G16	G8	0.0679315036926076
G3	G19	0.0674863263169871
G25	G7	0.0674682548988615
G20	G15	0.0673311392548765
G27	G49	0.0670093909161682
G12	G7	0.0664341516093388
G3	G33	0.0663881096636449
G47	G13	0.0657281443815068
G4	G25	0.0649732075004921
G6	G7	0.0643717979541173
G9	G12	0.0635842008685499
G13	G44	0.0633695828217043
G8	G32	0.0633616403445448
G25	G33	0.063158275834163
G13	G35	0.0631354875241109
G25	G49	0.0630315299993334
G32	G43	0.0624920303391736
G31	G47	0.0614084489079264
G27	G32	0.0613577427419632
G35	G31	0.0612651880044797
G25	G8	0.0611318502581444
G33	G1	0.0604945384416665
G6	G34	0.0603992588216457
G20	G19	0.0602935639177591
G25	G24	0.0597734678948753
G49	G32	0.0597124579463066
G49	G36	0.0597024665243421
G18	G19	0.0595771352765184
