Gene1	Gene2	EdgeWeight
G19	G5	2499
G30	G5	2498
G41	G4	2497
G19	G6	2496
G41	G5	2495
G1	G5	2494
G30	G4	2493
G40	G5	2492
G1	G4	2491
G36	G4	2490
G40	G4	2489
G19	G4	2488
G14	G4	2487
G30	G6	2486
G14	G3	2485
G9	G1	2484
G21	G2	2483
G15	G3	2482
G15	G2	2481
G43	G2	2480
G36	G5	2479
G1	G6	2478
G15	G4	2477
G41	G6	2476
G19	G7	2475
G36	G2	2474
G21	G3	2473
G21	G1	2472
G9	G2	2471
G41	G3	2470
G40	G6	2469
G14	G5	2468
G43	G1	2467
G43	G4	2466
G40	G3	2465
G14	G2	2464
G21	G4	2463
G37	G1	2462
G15	G1	2461
G1	G3	2460
G43	G3	2459
G40	G2	2458
G30	G7	2457
G1	G2	2456
G19	G3	2455
G14	G1	2454
G30	G3	2453
G15	G5	2452
G36	G3	2451
G36	G1	2450
G36	G6	2449
G37	G2	2448
G43	G5	2447
G41	G2	2446
G30	G2	2445
G1	G7	2444
G41	G7	2443
G49	G1	2442
G19	G8	2441
G14	G6	2440
G9	G3	2439
G40	G7	2438
G9	G4	2437
G21	G5	2436
G37	G3	2435
G41	G1	2434
G40	G1	2433
G8	G1	2432
G1	G1	2431
G49	G2	2430
G30	G8	2429
G15	G6	2428
G19	G2	2427
G37	G4	2426
G45	G1	2425
G43	G6	2424
G14	G7	2423
G12	G20	2422
G36	G7	2421
G44	G33	2420
G5	G1	2419
G8	G2	2418
G49	G3	2417
G50	G33	2416
G1	G8	2415
G45	G2	2414
G44	G7	2413
G30	G1	2412
G50	G47	2411
G10	G47	2410
G5	G2	2409
G7	G20	2408
G2	G33	2407
G3	G10	2406
G47	G20	2405
G40	G8	2404
G9	G5	2403
G41	G8	2402
G42	G33	2401
G47	G3	2400
G7	G3	2399
G21	G6	2398
G10	G33	2397
G20	G7	2396
G5	G4	2395
G33	G10	2394
G33	G33	2393
G33	G47	2392
G26	G47	2391
G19	G9	2390
G46	G3	2389
G5	G3	2388
G3	G7	2387
G47	G2	2386
G25	G1	2385
G22	G1	2384
G13	G10	2383
G39	G12	2382
G20	G10	2381
G21	G7	2380
G44	G10	2379
G42	G10	2378
G24	G7	2377
G24	G10	2376
G8	G3	2375
G22	G2	2374
G15	G7	2373
G12	G3	2372
G10	G7	2371
G38	G33	2370
G34	G47	2369
G50	G7	2368
G50	G10	2367
G45	G3	2366
G33	G7	2365
G34	G1	2364
G27	G47	2363
G42	G47	2362
G26	G10	2361
G12	G10	2360
G20	G33	2359
G25	G2	2358
G17	G35	2357
G26	G33	2356
G31	G7	2355
G17	G20	2354
G5	G20	2353
G31	G47	2352
G8	G7	2351
G18	G33	2350
G35	G10	2349
G17	G7	2348
G49	G4	2347
G18	G7	2346
G7	G4	2345
G4	G20	2344
G6	G33	2343
G39	G20	2342
G6	G10	2341
G3	G12	2340
G10	G20	2339
G35	G7	2338
G38	G7	2337
G4	G7	2336
G35	G12	2335
G47	G12	2334
G25	G3	2333
G4	G4	2332
G32	G7	2331
G47	G26	2330
G6	G7	2329
G26	G7	2328
G31	G10	2327
G43	G7	2326
G20	G47	2325
G29	G3	2324
G25	G4	2323
G4	G28	2322
G35	G4	2321
G31	G33	2320
G34	G7	2319
G7	G17	2318
G18	G10	2317
G22	G3	2316
G31	G46	2315
G24	G35	2314
G34	G10	2313
G7	G12	2312
G13	G12	2311
G39	G35	2310
G12	G7	2309
G13	G7	2308
G37	G5	2307
G25	G28	2306
G6	G4	2305
G42	G7	2304
G3	G47	2303
G39	G3	2302
G7	G2	2301
G26	G35	2300
G35	G17	2299
G19	G1	2298
G12	G47	2297
G48	G28	2296
G8	G10	2295
G3	G33	2294
G27	G39	2293
G28	G28	2292
G4	G35	2291
G34	G33	2290
G33	G4	2289
G27	G12	2288
G42	G13	2287
G7	G33	2286
G30	G9	2285
G38	G10	2284
G17	G10	2283
G22	G4	2282
G4	G42	2281
G45	G38	2280
G14	G8	2279
G27	G7	2278
G18	G13	2277
G23	G3	2276
G34	G2	2275
G10	G26	2274
G4	G10	2273
G4	G26	2272
G11	G16	2271
G33	G12	2270
G36	G8	2269
G49	G35	2268
G23	G1	2267
G8	G4	2266
G35	G13	2265
G10	G10	2264
G20	G12	2263
G5	G33	2262
G29	G20	2261
G31	G12	2260
G32	G10	2259
G28	G4	2258
G10	G2	2257
G39	G17	2256
G29	G28	2255
G32	G47	2254
G28	G33	2253
G11	G12	2252
G6	G12	2251
G44	G28	2250
G34	G3	2249
G33	G20	2248
G50	G12	2247
G2	G4	2246
G9	G6	2245
G17	G3	2244
G3	G39	2243
G38	G4	2242
G2	G13	2241
G24	G20	2240
G16	G11	2239
G11	G20	2238
G20	G20	2237
G32	G20	2236
G32	G33	2235
G45	G4	2234
G46	G7	2233
G42	G12	2232
G26	G12	2231
G13	G20	2230
G34	G20	2229
G27	G3	2228
G35	G39	2227
G35	G33	2226
G26	G17	2225
G11	G33	2224
G6	G13	2223
G2	G20	2222
G23	G2	2221
G3	G4	2220
G9	G17	2219
G46	G20	2218
G27	G33	2217
G16	G10	2216
G46	G47	2215
G4	G18	2214
G38	G20	2213
G28	G12	2212
G18	G20	2211
G31	G4	2210
G34	G4	2209
G23	G24	2208
G33	G39	2207
G13	G17	2206
G34	G26	2205
G17	G26	2204
G31	G13	2203
G16	G20	2202
G42	G20	2201
G26	G13	2200
G34	G12	2199
G5	G12	2198
G39	G49	2197
G28	G31	2196
G47	G33	2195
G50	G13	2194
G13	G29	2193
G29	G7	2192
G20	G13	2191
G49	G17	2190
G46	G2	2189
G16	G26	2188
G16	G16	2187
G32	G46	2186
G11	G17	2185
G48	G39	2184
G1	G9	2183
G5	G17	2182
G10	G12	2181
G13	G13	2180
G44	G13	2179
G24	G13	2178
G42	G46	2177
G46	G17	2176
G22	G7	2175
G32	G4	2174
G27	G17	2173
G28	G11	2172
G20	G39	2171
G12	G18	2170
G47	G17	2169
G5	G5	2168
G24	G45	2167
G39	G45	2166
G11	G27	2165
G37	G20	2164
G20	G17	2163
G4	G17	2162
G42	G26	2161
G8	G28	2160
G2	G17	2159
G44	G20	2158
G37	G26	2157
G24	G24	2156
G24	G31	2155
G29	G17	2154
G11	G3	2153
G32	G35	2152
G18	G46	2151
G16	G35	2150
G28	G10	2149
G5	G24	2148
G17	G13	2147
G23	G38	2146
G22	G20	2145
G46	G10	2144
G39	G26	2143
G23	G35	2142
G50	G39	2141
G48	G20	2140
G40	G9	2139
G27	G10	2138
G33	G35	2137
G2	G10	2136
G35	G20	2135
G23	G20	2134
G28	G16	2133
G41	G9	2132
G3	G3	2131
G37	G12	2130
G23	G33	2129
G6	G46	2128
G7	G7	2127
G28	G20	2126
G11	G7	2125
G38	G13	2124
G2	G39	2123
G3	G17	2122
G45	G20	2121
G13	G35	2120
G26	G39	2119
G15	G20	2118
G20	G4	2117
G18	G31	2116
G26	G26	2115
G11	G10	2114
G18	G24	2113
G23	G4	2112
G13	G47	2111
G23	G39	2110
G28	G18	2109
G25	G20	2108
G49	G39	2107
G10	G13	2106
G27	G32	2105
G22	G26	2104
G38	G11	2103
G26	G20	2102
G16	G49	2101
G13	G26	2100
G8	G39	2099
G46	G13	2098
G16	G3	2097
G6	G47	2096
G24	G3	2095
G25	G39	2094
G50	G20	2093
G5	G27	2092
G42	G28	2091
G48	G10	2090
G16	G39	2089
G31	G20	2088
G6	G20	2087
G28	G3	2086
G9	G7	2085
G46	G4	2084
G47	G38	2083
G25	G48	2082
G10	G28	2081
G4	G3	2080
G10	G3	2079
G50	G26	2078
G2	G27	2077
G5	G7	2076
G9	G10	2075
G2	G38	2074
G37	G6	2073
G4	G23	2072
G3	G42	2071
G12	G17	2070
G32	G3	2069
G13	G4	2068
G2	G3	2067
G18	G35	2066
G22	G27	2065
G48	G35	2064
G31	G35	2063
G23	G26	2062
G44	G3	2061
G11	G11	2060
G6	G35	2059
G49	G5	2058
G17	G39	2057
G35	G35	2056
G49	G38	2055
G6	G5	2054
G50	G28	2053
G29	G45	2052
G6	G3	2051
G34	G39	2050
G35	G18	2049
G13	G39	2048
G4	G50	2047
G7	G28	2046
G42	G3	2045
G8	G20	2044
G7	G35	2043
G34	G46	2042
G2	G7	2041
G45	G10	2040
G22	G35	2039
G46	G42	2038
G38	G17	2037
G25	G10	2036
G3	G32	2035
G24	G33	2034
G20	G35	2033
G18	G12	2032
G29	G31	2031
G17	G18	2030
G18	G4	2029
G48	G2	2028
G48	G3	2027
G12	G35	2026
G17	G17	2025
G28	G39	2024
G33	G17	2023
G27	G42	2022
G48	G31	2021
G32	G12	2020
G33	G11	2019
G15	G8	2018
G48	G18	2017
G44	G12	2016
G28	G26	2015
G19	G10	2014
G23	G17	2013
G12	G27	2012
G25	G35	2011
G13	G38	2010
G42	G17	2009
G10	G11	2008
G27	G20	2007
G38	G48	2006
G39	G27	2005
G48	G24	2004
G39	G10	2003
G17	G24	2002
G42	G4	2001
G10	G4	2000
G10	G45	1999
G22	G13	1998
G45	G28	1997
G11	G46	1996
G47	G4	1995
G39	G16	1994
G35	G3	1993
G44	G4	1992
G28	G13	1991
G27	G16	1990
G12	G33	1989
G2	G35	1988
G5	G6	1987
G23	G27	1986
G44	G24	1985
G33	G42	1984
G38	G24	1983
G11	G35	1982
G8	G33	1981
G18	G17	1980
G32	G13	1979
G33	G3	1978
G28	G35	1977
G13	G33	1976
G46	G33	1975
G11	G28	1974
G29	G35	1973
G22	G39	1972
G37	G17	1971
G16	G42	1970
G32	G26	1969
G38	G50	1968
G47	G45	1967
G24	G4	1966
G3	G18	1965
G25	G13	1964
G38	G31	1963
G49	G16	1962
G47	G31	1961
G6	G1	1960
G3	G13	1959
G32	G28	1958
G31	G26	1957
G16	G29	1956
G38	G29	1955
G44	G31	1954
G4	G39	1953
G26	G4	1952
G44	G47	1951
G22	G10	1950
G7	G22	1949
G12	G39	1948
G48	G7	1947
G16	G46	1946
G27	G49	1945
G11	G38	1944
G25	G27	1943
G11	G47	1942
G50	G2	1941
G18	G18	1940
G4	G48	1939
G16	G13	1938
G18	G3	1937
G38	G35	1936
G28	G29	1935
G18	G48	1934
G29	G2	1933
G50	G3	1932
G28	G42	1931
G22	G24	1930
G46	G35	1929
G38	G3	1928
G46	G32	1927
G8	G26	1926
G37	G7	1925
G34	G35	1924
G32	G39	1923
G39	G7	1922
G26	G23	1921
G35	G16	1920
G28	G17	1919
G17	G45	1918
G48	G13	1917
G16	G28	1916
G35	G42	1915
G45	G22	1914
G38	G39	1913
G16	G2	1912
G31	G39	1911
G28	G38	1910
G27	G35	1909
G29	G42	1908
G16	G17	1907
G24	G16	1906
G34	G32	1905
G37	G33	1904
G23	G11	1903
G39	G42	1902
G39	G13	1901
G17	G47	1900
G3	G20	1899
G32	G27	1898
G49	G12	1897
G24	G2	1896
G43	G8	1895
G50	G35	1894
G32	G42	1893
G29	G47	1892
G7	G24	1891
G48	G1	1890
G25	G5	1889
G48	G42	1888
G45	G35	1887
G48	G11	1886
G33	G13	1885
G12	G22	1884
G22	G28	1883
G2	G2	1882
G29	G10	1881
G48	G17	1880
G44	G35	1879
G39	G46	1878
G5	G35	1877
G48	G16	1876
G6	G2	1875
G7	G11	1874
G48	G23	1873
G23	G13	1872
G17	G11	1871
G3	G35	1870
G26	G42	1869
G39	G39	1868
G39	G18	1867
G39	G11	1866
G23	G7	1865
G27	G13	1864
G46	G31	1863
G21	G8	1862
G49	G27	1861
G46	G29	1860
G16	G31	1859
G23	G10	1858
G4	G5	1857
G18	G11	1856
G47	G10	1855
G20	G23	1854
G18	G29	1853
G3	G16	1852
G24	G27	1851
G20	G29	1850
G22	G16	1849
G16	G33	1848
G45	G33	1847
G8	G18	1846
G47	G35	1845
G49	G33	1844
G44	G17	1843
G5	G18	1842
G27	G28	1841
G23	G5	1840
G31	G42	1839
G32	G16	1838
G13	G46	1837
G29	G11	1836
G49	G31	1835
G24	G26	1834
G50	G4	1833
G35	G46	1832
G26	G3	1831
G29	G33	1830
G29	G4	1829
G2	G16	1828
G45	G13	1827
G23	G18	1826
G13	G27	1825
