TF	target	importance
G7	G5	73.06054750773886
G5	G7	67.50735696606884
G26	G47	66.66388658274839
G21	G44	64.32293133466187
G4	G7	62.54558134279396
G25	G27	59.79978148499455
G12	G17	53.18069669855322
G47	G35	52.214919382147556
G32	G6	51.64456315891628
G10	G16	51.26553634775237
G7	G4	50.61967032561468
G37	G33	50.339471788333654
G9	G10	50.04677530872052
G4	G5	48.851236694364516
G11	G9	48.22881142148434
G27	G25	46.40257435777767
G8	G3	45.553654544848534
G26	G31	44.3506724049161
G4	G10	41.498979962496094
G33	G37	40.43704284672319
G17	G14	40.42720109477116
G2	G5	40.0228954546288
G37	G47	39.388926704211734
G47	G37	39.27984276546844
G25	G5	39.10813669017241
G16	G10	38.929363407684036
G39	G27	38.792155078530584
G32	G49	38.36914548062969
G27	G39	37.79498869770273
G32	G39	37.0869057015237
G12	G7	36.76980347846475
G7	G17	36.54194570827226
G26	G37	36.51093083399225
G6	G32	36.505323294630095
G44	G20	36.15485701724275
G33	G3	35.933781666145954
G14	G17	35.56000036349461
G39	G32	35.26845330906962
G37	G20	35.12577454907081
G47	G26	34.764544960148285
G39	G25	34.31547903147522
G25	G35	34.057834717932835
G20	G44	33.756597074446226
G27	G32	33.08594019360853
G5	G13	32.86220612629229
G33	G26	32.110358996606955
G10	G9	31.91380369275182
G6	G7	31.774771068161968
G21	G20	31.437437654772307
G25	G7	31.384332970795974
G8	G32	31.287316270599465
G39	G49	30.98613356412327
G8	G49	30.73543779142436
G13	G35	30.528382234469152
G50	G10	30.205384941862725
G43	G6	30.159483562621993
G25	G4	30.033888116105153
G10	G4	29.926038425652816
G9	G11	29.781696961698124
G26	G33	29.646757688073283
G9	G50	29.286145689452013
G3	G8	28.839211528356905
G33	G25	28.643927607235046
G20	G13	28.21918629291027
G37	G26	27.69042005851254
G14	G3	27.44061909655336
G15	G5	27.179048348654437
G5	G4	26.63188119922624
G49	G39	26.60922575457281
G50	G37	26.40201117492275
G50	G33	25.7045050730282
G10	G50	25.683144318454488
G28	G20	25.5154085624558
G17	G7	25.387391426964882
G50	G12	25.38549485895345
G4	G25	25.374900286075768
G37	G31	25.29979173935319
G33	G50	25.17948322786396
G12	G14	25.090587869312575
G43	G32	25.0338021424773
G21	G13	24.993406315591105
G25	G39	24.85898757987638
G8	G16	24.541578968528263
G18	G44	24.5036486187557
G3	G33	24.482615008107675
G7	G10	24.38941922256398
G31	G47	24.265660035277705
