Gene1	Gene2	Score
G7	G5	0.801724060651933
G5	G7	0.801724060651933
G7	G4	-0.748155364007296
G4	G7	-0.748155364007296
G39	G27	0.723044679350656
G27	G39	0.723044679350656
G49	G39	-0.72163335861487
G39	G49	-0.72163335861487
G37	G33	-0.710661927163482
G33	G37	-0.710661927163482
G11	G9	-0.677964960287938
G9	G11	-0.677964960287938
G47	G37	0.652273696765447
G37	G47	0.652273696765447
G47	G26	-0.647110068098061
G26	G47	-0.647110068098061
G50	G10	0.645804201608105
G10	G50	0.645804201608105
G16	G10	-0.62540805579248
G10	G16	-0.62540805579248
G17	G14	-0.622072604718959
G14	G17	-0.622072604718959
G44	G21	0.61389638774775
G21	G44	0.61389638774775
G12	G10	-0.605687966931876
G10	G12	-0.605687966931876
G44	G20	0.604947693001718
G20	G44	0.604947693001718
G49	G32	0.597056397323591
G32	G49	0.597056397323591
G5	G4	-0.593081762559254
G4	G5	-0.593081762559254
G27	G25	0.593073902517391
G25	G27	0.593073902517391
G39	G25	0.572459993836565
G25	G39	0.572459993836565
G10	G9	0.567182599677688
G9	G10	0.567182599677688
G44	G18	0.564227624175954
G18	G44	0.564227624175954
G49	G27	-0.546727668297747
G27	G49	-0.546727668297747
G10	G4	-0.53738482503833
G4	G10	-0.53738482503833
G8	G3	0.53645435279242
G3	G8	0.53645435279242
G50	G12	-0.534735717820349
G12	G50	-0.534735717820349
G39	G32	-0.533301606288395
G32	G39	-0.533301606288395
G33	G3	0.530115733230645
G3	G33	0.530115733230645
G33	G31	0.526972768023187
G31	G33	0.526972768023187
G31	G26	0.523217512808895
G26	G31	0.523217512808895
G37	G26	-0.52109115098744
G26	G37	-0.52109115098744
G50	G37	-0.519346931373896
G37	G50	-0.519346931373896
G39	G16	0.51478427476004
G16	G39	0.51478427476004
G15	G13	-0.513671407568512
G13	G15	-0.513671407568512
G17	G12	0.508103531643616
G12	G17	0.508103531643616
G33	G26	0.504067013363304
G26	G33	0.504067013363304
G25	G24	0.497980888357266
G24	G25	0.497980888357266
G47	G33	-0.497262570109295
G33	G47	-0.497262570109295
G43	G42	0.495524618356091
G42	G43	0.495524618356091
G21	G20	0.493357234312756
G20	G21	0.493357234312756
G44	G13	0.493190372622908
G13	G44	0.493190372622908
G49	G16	-0.490110558977993
G16	G49	-0.490110558977993
G6	G5	-0.489793106753273
G5	G6	-0.489793106753273
G50	G33	0.479962954056815
G33	G50	0.479962954056815
G20	G13	0.479325166080339
G13	G20	0.479325166080339
G49	G5	0.478864822404603
G50	G26	0.478236510641653
G26	G50	0.478236510641653
G16	G8	0.477422501021456
G8	G16	0.477422501021456
G32	G16	-0.476843381977841
G16	G32	-0.476843381977841
G33	G25	-0.470989940112045
G25	G33	-0.470989940112045
G39	G24	0.467531953768516
G24	G39	0.467531953768516
G32	G6	0.465607454522355
G6	G32	0.465607454522355
G5	G49	0.465503154674764
G34	G6	0.464806972535428
G6	G34	0.464806972535428
G7	G6	-0.461644714636374
G6	G7	-0.461644714636374
G17	G7	-0.451028798139202
G7	G17	-0.451028798139202
G25	G5	0.447071227010841
G5	G25	0.447071227010841
G25	G7	0.44479791174743
G7	G25	0.44479791174743
G12	G9	-0.441069324111769
G9	G12	-0.441069324111769
G39	G8	0.439033725754893
G8	G39	0.439033725754893
G47	G31	-0.438592993734676
G31	G47	-0.438592993734676
G11	G37	-0.437562339790333
G14	G12	-0.437237861514461
G12	G14	-0.437237861514461
G9	G4	-0.436961661176101
G4	G9	-0.436961661176101
G27	G24	0.434694291438872
G24	G27	0.434694291438872
G32	G24	-0.42884760174811
G24	G32	-0.42884760174811
G49	G36	0.428614154686849
G36	G49	0.428614154686849
G20	G15	-0.42799713205749
G15	G20	-0.42799713205749
G26	G39	0.422879549374828
G32	G25	-0.421320737770349
G25	G32	-0.421320737770349
G32	G27	-0.4210800664501
G27	G32	-0.4210800664501
G25	G6	-0.419187998823871
G6	G25	-0.419187998823871
G21	G13	0.418402007398458
G13	G21	0.418402007398458
G44	G11	0.416105921494174
G11	G44	0.416105921494174
G49	G24	-0.413867915283322
G24	G49	-0.413867915283322
G50	G47	-0.407364530235165
G47	G50	-0.407364530235165
G37	G10	-0.407354659302729
G10	G37	-0.407354659302729
G33	G12	-0.406621485699083
G12	G33	-0.406621485699083
G32	G8	-0.405652242298205
G8	G32	-0.405652242298205
G5	G39	-0.403981393116836
G37	G12	0.401356705635792
G12	G37	0.401356705635792
G38	G13	0.398149652733557
G13	G38	0.398149652733557
G25	G16	0.397536329658366
G16	G25	0.397536329658366
G37	G31	-0.3973462952094
G31	G37	-0.3973462952094
G14	G7	0.393983198398474
G7	G14	0.393983198398474
G44	G39	0.392532117929422
G27	G3	0.392057890448732
G3	G27	0.392057890448732
G25	G8	0.391252470159206
G8	G25	0.391252470159206
G27	G16	0.390929351868178
G16	G27	0.390929351868178
G49	G25	-0.389462931075632
G25	G49	-0.389462931075632
G21	G18	0.38887553594077
G18	G21	0.38887553594077
G19	G18	-0.388178917090215
G18	G19	-0.388178917090215
G11	G47	-0.384742704631675
G43	G34	0.383527389620396
G34	G43	0.383527389620396
G16	G9	-0.382560083931089
G9	G16	-0.382560083931089
G9	G37	0.382188593452162
G47	G9	0.381584420840762
G39	G5	-0.381170807130143
G20	G11	0.379814096899647
G11	G20	0.379814096899647
G33	G27	0.378072311110017
G7	G3	-0.375675698065604
G3	G7	-0.375675698065604
G31	G7	-0.372437566546184
G42	G34	0.370733932337096
G34	G42	0.370733932337096
G26	G27	0.370476933304904
G33	G20	0.367859132891682
G49	G8	-0.361884752345061
G8	G49	-0.361884752345061
G49	G9	0.361372862089113
G23	G18	0.360961168812847
G18	G23	0.360961168812847
G36	G31	0.359439239196341
G31	G36	0.359439239196341
G18	G3	0.35479488059648
G3	G18	0.35479488059648
G37	G39	-0.354669774925221
G18	G14	-0.354284777914906
G14	G18	-0.354284777914906
G33	G44	0.353399863489136
G20	G33	0.353014564394376
G42	G10	0.352618699680729
G10	G42	0.352618699680729
G33	G1	0.350210007498294
G1	G33	0.350210007498294
G25	G4	-0.34972495527535
G4	G25	-0.34972495527535
G35	G3	-0.349664288882907
G3	G35	-0.349664288882907
G50	G3	0.349137885456719
G6	G4	0.348869749956509
G4	G6	0.348869749956509
G11	G42	0.348532618633197
G44	G37	-0.348207599328873
G26	G35	-0.347620143083885
G44	G9	-0.346845480860627
G9	G44	-0.346845480860627
G20	G10	0.346592806461234
G27	G37	-0.345829110150271
G11	G31	0.345339418901111
G50	G27	0.3452591882506
G20	G18	0.345252752629509
G18	G20	0.345252752629509
G27	G8	0.345107934923988
G8	G27	0.345107934923988
G33	G35	-0.343100473237654
G3	G26	0.34198671268772
G33	G7	-0.341705819391366
G7	G33	-0.341705819391366
G31	G35	-0.341397860610713
G39	G37	-0.341223207563514
G50	G39	0.341028002808958
G15	G49	0.339105625309779
G44	G26	0.337527283767251
G20	G7	-0.336996109606321
G33	G5	-0.336794428568968
G5	G33	-0.336794428568968
G4	G3	0.336288705585329
G3	G4	0.336288705585329
G31	G11	0.336004786690015
G44	G12	0.334768233807698
G12	G44	0.334768233807698
G50	G4	-0.333874324973323
G4	G50	-0.333874324973323
G7	G49	0.333501999783559
G44	G15	-0.332639448924343
G15	G44	-0.332639448924343
G44	G49	-0.332528532524464
G38	G18	0.332409872013296
G18	G38	0.332409872013296
G26	G44	0.332091058563526
G33	G10	0.331887968807893
G10	G33	0.331887968807893
G37	G27	-0.330977786602541
G12	G3	-0.329746200417648
G5	G2	-0.329473817669813
G2	G5	-0.329473817669813
G24	G16	0.329191764337331
G16	G24	0.329191764337331
G11	G10	-0.328719334254492
G10	G11	-0.328719334254492
G23	G3	0.328582379911445
G3	G23	0.328582379911445
G19	G14	0.327996846423749
G14	G19	0.327996846423749
G3	G20	0.327379013176371
G33	G15	0.326406577639823
G15	G33	0.326406577639823
G34	G32	0.325225241407084
G32	G34	0.325225241407084
G18	G31	0.323446766724694
G47	G10	-0.322151765585376
G10	G47	-0.322151765585376
G50	G5	-0.321933186287528
G37	G3	-0.321379857628165
G3	G37	-0.321379857628165
G50	G9	0.321263761654038
G9	G50	0.321263761654038
G20	G27	0.320382223696678
G5	G27	-0.320369698647077
G49	G7	0.319501611848178
G20	G39	0.319100758509957
G26	G20	0.318154934401421
G13	G39	0.318074630305202
G15	G39	-0.317875268182997
G31	G39	0.317762985761725
G28	G11	0.317464880918205
G11	G28	0.317464880918205
G35	G42	-0.316841662669375
G17	G10	-0.316759344108746
G10	G17	-0.316759344108746
G42	G27	0.316751565860163
G17	G4	0.316739735778628
G4	G17	0.316739735778628
G9	G47	0.316231237147239
G34	G13	0.316212582470735
G35	G40	-0.31608752718344
G26	G12	-0.315351165868724
G12	G26	-0.315351165868724
G20	G3	0.315244363120269
G27	G50	0.314898775577769
G5	G32	0.314877119587826
G39	G21	0.314589633540648
G32	G30	-0.313765082406173
G30	G32	-0.313765082406173
G20	G26	0.31376080288353
G15	G5	0.313683635433806
G35	G13	-0.313362118308193
G13	G35	-0.313362118308193
G42	G32	0.313091402789487
G32	G42	0.313091402789487
G11	G33	0.312700094943135
G37	G15	0.311686193145625
G44	G27	0.311292194474892
G47	G30	0.311275644619265
G30	G47	0.311275644619265
G32	G5	-0.31109808149413
G10	G27	0.31048949707369
G23	G19	-0.310172507062706
G19	G23	-0.310172507062706
G19	G5	0.310136238644341
G37	G49	0.309850258087696
G28	G9	-0.309156853222487
G9	G28	-0.309156853222487
G26	G49	-0.308504704161426
G16	G5	-0.307819291414862
G27	G5	-0.30771514721484
G44	G40	0.306184053591641
G40	G44	0.306184053591641
G21	G11	0.306169586373253
G11	G21	0.306169586373253
G20	G50	0.305469128524626
G3	G42	0.305081531093326
G20	G5	-0.304806857317343
G13	G12	-0.303372848510529
G10	G7	0.302299403290502
G7	G10	0.302299403290502
G20	G42	0.302200843259192
G34	G49	-0.302175276017521
G3	G47	-0.302169817118928
G26	G21	0.301972457098672
G12	G27	-0.301903962657377
G42	G3	0.301570976305872
G12	G7	-0.301014984001325
G7	G12	-0.301014984001325
G13	G6	0.300743041374664
G32	G7	0.300697548689164
G37	G9	0.300413206272547
G31	G12	-0.300345831220785
G12	G31	-0.300345831220785
G12	G4	0.299289455142715
G4	G12	0.299289455142715
G13	G50	0.299144633705349
G32	G3	-0.299141302517347
G3	G32	-0.299141302517347
G20	G31	0.299081580175091
G33	G49	-0.298897334374692
G12	G11	0.298475185732476
G11	G12	0.298475185732476
G44	G10	0.298278619089824
G37	G25	0.298056132748712
G25	G37	0.298056132748712
G37	G35	0.297645519823019
G27	G26	0.296954619133069
G23	G14	-0.296924189098957
G14	G23	-0.296924189098957
G19	G17	-0.295919865842469
G17	G19	-0.295919865842469
G21	G26	0.29585294599107
G47	G42	-0.295729197630694
G42	G47	-0.295729197630694
G8	G29	0.295688780194432
G42	G39	0.295312117353317
G27	G10	0.294840491162904
G35	G10	-0.294834818325331
G26	G3	0.294649018929502
G38	G15	-0.2943605601648
G15	G38	-0.2943605601648
G5	G15	0.294036822911307
G44	G33	0.293993565229288
G18	G17	0.293929907760023
G17	G18	0.293929907760023
G47	G11	-0.293283942508884
G38	G20	0.292633299436203
G20	G38	0.292633299436203
G50	G31	0.292473359945848
G31	G50	0.292473359945848
G5	G18	-0.291989139324958
G38	G35	-0.291879303168766
G35	G38	-0.291879303168766
G28	G38	0.291455292312966
G4	G27	0.291248142258994
G15	G36	0.29053205667587
G33	G39	0.290129640219944
G42	G31	0.289556023346362
G31	G42	0.289556023346362
G27	G21	0.289547793041988
G44	G47	-0.289016948722342
G37	G7	0.28815892424535
G50	G13	0.287833294674095
G8	G50	0.28767917656933
G39	G50	0.287498509191937
G12	G18	-0.287377840983119
G7	G39	-0.286909324532482
G44	G14	-0.286812501530578
G14	G44	-0.286812501530578
G40	G20	0.286801298238191
G20	G40	0.286801298238191
G13	G18	0.286604276914203
G4	G49	-0.286119986533119
G21	G39	0.285883991342885
G6	G37	-0.285658775323445
G26	G10	0.285332183090424
G10	G26	0.285332183090424
G33	G8	0.28528311450985
G38	G31	0.284442854817557
G31	G38	0.284442854817557
G18	G13	0.284163097644064
G21	G3	0.284125503883399
G21	G27	0.284036431262997
G35	G11	-0.28398198530649
G45	G13	0.28397313484516
G13	G45	0.28397313484516
G34	G27	0.283945801418847
G35	G5	0.283418605360833
G5	G35	0.283418605360833
G35	G9	0.283176422543188
G25	G50	0.283098304671654
G16	G4	0.282946097568247
G4	G16	0.282946097568247
G31	G4	0.282930511656236
G49	G3	-0.282313973858823
G3	G49	-0.282313973858823
G10	G39	0.282288189813502
G27	G42	0.282006605842515
G40	G26	0.281901504562292
G37	G30	0.281402484468041
G35	G26	-0.281240541816037
G49	G11	-0.280985796240838
G20	G37	-0.280924595150291
G33	G42	0.280856325372956
G9	G49	0.280607455291332
G13	G31	0.280475490935804
G10	G8	-0.280033539912506
G8	G10	-0.280033539912506
G47	G5	0.279696791816461
G47	G49	0.279420782863113
G27	G33	0.27926493543241
G50	G44	0.279092494248362
G18	G37	-0.278909899552417
G39	G3	0.278780760628165
G3	G39	0.278780760628165
G13	G3	0.278516525566084
G7	G37	0.277067687590556
G6	G50	0.277002729529248
G21	G31	0.276985148165214
G44	G7	-0.276876580541176
G47	G27	-0.276696334132338
G47	G39	-0.276637457082343
G10	G5	-0.276539208670777
G46	G16	0.276184754140213
G42	G24	0.275893994920975
G12	G23	-0.275862359791365
G33	G30	-0.275225976578599
G3	G5	-0.274605037005928
G31	G8	0.274220062076485
G31	G49	-0.274180889031515
G39	G7	-0.27404077614065
G47	G7	0.274027910195062
G28	G20	0.273982540763316
G20	G28	0.273982540763316
G21	G47	-0.273692114065445
G21	G10	0.273533860463925
G35	G16	-0.27347005701176
G16	G35	-0.27347005701176
G44	G31	0.273298513812281
G38	G36	-0.272992469228645
G35	G8	-0.272615867626879
G33	G21	0.272548755614486
G30	G49	0.272153359349025
G39	G47	-0.272145823452437
G44	G5	-0.272085785188148
G44	G17	0.272016044552148
G17	G44	0.272016044552148
G27	G7	-0.271411322483013
G33	G13	0.270640334835302
G35	G7	0.270633346977453
G7	G35	0.270633346977453
G34	G39	0.270629268429059
G8	G20	0.270172682597745
G15	G3	0.270166845168718
G3	G15	0.270166845168718
G20	G35	-0.270154591206834
G5	G17	-0.270021372437407
G12	G39	-0.269928661673012
G37	G17	-0.269925337776054
G28	G5	0.269920860667337
G50	G21	0.269901159091341
G31	G3	0.269750616965593
G21	G33	0.269331577796799
