Gene1	Gene2	corVal	pValue
G1	G1	1	0
G2	G2	1	0
G3	G3	1	0
G4	G4	1	0
G5	G5	1	0
G6	G6	1	0
G7	G7	1	0
G8	G8	1	0
G9	G9	1	0
G10	G10	1	0
G11	G11	1	0
G12	G12	1	0
G13	G13	1	0
G14	G14	1	0
G15	G15	1	0
G16	G16	1	0
G17	G17	1	0
G18	G18	1	0
G19	G19	1	0
G20	G20	1	0
G21	G21	1	0
G22	G22	1	0
G23	G23	1	0
G24	G24	1	0
G25	G25	1	0
G26	G26	1	0
G27	G27	1	0
G28	G28	1	0
G29	G29	1	0
G30	G30	1	0
G31	G31	1	0
G32	G32	1	0
G33	G33	1	0
G34	G34	1	0
G35	G35	1	0
G36	G36	1	0
G37	G37	1	0
G38	G38	1	0
G39	G39	1	0
G40	G40	1	0
G41	G41	1	0
G42	G42	1	0
G43	G43	1	0
G44	G44	1	0
G45	G45	1	0
G46	G46	1	0
G47	G47	1	0
G48	G48	1	0
G49	G49	1	0
G50	G50	1	0
G31	G32	0.370936991158907	1.17867424274545e-06
G32	G31	0.370936991158907	1.17867424274545e-06
G50	G10	0.334665296954076	1.3441386700794e-05
G10	G50	0.334665296954075	1.34413867007941e-05
G7	G26	0.309108874243599	6.2726383478165e-05
G26	G7	0.309108874243598	6.27263834781652e-05
G26	G35	0.297891243745593	0.000118139664557132
G35	G26	0.297891243745593	0.000118139664557133
G14	G7	0.285084505136803	0.000235957066360569
G7	G14	0.285084505136803	0.000235957066360571
G20	G21	0.251603781632529	0.00123914391751331
G21	G20	0.251603781632529	0.00123914391751332
G37	G20	0.250052096142882	0.00133134739506478
G20	G37	0.250052096142881	0.0013313473950648
G10	G9	0.249805034200654	0.00134659377822496
G9	G10	0.249805034200654	0.00134659377822497
G33	G20	0.245222200292895	0.00165993233443604
G20	G33	0.245222200292895	0.00165993233443605
G25	G24	0.243005689752897	0.0018341638808865
G24	G25	0.243005689752896	0.0018341638808865
G3	G15	0.231551001060348	0.00302937171212832
G15	G3	0.231551001060348	0.00302937171212834
G34	G11	0.226379846977265	0.00377066873749162
G11	G34	0.226379846977265	0.00377066873749162
G3	G8	0.225954715977694	0.0038383387726259
G8	G3	0.225954715977694	0.00383833877262593
G33	G1	0.222318380776724	0.00446332651888895
G1	G33	0.222318380776724	0.00446332651888896
G12	G17	0.220143626506008	0.00487937418143756
G17	G12	0.220143626506008	0.00487937418143757
G28	G20	0.218228430778836	0.00527419225359898
G20	G28	0.218228430778836	0.00527419225359902
G33	G15	0.213706337007785	0.00632203478287518
G15	G33	0.213706337007785	0.00632203478287522
G43	G42	0.207017766785883	0.00821267295489076
G42	G43	0.207017766785883	0.00821267295489078
G18	G44	0.201443199464466	0.0101550139710192
G44	G18	0.201443199464465	0.0101550139710193
G27	G7	0.199530746339127	0.0109091144954867
G7	G27	0.199530746339126	0.0109091144954867
G7	G5	0.197813244080069	0.0116279176691949
G5	G7	0.197813244080069	0.0116279176691949
G39	G27	0.19770848689507	0.011673077108698
G27	G39	0.19770848689507	0.0116730771086981
G49	G9	0.191294262597909	0.0147488760556224
G9	G49	0.191294262597909	0.0147488760556225
G47	G8	0.190871267673996	0.0149745573355068
G8	G47	0.190871267673996	0.0149745573355068
G48	G5	0.190372380034759	0.0152445977704081
G5	G48	0.190372380034759	0.0152445977704081
G23	G7	0.187331309008759	0.0169843385468168
G7	G23	0.187331309008759	0.0169843385468168
G13	G5	0.187312910983353	0.0169953682964614
G5	G13	0.187312910983353	0.0169953682964614
G49	G43	0.184516086392626	0.0187461879252247
G43	G49	0.184516086392625	0.0187461879252247
G29	G14	0.18437475749432	0.0188386644107707
G14	G29	0.18437475749432	0.0188386644107708
G50	G26	0.182512985040495	0.0200942792345854
G26	G50	0.182512985040495	0.0200942792345855
G9	G3	0.181464631189443	0.0208326588096699
G3	G9	0.181464631189443	0.0208326588096699
G38	G26	0.180612908019379	0.0214496818659482
G26	G38	0.180612908019379	0.0214496818659482
G28	G11	0.180525139863533	0.0215141515677186
G11	G28	0.180525139863533	0.0215141515677187
G29	G35	0.179775422303728	0.0220716965612893
G35	G29	0.179775422303728	0.0220716965612894
G18	G21	0.178934778481341	0.0227116251465311
G21	G18	0.178934778481341	0.0227116251465312
G25	G35	0.178511301221618	0.0230399965340547
G35	G25	0.178511301221618	0.0230399965340547
G25	G20	0.176958742676648	0.0242790493040192
G20	G25	0.176958742676648	0.0242790493040193
G47	G5	0.176743045054722	0.0244556382960678
G5	G47	0.176743045054722	0.0244556382960678
G33	G31	0.173842351787867	0.026939603617544
G31	G33	0.173842351787867	0.0269396036175442
