Gene1	Gene2	EdgeWeight
G3	G10	0.19295559894228
G3	G10	0.19295559894228
G13	G10	0.1799811579251
G13	G10	0.1799811579251
G27	G32	0.178483460269036
G27	G32	0.178483460269036
G35	G32	0.174621729967829
G35	G32	0.174621729967829
G20	G32	0.172623685084185
G20	G32	0.172623685084185
G10	G4	0.167432088803255
G10	G4	0.167432088803255
G32	G10	0.165443743767195
G32	G10	0.165443743767195
G26	G47	0.16078467469521
G26	G47	0.16078467469521
G10	G12	0.160770018033494
G10	G12	0.160770018033494
G42	G4	0.159606471640533
G42	G4	0.159606471640533
G4	G12	0.159061418470556
G4	G12	0.159061418470556
G6	G4	0.157999610330599
G6	G4	0.157999610330599
G25	G32	0.155194387567733
G25	G32	0.155194387567733
G26	G10	0.1520458276379
G26	G10	0.1520458276379
G10	G32	0.147902795416258
G10	G32	0.147902795416258
G4	G7	0.147108869069608
G4	G7	0.147108869069608
G16	G12	0.142839077072224
G16	G12	0.142839077072224
G44	G33	0.142048568071636
G44	G33	0.142048568071636
G35	G12	0.13952449308813
G35	G12	0.13952449308813
G13	G4	0.137649390758178
G13	G4	0.137649390758178
G20	G33	0.131589356683043
G20	G33	0.131589356683043
G3	G42	0.126125268264042
G3	G42	0.126125268264042
G42	G9	0.124057460239712
G42	G9	0.124057460239712
G38	G2	0.122389338444439
G38	G2	0.122389338444439
G29	G24	0.122380307267574
G29	G24	0.122380307267574
G24	G48	0.120548933586011
G24	G48	0.120548933586011
G32	G12	0.119383357457995
G32	G12	0.119383357457995
G3	G33	0.117519182804563
G3	G33	0.117519182804563
G16	G24	0.116109470435277
G16	G24	0.116109470435277
G50	G4	0.116081956003952
G50	G4	0.116081956003952
G50	G18	0.115942733763283
G50	G18	0.115942733763283
G16	G10	0.115312624226148
G16	G10	0.115312624226148
G16	G35	0.113934020660802
G16	G35	0.113934020660802
G11	G12	0.112784424573864
G11	G12	0.112784424573864
G4	G17	0.112052758152627
G4	G17	0.112052758152627
G20	G4	0.110128679941239
G20	G4	0.110128679941239
G38	G33	0.110049219039556
G38	G33	0.110049219039556
G13	G18	0.110027308480178
G13	G18	0.110027308480178
G10	G16	0.109629646609978
G10	G16	0.109629646609978
G6	G11	0.109580715497558
G6	G11	0.109580715497558
G34	G4	0.109299396074146
G34	G4	0.109299396074146
G35	G16	0.108761549026405
G35	G16	0.108761549026405
G33	G10	0.108094953259273
G33	G10	0.108094953259273
G42	G33	0.106849449475692
G42	G33	0.106849449475692
G3	G20	0.106377753811914
G3	G20	0.106377753811914
G11	G50	0.106317849908093
G11	G50	0.106317849908093
G4	G10	0.106084704407636
G4	G10	0.106084704407636
G20	G24	0.105813129799003
G20	G24	0.105813129799003
G27	G10	0.104161016614859
G27	G10	0.104161016614859
G3	G39	0.104151620590875
G3	G39	0.104151620590875
G3	G2	0.103023041868547
G3	G2	0.103023041868547
G9	G12	0.102896014696264
G9	G12	0.102896014696264
G43	G15	0.102274879251745
G43	G15	0.102274879251745
G34	G40	0.102061748786581
G34	G40	0.102061748786581
G4	G16	0.101536470467369
G4	G16	0.101536470467369
G35	G4	0.101217498172297
G35	G4	0.101217498172297
G4	G33	0.100026221117111
