Gene1	Gene2	EdgeWeight
G46	G43	91.59553762739012
G43	G46	89.84475047912301
G37	G46	68.04681681887978
G26	G7	67.78486965382866
G5	G11	62.83549398391485
G36	G10	61.40525419777746
G15	G20	59.9871600838284
G35	G46	57.17037417843167
G10	G12	55.47251659057547
G11	G5	54.1656287031999
G10	G36	50.68579066044665
G46	G37	49.32567346392875
G12	G10	48.66674014496045
G46	G35	47.51023730960348
G21	G14	46.277167841372346
G26	G19	45.98564343628031
G18	G16	45.62194408971804
G33	G23	44.83847203649524
G23	G20	44.28890740428026
G20	G23	44.1431991654018
G20	G47	43.27640902563226
G33	G20	42.56029980184831
G11	G48	42.39214179124525
G45	G46	42.29919458713336
G46	G45	41.90020585674712
G47	G20	41.6580112895011
G16	G12	40.74161607935876
G34	G26	40.29920022114507
G37	G43	40.28013003545401
G20	G46	39.909134913601314
G4	G10	39.00884502253282
G5	G48	38.7888429942683
G15	G5	36.57767159882621
G43	G15	36.30239308940086
G43	G35	35.92190236611117
G37	G33	35.581475335940645
G48	G5	34.87863400195091
G21	G7	34.06709767136859
G23	G33	33.86589630194738
G41	G14	33.773170392055455
G13	G17	33.678079197945934
G44	G16	33.29935759051805
G43	G37	32.9138181239918
G8	G38	32.77382363383998
G16	G18	32.43987713255669
G17	G18	32.294626827850855
G19	G7	32.22677880582283
G47	G16	32.12326377867252
G15	G23	31.85194863297584
G9	G7	31.821208409539512
G8	G9	30.809745390394777
G34	G16	30.238485966375052
G15	G36	30.219269384284893
G44	G26	29.653893325329157
G48	G11	29.62081465182408
G18	G17	29.37840306443132
G5	G15	29.16476890820084
G15	G11	29.14320530356625
G23	G47	29.045669993033925
G23	G16	28.95772995052744
G36	G12	28.610637105209364
G4	G36	28.42750036073616
G47	G23	28.024656395486392
G11	G15	27.9927318172176
G13	G34	27.95887139204979
G9	G19	27.86106103502675
G35	G43	27.79997877341429
G4	G16	27.416645724019013
G9	G38	27.326515492909
G34	G18	26.934133371656632
G36	G4	26.89706612984138
G43	G36	26.742861525123985
G39	G11	26.69419881232736
G13	G26	26.513641341718905
G46	G15	26.50677893897112
G38	G9	26.487216248018232
G17	G16	26.328698499186626
G19	G26	25.78256045255812
G8	G48	25.683082160587865
G7	G10	25.57842344281565
G38	G8	25.45456131861741
G3	G8	25.424470357180734
G10	G4	25.39915752196104
G23	G12	25.335426682808105
G5	G36	25.278833990981106
G41	G23	25.2341223004575
G7	G26	24.870864950980756
G3	G48	24.811528471256956
G16	G46	24.754091137358643
G39	G43	24.535594877856383
G30	G18	24.52993233565245
G19	G9	24.41551808077767
G26	G16	24.368369010811737
G20	G33	24.36419845724803
G4	G17	24.19358835125352
G50	G46	23.96124414967796
G9	G10	23.84382767378772
G20	G22	23.669531917270422
G42	G3	23.51250449512368
G18	G47	23.179792708198924
G15	G46	23.111694192230512
G36	G15	22.952319088864616
G17	G13	22.765130671066988
G7	G21	22.75018432066116
G3	G33	22.57840652224447
G45	G43	22.51820153391338
G16	G20	22.43095243863606
G16	G22	22.39273768413465
G43	G45	22.292461668508714
G15	G33	22.222290819581225
G16	G45	22.14577201286419
G26	G39	22.11445426075964
G18	G20	22.03328596858328
G20	G44	21.79721422354798
G22	G16	21.650439495638068
G26	G18	21.590259931959665
G12	G20	21.57947147491737
G6	G10	21.56333484188556
G22	G36	21.325028170161904
G33	G12	21.195197691721184
G21	G23	20.76394240342324
G22	G45	20.666548962103555
G39	G5	20.51092000691795
G20	G12	20.50906776529057
G43	G39	20.50049246554243
G43	G5	20.43020367274741
G33	G37	20.10202195293864
G4	G13	20.049336045975625
G12	G23	20.017820248638422
G9	G8	19.645614935099925
G16	G47	19.6142879743014
G12	G36	19.421070666753632
G20	G15	19.37506429651952
G15	G35	19.356140700388664
G9	G6	19.13377487617552
G44	G48	18.9855904183107
G43	G11	18.940034864078765
G20	G16	18.89303793463973
G8	G14	18.892359970166595
G19	G10	18.44348976852518
G8	G50	18.425786110315936
G10	G9	18.40302692887989
G33	G43	18.361282451918928
G33	G7	18.348235359550387
G20	G48	18.28630858413429
G7	G19	18.13514325227665
G16	G17	18.08147893670293
G48	G44	18.07283262828207
G15	G48	17.92150538380893
G18	G19	17.85912321586189
G33	G15	17.852320726646965
G4	G26	17.71545487868953
G33	G16	17.690786357444487
G34	G17	17.511917685576783
G46	G12	17.429038632372908
G26	G13	17.264374572099275
G6	G7	17.216370123164445
G39	G46	17.04651039431844
G35	G39	16.850468090152862
G39	G37	16.773791899660903
G5	G39	16.762712325078077
G18	G26	16.633839033856233
G12	G45	16.514447555649408
G35	G5	16.485934001588816
G37	G35	16.46329594523465
G43	G12	16.362594815814028
G5	G35	16.35891132395176
G8	G3	16.263458462481704
G10	G46	16.253628651882998
G17	G34	16.1858666887951
G39	G22	16.15308275915171
G19	G37	16.03811743096085
G44	G22	15.990959095339893
G33	G49	15.935743740898966
G15	G49	15.892636193806233
G22	G18	15.78525980018131
G17	G26	15.633383728483912
G20	G36	15.623178224633252
G15	G47	15.604918123238749
G48	G15	15.58673771742745
G13	G16	15.580457104946856
G24	G14	15.549521072237422
G38	G48	15.446307492925712
G13	G18	15.439304846918477
G9	G14	15.372399235136214
G30	G19	15.339682628503644
G50	G21	15.290586232442504
G33	G14	15.237751632324429
G37	G7	15.194537214343754
G49	G16	15.097350949895484
G35	G15	15.08060184350861
G35	G36	14.893957938796788
G23	G41	14.861743392865346
G23	G22	14.837586611446064
G3	G37	14.82939287519297
G39	G26	14.828578203411624
G17	G12	14.806965176901786
G48	G36	14.806543230053403
G23	G21	14.708093176631715
G10	G7	14.673345446796366
G4	G34	14.662293481459884
G9	G48	14.649892783653936
G7	G18	14.64921736466558
G21	G10	14.563400649177758
G26	G21	14.517597955869864
G18	G15	14.376402256269929
G43	G33	14.37079193623806
G36	G44	14.31691413653508
G17	G4	14.287808202992489
G21	G26	14.266785327704792
G17	G44	14.141103716207017
G14	G11	14.122772594715574
G33	G41	14.118879097205618
G7	G9	14.117332754916635
G33	G46	14.100538410315949
G11	G39	14.074229493636288
G35	G45	13.967317317910595
G18	G13	13.911567830218107
G48	G3	13.79603866189809
G9	G26	13.77306842113148
G50	G8	13.766465705251264
G16	G26	13.7483396135359
G48	G8	13.724712617796625
G16	G33	13.653088552690528
G14	G21	13.633244529299311
