Gene1	Gene2	EdgeWeight
G5	G11	1.975256371944873
G11	G5	1.975256371944873
G5	G48	1.9484786729966024
G48	G5	1.9484786729966024
G14	G41	1.9474511340245184
G41	G14	1.9474511340245184
G40	G45	1.9470912867124632
G45	G40	1.9470912867124632
G11	G48	1.9470533104778367
G48	G11	1.9470533104778367
G8	G38	1.9452595828190675
G38	G8	1.9452595828190675
G10	G36	1.9420522696140343
G36	G10	1.9420522696140343
G23	G47	1.9392904165411076
G47	G23	1.9392904165411076
G37	G46	1.9354542555295493
G46	G37	1.9354542555295493
G13	G17	1.9327045147817103
G17	G13	1.9327045147817103
G43	G46	1.932498349040939
G46	G43	1.932498349040939
G35	G43	1.9319803517358247
G43	G35	1.9319803517358247
G16	G47	1.9318309004278316
G47	G16	1.9318309004278316
G9	G19	1.928852798130155
G19	G9	1.928852798130155
G5	G15	1.921766474334418
G15	G5	1.921766474334418
G9	G38	1.9197304406168745
G38	G9	1.9197304406168745
G2	G31	1.919687154195212
G31	G2	1.919687154195212
G19	G30	1.91928765804494
G30	G19	1.91928765804494
G37	G39	1.9184609985097207
G39	G37	1.9184609985097207
G7	G19	1.9172993630622128
G19	G7	1.9172993630622128
G10	G12	1.9164215392902104
G12	G10	1.9164215392902104
G7	G21	1.916012859464939
G21	G7	1.916012859464939
G24	G27	1.9148610784664195
G27	G24	1.9148610784664195
G26	G30	1.9128711206579343
G30	G26	1.9128711206579343
G35	G46	1.9109109919739564
G46	G35	1.9109109919739564
G3	G48	1.9088271989847183
G48	G3	1.9088271989847183
G20	G23	1.9080440860135248
G23	G20	1.9080440860135248
G37	G43	1.907853462537557
G43	G37	1.907853462537557
G21	G41	1.898376054130771
G41	G21	1.898376054130771
G8	G9	1.8946463501270707
G9	G8	1.8946463501270707
G5	G36	1.894147397349645
G36	G5	1.894147397349645
G15	G36	1.8914484323946672
G36	G15	1.8914484323946672
G17	G18	1.8908031922835116
G18	G17	1.8908031922835116
G14	G21	1.890770280601628
G21	G14	1.890770280601628
G19	G26	1.8900510624067068
G26	G19	1.8900510624067068
G40	G42	1.8883769010379576
G42	G40	1.8883769010379576
G20	G47	1.8875305924687449
G47	G20	1.8875305924687449
G2	G27	1.887203780379342
G27	G2	1.887203780379342
G27	G49	1.8864122225467952
G49	G27	1.8864122225467952
G15	G20	1.884423413016428
G20	G15	1.884423413016428
G26	G34	1.87939570396875
G34	G26	1.87939570396875
G42	G50	1.879163824905075
G50	G42	1.879163824905075
G27	G29	1.8777692678878335
G29	G27	1.8777692678878335
G44	G50	1.8758708317188768
G50	G44	1.8758708317188768
G5	G43	1.8747919738095775
G43	G5	1.8747919738095775
G6	G7	1.8719664481539224
G7	G6	1.8719664481539224
G4	G13	1.8702542591715483
G13	G4	1.8702542591715483
G12	G36	1.8700322462824004
G36	G12	1.8700322462824004
G33	G37	1.868308847287113
G37	G33	1.868308847287113
G15	G43	1.864447593056
G43	G15	1.864447593056
G26	G39	1.8632277729924849
G39	G26	1.8632277729924849
G23	G33	1.861925372446
G33	G23	1.861925372446
G11	G43	1.861559459509582
G43	G11	1.861559459509582
G7	G9	1.8611370209820297
G9	G7	1.8611370209820297
G3	G50	1.8606877680922145
G50	G3	1.8606877680922145
G4	G17	1.8584659234376533
G17	G4	1.8584659234376533
G21	G23	1.8567042281289916
G23	G21	1.8567042281289916
G21	G38	1.853392922131139
G38	G21	1.853392922131139
G18	G24	1.8511074817819135
G24	G18	1.8511074817819135
G35	G39	1.8502185269190103
G39	G35	1.8502185269190103
G4	G10	1.8502110876204332
G10	G4	1.8502110876204332
G8	G50	1.8498326116652404
G50	G8	1.8498326116652404
G19	G21	1.849648603907808
G21	G19	1.849648603907808
G7	G26	1.848737828358835
G26	G7	1.848737828358835
G10	G44	1.8482969480291984
G44	G10	1.8482969480291984
G18	G25	1.84802825628167
G25	G18	1.84802825628167
G28	G34	1.8451372630556448
G34	G28	1.8451372630556448
G1	G50	1.842584414416676
G50	G1	1.842584414416676
G11	G15	1.8419283902724377
G15	G11	1.8419283902724377
G11	G35	1.8417254005459185
G35	G11	1.8417254005459185
G6	G10	1.8414655123873596
G10	G6	1.8414655123873596
G18	G30	1.8407480521366224
G30	G18	1.8407480521366224
G45	G47	1.837369673738079
G47	G45	1.837369673738079
G9	G21	1.8357950983217155
G21	G9	1.8357950983217155
G10	G26	1.833776191822931
G26	G10	1.833776191822931
G2	G50	1.8332871609071604
G50	G2	1.8332871609071604
G24	G45	1.832440160327044
G45	G24	1.832440160327044
G31	G49	1.8313764104568144
G49	G31	1.8313764104568144
G7	G31	1.8310112944534012
G31	G7	1.8310112944534012
G36	G43	1.8290987382232289
G43	G36	1.8290987382232289
G36	G44	1.8269725786860005
G44	G36	1.8269725786860005
G28	G50	1.8254424163620229
G50	G28	1.8254424163620229
G5	G44	1.8251870060638635
G44	G5	1.8251870060638635
G21	G50	1.821571237285745
G50	G21	1.821571237285745
G20	G33	1.820944744918664
G33	G20	1.820944744918664
G39	G43	1.8204619715051076
G43	G39	1.8204619715051076
G30	G46	1.8176438332306104
G46	G30	1.8176438332306104
G11	G36	1.8164924675354164
G36	G11	1.8164924675354164
G6	G9	1.806477878354516
G9	G6	1.806477878354516
G5	G35	1.8031379763637223
G35	G5	1.8031379763637223
G9	G26	1.8023730803227629
G26	G9	1.8023730803227629
G13	G26	1.8002369717578235
G26	G13	1.8002369717578235
G22	G38	1.7999126297805783
G38	G22	1.7999126297805783
G23	G49	1.7978304777150225
G49	G23	1.7978304777150225
G13	G25	1.7967833921012424
G25	G13	1.7967833921012424
G25	G40	1.7955180342067822
G40	G25	1.7955180342067822
G19	G23	1.7953339769154142
G23	G19	1.7953339769154142
G8	G48	1.7927646630763263
G48	G8	1.7927646630763263
G15	G46	1.7904831998354056
G46	G15	1.7904831998354056
G24	G46	1.789975642817836
G46	G24	1.789975642817836
G14	G24	1.7889835847577795
G24	G14	1.7889835847577795
G9	G23	1.7874347479567774
G23	G9	1.7874347479567774
G11	G31	1.787227473338291
G31	G11	1.787227473338291
G7	G10	1.7844928796717503
G10	G7	1.7844928796717503
G12	G46	1.7826872452022724
G46	G12	1.7826872452022724
G16	G38	1.782264183612983
G38	G16	1.782264183612983
G10	G21	1.781408097343017
G21	G10	1.781408097343017
G15	G23	1.780054085266898
G23	G15	1.780054085266898
G26	G33	1.7793914391671783
G33	G26	1.7793914391671783
G1	G28	1.776307010636835
G28	G1	1.776307010636835
G16	G17	1.7735085360392724
G17	G16	1.7735085360392724
G6	G29	1.7731050728783244
G29	G6	1.7731050728783244
G33	G49	1.7708521092219904
G49	G33	1.7708521092219904
