Gene1	Gene2	EdgeWeight
G32	G46	6.24737346439572
G2	G46	6.20990654578241
G27	G46	6.19092109359278
G31	G46	6.11833529492362
G32	G35	6.0899005831337
G25	G46	6.06081948982969
G1	G46	6.02716663815929
G42	G46	5.9914164570763
G2	G35	5.95782756347177
G24	G46	5.94336213834514
G25	G35	5.80664762342692
G27	G35	5.77538486298505
G31	G35	5.76375107369586
G14	G46	5.75466805143836
G41	G46	5.68581756534067
G30	G46	5.66666093714756
G49	G46	5.62186235039372
G42	G35	5.61496307413405
G1	G35	5.61042004810757
G34	G46	5.60205340018341
G24	G35	5.55914503687347
G30	G35	5.53765529461273
G41	G35	5.43312606224739
G28	G46	5.38144851465265
G14	G35	5.35205804240306
G34	G35	5.30611610932698
G17	G46	5.29925751234938
G19	G46	5.29781638611989
G5	G46	5.27447436377911
G49	G35	5.1867097830621
G28	G35	5.11044982657737
G17	G35	5.03675982537288
G40	G46	5.03030545735321
G5	G35	5.00316234369651
G48	G46	4.91034283997057
G19	G35	4.90826725287162
G18	G46	4.86941941838029
G35	G35	4.83691208390701
G35	G46	4.75824866882581
G38	G46	4.73414094226352
G40	G35	4.66519284112019
G18	G35	4.59974241537586
G48	G35	4.43872891308396
G38	G35	4.26140583726351
G23	G46	4.17572031925337
G8	G46	4.09859389108215
G27	G43	4.05419442398021
G13	G46	4.0098165126455
G6	G46	4.0003001043951
G1	G43	3.96163752198075
G31	G43	3.92480023149825
G42	G43	3.88226185482747
G24	G43	3.86904351665007
G13	G35	3.86235006535465
G10	G46	3.84386848839663
G32	G10	3.8384619755968
G2	G43	3.82583698925796
G6	G35	3.81306902461394
G14	G43	3.79172286226006
G23	G35	3.76369639518827
G49	G43	3.76260649184811
G25	G43	3.74203712594552
G15	G46	3.73734132336763
G8	G35	3.71465074403059
G2	G10	3.71376296512615
G32	G43	3.71224631500804
G25	G10	3.61735283831107
G31	G10	3.54454084987132
G34	G43	3.54284689091529
G41	G43	3.53533732059958
G27	G10	3.52543203086781
G19	G43	3.5006612162823
G30	G10	3.49774117017739
G15	G35	3.47971373444557
G42	G10	3.44088237363377
G12	G35	3.42244371215518
G1	G10	3.42018115413212
G48	G43	3.40161222387225
G12	G46	3.40133427931952
G24	G10	3.40094484896897
G28	G43	3.39366132071354
G41	G10	3.37669621177083
G10	G35	3.34941940325274
G30	G43	3.34356136379954
G40	G43	3.33718265966385
G38	G43	3.32135505275916
G17	G43	3.31772627420326
G5	G43	3.31669788390669
G34	G10	3.27971653006134
G14	G10	3.25973501982324
G28	G10	3.16121508281401
G27	G18	3.15005593066347
G49	G10	3.14038439699122
G17	G10	3.12447085754538
G35	G10	3.12405057285208
G5	G10	3.09918659600214
G18	G43	3.08042450278976
G1	G18	3.07887608339662
G31	G18	3.04462105536727
G42	G18	3.01382227423717
G24	G18	3.00482270553092
G19	G10	2.98733030730085
G2	G18	2.95808010654772
G14	G18	2.94764188353786
G49	G18	2.92831383300233
G23	G43	2.91151952234689
G44	G46	2.90431372559942
G25	G18	2.89374852986218
G32	G48	2.89128822057496
G32	G18	2.86172384236006
G18	G10	2.84413705960447
G10	G43	2.83673943374914
G8	G43	2.83407808726515
G40	G10	2.83368866160456
G2	G48	2.81326849149047
G37	G46	2.80343963078575
G34	G18	2.74498958603389
G25	G48	2.74128587545925
G41	G18	2.73566599231586
G19	G18	2.72154930206209
G31	G48	2.70372051340943
G27	G48	2.69939555053282
G48	G18	2.65393222008783
G48	G10	2.65149955496597
G45	G46	2.64520725568835
G30	G48	2.63192273151411
G42	G48	2.62952339697544
G28	G18	2.62904034099785
G44	G35	2.62121855543038
G1	G48	2.62069005719178
G24	G48	2.60123952783812
G40	G18	2.59545675504317
G38	G18	2.59384019646584
G30	G18	2.57573611885374
G35	G43	2.57188658316704
G5	G18	2.5686302435827
G17	G18	2.56841941676414
G41	G48	2.56186180243336
G32	G12	2.56094588535009
G46	G35	2.55343277426671
G38	G10	2.53086754121877
G6	G43	2.50467671854853
G14	G48	2.49900254763556
G34	G48	2.49570332129373
G32	G37	2.49182994877284
G32	G23	2.48704454968583
G37	G35	2.48317362216537
G15	G43	2.4670837780893
G45	G35	2.46322512383187
G13	G43	2.46065258931118
G2	G12	2.44446832528415
G46	G46	2.44143937150252
G2	G37	2.42752017644482
G47	G46	2.42019276315822
G49	G48	2.41488645982787
G2	G23	2.41229097923168
G13	G10	2.40963974997754
G28	G48	2.40405212582355
G27	G13	2.39136660529351
G18	G18	2.38657456520994
G32	G13	2.38541577780181
G2	G13	2.38092290064228
G25	G12	2.37871048777915
G17	G48	2.37374332865822
G25	G37	2.3659038495322
G6	G10	2.36398573504505
G31	G13	2.35727769939056
G5	G48	2.35635696289316
G25	G23	2.3509604455164
G30	G12	2.33929542088531
G31	G37	2.33595301337378
G27	G37	2.33386780857564
G1	G13	2.32901885977176
G25	G13	2.32407034362716
G35	G48	2.3223035913138
G42	G13	2.31101975625635
G39	G46	2.30897395150323
G32	G20	2.3089534930887
G31	G23	2.30836597715323
G27	G23	2.29925553666534
G31	G12	2.29406898200025
G24	G13	2.29389840855084
G19	G48	2.29191133009966
G42	G37	2.27299283373272
G23	G18	2.27279330212026
G30	G37	2.26819688276831
G1	G37	2.26642533481485
G30	G23	2.26624131083473
G27	G12	2.26028025648829
G39	G35	2.25501431322194
G24	G37	2.24866761411621
G42	G23	2.24337487255846
G23	G10	2.24197720405149
G1	G23	2.23200106417897
G14	G13	2.22440662337852
G10	G18	2.22299385249101
G8	G10	2.22008739466434
G24	G23	2.21752926455433
G42	G12	2.21674412338944
G41	G12	2.21440107095302
G41	G37	2.21113794590643
G8	G18	2.21089285299445
G12	G10	2.2007991948424
G41	G23	2.19451736410125
G1	G12	2.18878385998012
G47	G35	2.18656819135501
G24	G12	2.18637511275947
G41	G13	2.18233833353856
G49	G13	2.17727574264741
G40	G48	2.17497878323748
G2	G20	2.17147971686631
G18	G48	2.1649620005344
G30	G13	2.1617439105447
G14	G37	2.16108627086567
G34	G37	2.15602014887616
G34	G13	2.15393304409722
G35	G12	2.14920206299957
G34	G23	2.13610459755917
G34	G12	2.13519846843997
G14	G23	2.12711099775544
G15	G10	2.11713260910126
G30	G20	2.11590100200991
G25	G20	2.11207864383833
G49	G37	2.08980981683875
G14	G12	2.08362473380267
G28	G37	2.07577442010115
G28	G13	2.0691509768611
G28	G12	2.0611900289829
G28	G23	2.05605854307484
G27	G5	2.05519169674197
G48	G48	2.05442720292518
G49	G23	2.05230337622207
G17	G37	2.05068740082401
G19	G13	2.04724809531973
G17	G12	2.04204397340476
G5	G37	2.03593748236916
G17	G23	2.03573372604317
G17	G13	2.03432989737181
G44	G43	2.02612851575393
G5	G13	2.02580747330247
G5	G12	2.02172714755604
G5	G23	2.0199040195743
G20	G35	2.01408274818336
G37	G43	2.01225546152588
G1	G5	2.01149166079738
G35	G23	2.00572207206365
G31	G20	1.99798124974008
G35	G37	1.99364289997021
G49	G12	1.99180199210647
G35	G20	1.99098349027548
G19	G37	1.98380450278952
G27	G15	1.98287313117365
G31	G5	1.97386327123634
G35	G18	1.96615690242811
G38	G48	1.96585882342636
G42	G5	1.96061323965933
G41	G20	1.95868467189157
G24	G5	1.95720946749694
G32	G19	1.95580307468661
G19	G23	1.95426279195658
G40	G13	1.94655283803931
G27	G20	1.94626927282724
G10	G10	1.94412887131862
G2	G19	1.94167360960244
G1	G15	1.94131513858508
G6	G18	1.93908742191828
G27	G19	1.93347600546095
G14	G5	1.92694313032307
G49	G5	1.92355038163784
G42	G20	1.92121318319466
G26	G46	1.92000386322418
G15	G18	1.91817155882041
G31	G19	1.91165134609073
G48	G13	1.90867596290842
G19	G12	1.90559694453228
G13	G18	1.90209547067774
G31	G15	1.90133000491983
G25	G19	1.89404201313168
G2	G5	1.89311014789718
G42	G15	1.89008889825132
G24	G20	1.8894198078713
G20	G46	1.88889357085952
G24	G15	1.88734271424959
G1	G20	1.88150336261222
G1	G19	1.88129625456124
G40	G37	1.88111330408556
G34	G20	1.87567851655964
G12	G43	1.8755967334254
G18	G37	1.87180061489848
G18	G13	1.87086083188195
G42	G19	1.87054266080901
G14	G15	1.85963310011385
G49	G15	1.85871238354453
G18	G23	1.85686916630085
G24	G19	1.85606076463508
G25	G5	1.85391141829578
G18	G12	1.84998976729978
G40	G23	1.84910468791647
G38	G13	1.84460103175572
G27	G17	1.82785793270286
G13	G48	1.823770491895
G2	G15	1.81758376471296
G28	G20	1.81054467054611
G32	G5	1.80846760076319
G40	G12	1.80580201329334
G17	G20	1.80495072223947
G35	G13	1.80077810483166
G14	G19	1.79705594192443
G6	G48	1.79538436096275
