Gene1	Gene2	EdgeWeight
G49	G27	1.0
G49	G27	1.0
G15	G27	0.898695826579869
G15	G27	0.898695826579869
G38	G27	0.889030106064477
G38	G27	0.889030106064477
G28	G27	0.611518920697359
G28	G27	0.611518920697359
G13	G27	0.585634555347739
G13	G27	0.585634555347739
G6	G27	0.496555579374792
G6	G27	0.496555579374792
G12	G32	0.485906794267803
G12	G32	0.485906794267803
G30	G27	0.477614715866093
G30	G27	0.477614715866093
G41	G32	0.460283279480936
G41	G32	0.460283279480936
G26	G27	0.459841344814232
G26	G27	0.459841344814232
G49	G29	0.456561463038746
G49	G29	0.456561463038746
G42	G27	0.452267930627993
G42	G27	0.452267930627993
G8	G27	0.441859179604937
G8	G27	0.441859179604937
G9	G27	0.436572083348962
G9	G27	0.436572083348962
G15	G25	0.420385828144012
G15	G25	0.420385828144012
G4	G27	0.415133976459823
G4	G27	0.415133976459823
G33	G27	0.404143278560358
G33	G27	0.404143278560358
G38	G25	0.397158299517123
G38	G25	0.397158299517123
G38	G29	0.376140823799269
G38	G29	0.376140823799269
G23	G27	0.360012650794111
G23	G27	0.360012650794111
G21	G27	0.337809429936382
G21	G27	0.337809429936382
G36	G27	0.320674144590223
G36	G27	0.320674144590223
G28	G29	0.316028847423002
G28	G29	0.316028847423002
G30	G25	0.292949438792178
G30	G25	0.292949438792178
G7	G27	0.29071525636062
G7	G27	0.29071525636062
G8	G25	0.286011532588556
G8	G25	0.286011532588556
G13	G29	0.259777859884587
G13	G29	0.259777859884587
G9	G25	0.258856840429419
G9	G25	0.258856840429419
G42	G25	0.257340312744133
G42	G25	0.257340312744133
G12	G25	0.255538720517847
G12	G25	0.255538720517847
G32	G27	0.248447165101424
G32	G27	0.248447165101424
G36	G25	0.247308212826026
G36	G25	0.247308212826026
G44	G25	0.237665044607552
G44	G25	0.237665044607552
G41	G25	0.236893789076249
G41	G25	0.236893789076249
G4	G25	0.225827348820776
G4	G25	0.225827348820776
G49	G25	0.221795971880251
G49	G25	0.221795971880251
G43	G27	0.219736716217107
G43	G27	0.219736716217107
G29	G27	0.219125667260928
G29	G27	0.219125667260928
G6	G29	0.21665579288478
G6	G29	0.21665579288478
G50	G27	0.216033284705359
G50	G27	0.216033284705359
G33	G29	0.211921691943465
G33	G29	0.211921691943465
G21	G25	0.20833530439494
G21	G25	0.20833530439494
G13	G25	0.202468066744857
G13	G25	0.202468066744857
G3	G27	0.192390855632308
G3	G27	0.192390855632308
G23	G29	0.190514559860129
G23	G29	0.190514559860129
G14	G32	0.188902046349307
G14	G32	0.188902046349307
G5	G32	0.186440266137688
G5	G32	0.186440266137688
G15	G16	0.183926897516523
G15	G16	0.183926897516523
G4	G29	0.183408435317378
G4	G29	0.183408435317378
G1	G32	0.181760428626653
G1	G32	0.181760428626653
G7	G25	0.180833409535327
G7	G25	0.180833409535327
G40	G25	0.179779490652354
G40	G25	0.179779490652354
G30	G29	0.178719353144439
G30	G29	0.178719353144439
G3	G25	0.178093042640564
G3	G25	0.178093042640564
G9	G29	0.176505828088051
G9	G29	0.176505828088051
G8	G29	0.170195639593593
G8	G29	0.170195639593593
G26	G29	0.169402501900613
G26	G29	0.169402501900613
G47	G32	0.167699113403776
G47	G32	0.167699113403776
G33	G25	0.167411723354339
G33	G25	0.167411723354339
G40	G32	0.165734760022098
G40	G32	0.165734760022098
G45	G32	0.165036498512689
G45	G32	0.165036498512689
G48	G27	0.164026719604535
G48	G27	0.164026719604535
G34	G27	0.162458639620547
G34	G27	0.162458639620547
G44	G32	0.156068272703501
G44	G32	0.156068272703501
G21	G29	0.154797612007221
G21	G29	0.154797612007221
G34	G25	0.154667909094977
G34	G25	0.154667909094977
G2	G25	0.15238712581617
G2	G25	0.15238712581617
G22	G27	0.151228552420384
G22	G27	0.151228552420384
G19	G32	0.150784435919376
G19	G32	0.150784435919376
G8	G32	0.150122281630644
G8	G32	0.150122281630644
G43	G25	0.147406185032593
G43	G25	0.147406185032593
G50	G25	0.147172620272583
G50	G25	0.147172620272583
G40	G27	0.145963880573006
G40	G27	0.145963880573006
G15	G17	0.14496947071225
G15	G17	0.14496947071225
G6	G25	0.143679008618201
G6	G25	0.143679008618201
G21	G32	0.142782083418258
G21	G32	0.142782083418258
G41	G29	0.139242833172941
G41	G29	0.139242833172941
G28	G25	0.138135995488777
G28	G25	0.138135995488777
G26	G25	0.137816929818251
G26	G25	0.137816929818251
