Gene1	Gene2	EdgeWeight
G44	G42	1.0
G42	G13	1.0
G36	G20	1.0
G26	G32	1.0
G42	G13	1.0
G44	G42	1.0
G36	G20	1.0
G26	G32	1.0
G35	G26	0.999999
G36	G33	0.999999
G35	G26	0.999999
G36	G33	0.999999
G32	G46	0.999998
G41	G44	0.999998
G41	G44	0.999998
G32	G46	0.999998
G25	G50	0.999996
G25	G50	0.999996
G31	G38	0.999993
G31	G38	0.999993
G32	G26	0.999992
G32	G26	0.999992
G26	G46	0.999991
G26	G46	0.999991
G20	G28	0.99999
G20	G28	0.99999
G48	G6	0.999987
G48	G6	0.999987
G44	G7	0.999986
G44	G7	0.999986
G33	G1	0.999985
G33	G1	0.999985
G31	G26	0.99997
G31	G26	0.99997
G25	G44	0.999967
G25	G44	0.999967
G36	G41	0.999962
G36	G41	0.999962
G42	G22	0.99996
G42	G22	0.99996
G26	G2	0.999958
G26	G2	0.999958
G33	G13	0.999942
G33	G13	0.999942
G42	G29	0.999925
G42	G29	0.999925
G31	G4	0.999916
G31	G4	0.999916
G35	G32	0.99991
G35	G32	0.99991
G13	G49	0.999904
G13	G49	0.999904
G26	G28	0.999873
G26	G28	0.999873
G26	G36	0.999829
G26	G36	0.999829
G31	G6	0.999799
G31	G6	0.999799
G44	G25	0.999763
G44	G25	0.999763
G50	G42	0.99976
G50	G42	0.99976
G26	G17	0.999742
G26	G17	0.999742
G46	G46	0.999738
G46	G46	0.999738
G38	G45	0.999698
G38	G45	0.999698
G36	G40	0.999681
G36	G40	0.999681
G46	G38	0.999636
G46	G38	0.999636
G32	G28	0.999608
G32	G28	0.999608
G38	G11	0.999583
G38	G11	0.999583
G26	G26	0.999542
G26	G26	0.999542
G42	G30	0.999531
G42	G30	0.999531
G36	G30	0.999501
G36	G30	0.999501
G26	G41	0.999486
G26	G41	0.999486
G44	G16	0.999481
G44	G16	0.999481
G6	G19	0.999479
G6	G19	0.999479
G41	G45	0.999448
G41	G45	0.999448
G40	G48	0.999443
G40	G48	0.999443
G13	G33	0.999394
G13	G33	0.999394
G42	G49	0.999329
G42	G49	0.999329
G31	G19	0.999324
G31	G19	0.999324
G32	G1	0.999314
G32	G1	0.999314
G36	G1	0.999312
G36	G1	0.999312
G32	G35	0.99925
G32	G35	0.99925
G32	G2	0.999222
G32	G2	0.999222
G31	G41	0.999189
G31	G41	0.999189
G41	G47	0.999182
G41	G47	0.999182
G45	G35	0.999171
G45	G35	0.999171
G44	G50	0.999147
G44	G50	0.999147
G17	G19	0.999141
G17	G19	0.999141
G6	G45	0.99908
G6	G45	0.99908
G33	G30	0.99907
G33	G30	0.99907
G31	G17	0.999053
G31	G17	0.999053
G33	G2	0.999003
G33	G2	0.999003
G17	G31	0.999002
G17	G31	0.999002
G38	G48	0.998958
G38	G48	0.998958
G36	G6	0.998921
G36	G6	0.998921
G41	G32	0.998884
G41	G32	0.998884
G45	G1	0.998859
G45	G1	0.998859
G17	G26	0.998852
G17	G26	0.998852
G37	G37	0.998834
G37	G37	0.998834
G38	G46	0.998761
G38	G46	0.998761
G25	G9	0.998602
G25	G9	0.998602
G19	G36	0.998586
G19	G36	0.998586
G42	G18	0.998585
G42	G18	0.998585
G45	G36	0.998493
G45	G36	0.998493
G48	G20	0.99847
G48	G20	0.99847
G25	G28	0.998437
G25	G28	0.998437
G31	G36	0.998431
G31	G36	0.998431
G31	G45	0.998293
G31	G45	0.998293
G31	G40	0.998096
G31	G40	0.998096
G13	G35	0.997928
G13	G35	0.997928
G44	G23	0.997455
G44	G23	0.997455
G28	G22	0.997454
G28	G22	0.997454
G44	G47	0.997258
G44	G47	0.997258
G41	G20	0.997103
G41	G20	0.997103
G20	G47	0.996993
G20	G47	0.996993
G38	G26	0.996802
G38	G26	0.996802
G45	G31	0.996726
G45	G31	0.996726
G2	G11	0.99664
G2	G11	0.99664
G1	G2	0.99652
G1	G2	0.99652
G31	G25	0.996498
G31	G25	0.996498
G44	G34	0.996261
G44	G34	0.996261
G38	G12	0.996061
G38	G12	0.996061
G46	G25	0.995962
G46	G25	0.995962
G33	G26	0.995734
G33	G26	0.995734
G36	G2	0.995716
G36	G2	0.995716
G13	G20	0.995697
G13	G20	0.995697
G36	G4	0.995678
G36	G4	0.995678
G22	G44	0.995246
G22	G44	0.995246
G28	G36	0.995062
G28	G36	0.995062
G35	G41	0.995021
G35	G41	0.995021
G38	G38	0.994908
G38	G38	0.994908
G36	G13	0.994793
G36	G13	0.994793
G7	G42	0.994668
G7	G42	0.994668
G41	G38	0.994473
G41	G38	0.994473
G7	G41	0.994362
G7	G41	0.994362
G33	G31	0.994316
G33	G31	0.994316
G2	G31	0.994218
G2	G31	0.994218
G26	G12	0.994173
G26	G12	0.994173
G49	G42	0.994159
G49	G42	0.994159
G31	G20	0.993884
G31	G20	0.993884
G17	G32	0.993819
G17	G32	0.993819
G44	G37	0.993643
G44	G37	0.993643
G20	G2	0.993615
G20	G2	0.993615
G49	G25	0.993601
G49	G25	0.993601
G20	G43	0.993515
G20	G43	0.993515
G20	G29	0.993375
G20	G29	0.993375
G36	G32	0.993266
G36	G32	0.993266
G41	G27	0.993164
G41	G27	0.993164
G36	G36	0.993082
G36	G36	0.993082
G45	G13	0.9924
G45	G13	0.9924
G20	G18	0.992276
G20	G18	0.992276
G46	G17	0.99219
G46	G17	0.99219
G45	G16	0.991833
G45	G16	0.991833
G31	G33	0.991817
G31	G33	0.991817
G33	G11	0.991815
G33	G11	0.991815
