Gene1	Gene2	EdgeWeight
G36	G42	2.94711485631892
G32	G42	2.9086317460203
G26	G42	2.90700222867306
G46	G42	2.86135546223199
G31	G42	2.81392165798922
G1	G42	2.79661247020773
G38	G42	2.7559396289244
G41	G42	2.71191654010629
G35	G42	2.66703973758213
G33	G42	2.64285012572318
G45	G42	2.53540804218867
G47	G47	2.50780924913838
G48	G47	2.48809650972373
G2	G42	2.48004969413668
G48	G42	2.40882023735861
G20	G42	2.3802324218217
G38	G47	2.34659689268551
G48	G16	2.34579406015563
G37	G42	2.33252982922303
G25	G42	2.32248717120494
G36	G49	2.32136547763922
G6	G42	2.31395105197331
G47	G16	2.29856808366887
G32	G49	2.27293919248941
G26	G49	2.26721653064724
G46	G49	2.23917019274292
G28	G42	2.23808724514877
G38	G16	2.23476951123358
G19	G42	2.22647231897913
G1	G49	2.21446709333066
G49	G42	2.2124861418854
G31	G49	2.21123445959805
G13	G42	2.20844903592014
G44	G42	2.18683203740213
G36	G44	2.17617142946383
G26	G47	2.17416523813138
G33	G47	2.15954918658525
G36	G22	2.14799020186943
G38	G49	2.14484150351949
G32	G44	2.13546331869963
G46	G47	2.13193985181209
G26	G44	2.13056371639984
G41	G49	2.12261866760712
G32	G22	2.11178098059313
G41	G47	2.11097720485809
G26	G22	2.10867195591081
G46	G44	2.10098791331162
G35	G49	2.09943582595027
G26	G16	2.09188606723967
G25	G47	2.08155903264956
G32	G47	2.07886015183365
G46	G22	2.07860587012693
G31	G44	2.07447163199446
G16	G47	2.07311974230614
G1	G44	2.07200800830226
G33	G49	2.0707076863179
G50	G42	2.07040644719448
G33	G16	2.05931904658613
G35	G47	2.05467244683298
G46	G16	2.05001002327006
G31	G22	2.04839816559422
G49	G47	2.04495399306821
G1	G22	2.04305675160022
G44	G47	2.03915167675436
G17	G42	2.03308250633876
G41	G16	2.02312374227185
G45	G49	2.01825355564884
G38	G44	2.01332660450127
G32	G16	2.00614414280174
G38	G22	1.99643454191402
G41	G44	1.99005999114639
G4	G42	1.98900975780875
G19	G47	1.98891459689697
G42	G42	1.97750647404171
G41	G22	1.97010978773952
G35	G16	1.96896586506523
G25	G16	1.96865693250799
G35	G44	1.96331000168582
G2	G49	1.94909953997484
G35	G22	1.9425143605472
G33	G44	1.93899374087371
G49	G16	1.9274905902234
G11	G42	1.92368469577393
G44	G16	1.92204254799863
G33	G22	1.92032089251105
G6	G47	1.91386656972455
G26	G13	1.90923630494832
G37	G49	1.90556854043535
G32	G13	1.90238149739003
G36	G13	1.8960585991506
G19	G16	1.892230365761
G45	G44	1.88471989060678
G36	G47	1.87516425049435
G4	G47	1.87033453728146
G46	G13	1.86738812008135
G20	G49	1.86729817273236
G45	G22	1.85679803958599
G36	G17	1.85622816250536
G31	G47	1.84486347020473
G48	G27	1.84378513819948
G42	G47	1.84219515103852
G48	G49	1.83602826305234
G25	G49	1.83482658866937
G37	G47	1.83018914284163
G6	G16	1.82892075552912
G2	G44	1.82863406183757
G36	G16	1.82728208559442
G20	G47	1.82296646041887
G38	G13	1.8204170750044
G31	G13	1.81939521295103
G32	G17	1.81674576454421
G26	G17	1.81170069507242
G2	G22	1.80564698503006
G6	G49	1.795600089524
G31	G16	1.79223598640246
G46	G17	1.78833766227948
G1	G13	1.78031104985228
G47	G27	1.77865043707808
G4	G16	1.77674030937828
G38	G27	1.77297602992452
G13	G49	1.77175985605537
G41	G13	1.77012677591845
G1	G17	1.76994669263808
G37	G44	1.76933749723328
G31	G17	1.76780052694411
G36	G25	1.76724264493795
G28	G49	1.76466307228813
G49	G49	1.75405835525369
G20	G16	1.75042573741981
G20	G44	1.74914509168043
G47	G37	1.74811312277533
